group1,group2,coverage_gained_1,coverage_gained_2,p-value,threshold,method,adjustment
F_35-44_clerical-admin_Long,M_other_Long_Horror,0.005,0.03,0.0,-1,Traditional,Benjamini
technician-engineer_Long_Children's,M_18-24_Long_Horror,0.03,0.07,0.0,-1,Traditional,Benjamini
M_35-44_writer_Long,M_18-24_Long_Sci-Fi,0.045,0.115,0.0,-1,Traditional,Benjamini
technician-engineer_Long_Children's,M_25-34_Long_Western,0.045,0.16,0.0,-1,Traditional,Benjamini
M_35-44_writer_Long,M_25-34_executive-managerial_Long,0.045,0.18,0.0,-1,Traditional,Benjamini
M_35-44_writer_Long,M_18-24_Sci-Fi,0.045,0.18,0.0,-1,Traditional,Benjamini
25-34_academic-educator_Long,25-34_technician-engineer_Comedy,0.09,0.205,0.0,-1,Traditional,Benjamini
25-34_academic-educator_Long,M_25-34_technician-engineer_Comedy,0.09,0.205,0.0,-1,Traditional,Benjamini
M_45-49_executive-managerial_Long,M_lawyer,0.105,0.22,0.0,-1,Traditional,Benjamini
25-34_academic-educator_Long,25-34_technician-engineer_Long_Comedy,0.105,0.22,0.0,-1,Traditional,Benjamini
M_35-44_writer_Long,M_25-34_executive-managerial,0.105,0.22,0.0,-1,Traditional,Benjamini
M_35-44_self-employed_Long,25-34_sales-marketing_Long,0.115,0.235,0.0,-1,Traditional,Benjamini
M_35-44_self-employed_Long,25-34_sales-marketing,0.115,0.235,0.0,-1,Traditional,Benjamini
academic-educator_Long_Comedy,F_Long_Horror,0.165,0.3,0.0,-1,Traditional,Benjamini
25-34_lawyer_Long,18-24_Adventure,0.185,0.315,0.0,-1,Traditional,Benjamini
25-34_lawyer_Long,college-grad student_Children's,0.185,0.335,0.0,-1,Traditional,Benjamini
academic-educator_Long_Comedy,other_Horror,0.185,0.335,0.0,-1,Traditional,Benjamini
25-34_academic-educator_Long,M_25-34_technician-engineer_Long_Comedy,0.185,0.335,0.0,-1,Traditional,Benjamini
M_45-49_executive-managerial_Long,25-34_Western,0.185,0.335,0.0,-1,Traditional,Benjamini
M_45-49_executive-managerial_Long,F_25-34_Horror,0.185,0.335,0.0,-1,Traditional,Benjamini
M_45-49_executive-managerial_Long,M_lawyer_Long,0.185,0.335,0.0,-1,Traditional,Benjamini
25-34_Fantasy,artist_Long,0.245,0.35,0.0,-1,Traditional,Benjamini
25-34_Fantasy,18-24_Musical,0.245,0.36,0.0,-1,Traditional,Benjamini
25-34_Fantasy,artist,0.245,0.36,0.0,-1,Traditional,Benjamini
18-24_sales-marketing_Long,other_Horror,0.26,0.36,0.0,-1,Traditional,Benjamini
M_other_Long_Action,M_25-34_executive-managerial,0.295,0.36,0.0,-1,Traditional,Benjamini
M_45-49_executive-managerial_Long,F_25-34_Long_Horror,0.295,0.36,0.0,-1,Traditional,Benjamini
M_other_Long_Action,M_18-24_Sci-Fi,0.295,0.36,0.0,-1,Traditional,Benjamini
M_45-49_executive-managerial_Long,25-34_Long_Western,0.295,0.36,0.0,-1,Traditional,Benjamini
18-24_sales-marketing_Long,F_Long_Horror,0.295,0.36,0.0,-1,Traditional,Benjamini
technician-engineer_Long_Children's,18-24_Long_Musical,0.295,0.36,0.0,-1,Traditional,Benjamini
