group1,group2,coverage_gained_1,coverage_gained_2,p-value,n,algorithm,samples
M_other_Horror,M_18-24_programmer_Comedy,0.03,0.01,0.0,-1,TRAD_BY,10.0
M_18-24_Long_Horror,25-34_Fantasy,0.07,0.08,0.0,-1,TRAD_BY,10.0
artist,50-55_Drama,0.09,0.11,0.0,-1,TRAD_BY,10.0
F_executive-managerial_Drama,M_45-49_executive-managerial_Long,0.105,0.125,0.0,-1,TRAD_BY,10.0
M_executive-managerial_Drama,F_homemaker,0.15,0.135,0.0,-1,TRAD_BY,10.0
F_Animation,M_45-49_retired_Long,0.19,0.14,0.0,-1,TRAD_BY,10.0
M_18-24_Long_Sci-Fi,35-44_writer,0.235,0.155,0.0,-1,TRAD_BY,10.0
F_Musical,M_25-34_other_Adventure,0.255,0.17,0.0,-1,TRAD_BY,10.0
18-24_Long_Musical,F_academic-educator_Long_Drama,0.26,0.2,0.0,-1,TRAD_BY,10.0
Musical,M_other_Comedy,0.315,0.215,0.0,-1,TRAD_BY,10.0
M_other_Long_Horror,M_18-24_programmer_Comedy,0.315,0.215,0.0,-1,TRAD_BY,10.0
F_25-34_Long_Horror,F_25-34_academic-educator,0.32,0.225,0.0,-1,TRAD_BY,10.0
artist_Long,M_technician-engineer_Long_Children's,0.32,0.24,0.0,-1,TRAD_BY,10.0
M_25-34_lawyer_Long,M_scientist_Action,0.335,0.245,0.0,-1,TRAD_BY,10.0
M_25-34_technician-engineer_Action,M_18-24_college-grad student_Comedy,0.345,0.305,0.0,-1,TRAD_BY,10.0
M_executive-managerial_Long_Action,M_scientist_Long_Action,0.355,0.305,0.0,-1,TRAD_BY,10.0
M_25-34_sales-marketing_Long,25-34_Long_Fantasy,0.36,0.305,0.0,-1,TRAD_BY,10.0
M_25-34_sales-marketing_Long,executive-managerial_Sci-Fi,0.36,0.335,0.0,-1,TRAD_BY,10.0
25-34_Western,M_45-49_executive-managerial_Long,0.385,0.335,0.0,-1,TRAD_BY,10.0
other_Horror,academic-educator_Long_Comedy,0.39,0.375,0.0,-1,TRAD_BY,10.0
F_Animation,M_retired_Long,0.39,0.375,0.0,-1,TRAD_BY,10.0
M_18-24_Sci-Fi,25-34_other_Children's,0.39,0.375,0.0,-1,TRAD_BY,10.0
M_25-34_sales-marketing_Long,F_academic-educator_Drama,0.39,0.375,0.0,-1,TRAD_BY,10.0
M_25-34_lawyer,M_scientist_Action,0.39,0.375,0.0,-1,TRAD_BY,10.0
other_Long_Horror,18-24_sales-marketing_Long,0.39,0.39,0.0,-1,TRAD_BY,10.0
F_Musical,F_35-44_clerical-admin_Long,0.39,0.395,0.0,-1,TRAD_BY,10.0
M_Long_Animation,M_18-24_college-grad student_Comedy,0.395,0.395,0.0,-1,TRAD_BY,10.0
M_25-34_sales-marketing,M_35-44_programmer,0.395,0.415,0.0,-1,TRAD_BY,10.0
college-grad student_Horror,M_35-44_Action,0.42,0.445,0.0,-1,TRAD_BY,10.0
other_Long_Horror,M_25-34_other_Action,0.42,0.45,0.0,-1,TRAD_BY,10.0
F_Children's,other_Long_Action,0.445,0.465,0.0,-1,TRAD_BY,10.0
M_18-24_Long_Horror,M_technician-engineer_Long_Children's,0.445,0.465,0.0,-1,TRAD_BY,10.0
25-34_college-grad student_Long_Action,25-34_Long_War,0.46,0.5,0.0,-1,TRAD_BY,10.0
M_other_Horror,35-44_clerical-admin_Long,0.46,0.5,0.0,-1,TRAD_BY,10.0
F_18-24_Comedy,M_45-49_retired_Long,0.475,0.5,0.0,-1,TRAD_BY,10.0
artist,F_35-44_Drama,0.475,0.505,0.0,-1,TRAD_BY,10.0
M_18-24_Horror,executive-managerial_Long_Sci-Fi,0.475,0.505,0.0,-1,TRAD_BY,10.0
M_18-24_Long_Horror,18-24_Long_Thriller,0.475,0.545,0.0,-1,TRAD_BY,10.0
F_Long_Horror,18-24_sales-marketing_Long,0.48,0.545,0.0,-1,TRAD_BY,10.0
F_executive-managerial_Long_Drama,45-49_executive-managerial_Long,0.48,0.545,0.0,-1,TRAD_BY,10.0
M_25-34_technician-engineer_Long_Action,25-34_other_Long_Adventure,0.48,0.545,0.0,-1,TRAD_BY,10.0
M_executive-managerial_Action,25-34_scientist_Long_Action,0.48,0.545,0.0,-1,TRAD_BY,10.0
college-grad student_Children's,25-34_lawyer,0.485,0.56,0.0,-1,TRAD_BY,10.0
F_executive-managerial_Drama,F_25-34_academic-educator,0.485,0.56,0.0,-1,TRAD_BY,10.0
M_Long_Musical,academic-educator_Drama,0.485,0.58,0.0,-1,TRAD_BY,10.0
