group1,group2,coverage_gained_1,coverage_gained_2,p-value,n,algorithm,samples
M_18-24_Long_70's,3.5,0.2838709677419355,0.0,6.6161710141509225e-21,-1,TRAD_BY,10.0
Long_90's,3.5,0.9419354838709676,0.0,3.1367204368017416e-20,-1,TRAD_BY,10.0
18-24_70's,3.5,0.9419354838709676,0.0,1.3860871756706705e-18,-1,TRAD_BY,10.0
M_25-34_2000's,3.5,0.9548387096774194,0.0,6.318367455996733e-18,-1,TRAD_BY,10.0
35-44_80's,3.5,0.9548387096774194,0.0,1.5293750615416955e-16,-1,TRAD_BY,10.0
F_18-24,3.5,0.9612903225806452,0.0,1.7391081584617732e-16,-1,TRAD_BY,10.0
M_Long_2000's,3.5,0.9935483870967742,0.0,4.269197622275933e-15,-1,TRAD_BY,10.0
M_2000's,3.5,0.9935483870967742,0.0,4.269197622275933e-15,-1,TRAD_BY,10.0
35-44_Long_70's,3.5,0.9935483870967742,0.0,6.536396920434275e-12,-1,TRAD_BY,10.0
35-44_70's,3.5,0.9935483870967742,0.0,6.536396920434275e-12,-1,TRAD_BY,10.0
M_30's,3.5,0.9935483870967742,0.0,6.625177533592431e-09,-1,TRAD_BY,10.0
F_18-24_80's,3.5,0.9935483870967742,0.0,7.682803083332445e-09,-1,TRAD_BY,10.0
25-34_Long,3.5,0.9935483870967742,0.0,7.807287333246354e-08,-1,TRAD_BY,10.0
Long_2000's_Thriller,3.5,0.9935483870967742,0.0,1.0862224304753455e-07,-1,TRAD_BY,10.0
M_80's_Drama,3.5,0.9935483870967742,0.0,1.3729858383178957e-07,-1,TRAD_BY,10.0
18-24_Long_90's_Fantasy,3.5,0.9935483870967742,0.0,1.770366010253197e-07,-1,TRAD_BY,10.0
25-34_Short_90's,3.5,0.9935483870967742,0.0,2.674880164755928e-07,-1,TRAD_BY,10.0
M_35-44_Thriller,3.5,0.9935483870967742,0.0,6.313878372626498e-07,-1,TRAD_BY,10.0
25-34_Action,3.5,0.9935483870967742,0.0,7.07558600292934e-07,-1,TRAD_BY,10.0
F_Long_90's_Children's,3.5,0.9935483870967742,0.0,2.1699515591484524e-06,-1,TRAD_BY,10.0
18-24_90's_Comedy,3.5,0.9935483870967742,0.0,3.85758885800319e-06,-1,TRAD_BY,10.0
M_2000's_Action,3.5,0.9935483870967742,0.0,7.192239487482504e-06,-1,TRAD_BY,10.0
M_Long_Adventure,3.5,1.0,0.0,7.72726538938963e-06,-1,TRAD_BY,10.0
