num_max_hypo,threshold,method,adjustment,Candidates,Hypothesis,Without_Adjust,grouping_time,Best_pairs,Min_p_value,Max_p_value,Sum_p_value,Cov_period_1,Cov_period_2,Cov_total,p_value_adjustement_time
10.0,-1,Traditional,Benjamini,166.0,166.0,84.0,4.774632930755615,55.0,4.786086289529176e-25,0.006160379738761796,0.03664055850394968,0.9935483870967742,0.0,0.9935483870967742,0.5725407600402832
10.0,-1,Traditional,Bonferroni,166.0,166.0,84.0,4.774632930755615,42.0,4.786086289529176e-25,0.000507394750168279,0.0022527057747373756,0.9935483870967742,0.0,0.9935483870967742,0.5684609413146973
10.0,-1,Coverage_Two_Sides,Benjamini,166.0,166.0,84.0,4.774632930755615,2.0,4.786086289529176e-25,3.1367204368017416e-20,3.136768297664637e-20,0.9935483870967742,0.0,0.9935483870967742,0.5881557464599609
10.0,-1,Coverage_Two_Sides,Bonferroni,166.0,166.0,84.0,4.774632930755615,2.0,4.786086289529176e-25,3.1367204368017416e-20,3.136768297664637e-20,0.9935483870967742,0.0,0.9935483870967742,0.5849289894104004
10.0,-1,Coverage_Side_1,Benjamini,166.0,166.0,84.0,4.774632930755615,2.0,4.786086289529176e-25,3.1367204368017416e-20,3.136768297664637e-20,0.9935483870967742,0.0,0.9935483870967742,0.5784111022949219
10.0,-1,Coverage_Side_1,Bonferroni,166.0,166.0,84.0,4.774632930755615,2.0,4.786086289529176e-25,3.1367204368017416e-20,3.136768297664637e-20,0.9935483870967742,0.0,0.9935483870967742,0.5782690048217773
10.0,-1,Coverage_Side_2,Benjamini,166.0,166.0,84.0,4.774632930755615,0.0,,,0.0,,,,0.570227861404419
10.0,-1,Coverage_Side_2,Bonferroni,166.0,166.0,84.0,4.774632930755615,0.0,,,0.0,,,,0.5704140663146973
10.0,-1,Coverage_alpha_investing,gamma_20,166.0,166.0,84.0,4.774632930755615,2.0,4.786086289529176e-25,3.1367204368017416e-20,3.136768297664637e-20,0.9935483870967742,0.0,0.9935483870967742,0.03675699234008789
10.0,-1,Coverage_alpha_investing,gamma_50,166.0,166.0,84.0,4.774632930755615,2.0,4.786086289529176e-25,3.1367204368017416e-20,3.136768297664637e-20,0.9935483870967742,0.0,0.9935483870967742,0.03615903854370117
10.0,-1,Coverage_alpha_investing,gamma_100,166.0,166.0,84.0,4.774632930755615,2.0,4.786086289529176e-25,3.1367204368017416e-20,3.136768297664637e-20,0.9935483870967742,0.0,0.9935483870967742,0.03734302520751953
10.0,-1,Coverage_alpha_investing,gamma_200,166.0,166.0,84.0,4.774632930755615,2.0,4.786086289529176e-25,3.1367204368017416e-20,3.136768297664637e-20,0.9935483870967742,0.0,0.9935483870967742,0.0352931022644043
10.0,25,Traditional,Benjamini,166.0,166.0,84.0,4.774632930755615,25.0,4.786086289529176e-25,4.480741951779823e-06,1.627062631751813e-05,0.9935483870967742,0.0,0.9935483870967742,0.5667209625244141
10.0,25,Traditional,Bonferroni,166.0,166.0,84.0,4.774632930755615,25.0,4.786086289529176e-25,4.480741951779823e-06,1.627062631751813e-05,0.9935483870967742,0.0,0.9935483870967742,0.56650710105896
10.0,25,Coverage_Two_Sides,Benjamini,166.0,166.0,84.0,4.774632930755615,2.0,4.786086289529176e-25,3.1367204368017416e-20,3.136768297664637e-20,0.9935483870967742,0.0,0.9935483870967742,0.584805965423584
