group1,group2,coverage_gained_1,coverage_gained_2,p-value,threshold,method,adjustment,num_max_hypo,wealth,alpha_j,nb_refus_before,pairs,coverage_gained
F_18-24_90's,3.5,0.17419354838709677,0.0,8.767202585536575e-26,-1,Traditional,Benjamini,10.0,,,,F_18-24_90's 3.5,0.08709677419354839
Long_90's_Adventure,3.5,0.6064516129032258,0.0,1.893583631403567e-19,-1,Traditional,Benjamini,10.0,,,,Long_90's_Adventure 3.5,0.3032258064516129
18-24_Long_70's,3.5,0.6838709677419355,0.0,1.3860871756706703e-18,-1,Traditional,Benjamini,10.0,,,,18-24_Long_70's 3.5,0.3419354838709677
35-44_80's,3.5,0.6903225806451613,0.0,1.5293750615416955e-16,-1,Traditional,Benjamini,10.0,,,,35-44_80's 3.5,0.34516129032258064
35-44_Long_70's,3.5,0.6903225806451613,0.0,6.536396920434275e-12,-1,Traditional,Benjamini,10.0,,,,35-44_Long_70's 3.5,0.34516129032258064
M_18-24_Long_50's,3.5,0.7096774193548387,0.0,1.0599061386171061e-10,-1,Traditional,Benjamini,10.0,,,,M_18-24_Long_50's 3.5,0.3548387096774194
Long_Adventure,3.5,0.7935483870967742,0.0,1.7856962690501967e-10,-1,Traditional,Benjamini,10.0,,,,Long_Adventure 3.5,0.3967741935483871
M_90's_Adventure,3.5,0.7935483870967742,0.0,3.812937816669632e-10,-1,Traditional,Benjamini,10.0,,,,M_90's_Adventure 3.5,0.3967741935483871
Long_90's_Fantasy,3.5,0.8129032258064516,0.0,6.708204448472735e-10,-1,Traditional,Benjamini,10.0,,,,Long_90's_Fantasy 3.5,0.4064516129032258
18-24_90's_Drama,3.5,0.8580645161290322,0.0,1.104238115372602e-09,-1,Traditional,Benjamini,10.0,,,,18-24_90's_Drama 3.5,0.4290322580645161
M_Crime,3.5,0.9161290322580645,0.0,1.3771533294254657e-09,-1,Traditional,Benjamini,10.0,,,,M_Crime 3.5,0.45806451612903226
25-34_90's_Action,3.5,0.9290322580645162,0.0,3.5995408728250134e-09,-1,Traditional,Benjamini,10.0,,,,25-34_90's_Action 3.5,0.4645161290322581
M_Long_90's_Drama,3.5,0.9419354838709677,0.0,1.7188504438540486e-08,-1,Traditional,Benjamini,10.0,,,,M_Long_90's_Drama 3.5,0.47096774193548385
25-34_Long_Horror,3.5,0.9419354838709677,0.0,3.642474578256459e-08,-1,Traditional,Benjamini,10.0,,,,25-34_Long_Horror 3.5,0.47096774193548385
M_25-34_Long_Horror,3.5,0.9419354838709677,0.0,5.101825206873927e-08,-1,Traditional,Benjamini,10.0,,,,M_25-34_Long_Horror 3.5,0.47096774193548385
Long_90's_Drama,3.5,0.9612903225806452,0.0,7.141096899886647e-08,-1,Traditional,Benjamini,10.0,,,,Long_90's_Drama 3.5,0.4806451612903226
Long_70's_Crime,3.5,0.9612903225806452,0.0,9.220741016391877e-08,-1,Traditional,Benjamini,10.0,,,,Long_70's_Crime 3.5,0.4806451612903226
60's,3.5,0.9612903225806452,0.0,1.0289085656441438e-07,-1,Traditional,Benjamini,10.0,,,,60's 3.5,0.4806451612903226
Long_60's,3.5,0.9612903225806452,0.0,1.2733733362861225e-07,-1,Traditional,Benjamini,10.0,,,,Long_60's 3.5,0.4806451612903226
M_18-24_Long_Crime,3.5,0.9612903225806452,0.0,1.3966147520403674e-07,-1,Traditional,Benjamini,10.0,,,,M_18-24_Long_Crime 3.5,0.4806451612903226
