grp1,grp1_size,grp2,grp2_size,p-value
40-44_501002,24,norm,0,1.443962898120834e-19
120109,123,norm,0,2.3722945584674624e-98
110312,19,norm,0,1.3789427200730043e-15
30-34_120102,14,norm,0,1.3204011744245024e-11
30-34_501002,17,norm,0,5.3924279686793435e-14
40-44_100319,28,norm,0,9.45994460395218e-23
30-34_100414,57,norm,0,7.885829716150461e-46
30-34_500509,12,norm,0,5.176651378299868e-10
35-39_530109,11,norm,0,3.244175243873352e-09
520424,77,norm,0,9.57264761907991e-62
100110,177,norm,0,2.5313674026789866e-141
30-34_520424,18,norm,0,8.622627804319459e-15
300115,73,norm,0,1.45940818980306e-58
500542,13,norm,0,8.265582782641991e-11
130401,237,norm,0,4.539544425023986e-189
30-34_110109,38,norm,0,1.0406149586719979e-30
30-34_110305,27,norm,0,5.912726023985135e-22
35-39_100406,15,norm,0,2.110050690180713e-12
560408,12,norm,0,5.176651378299868e-10
40-44_100314,43,norm,0,1.0918276048030177e-34
<25_100508,12,norm,0,5.176651378299868e-10
100104,103,norm,0,1.953050962054435e-82
55-59_100205,30,norm,0,2.4216862728238383e-24
30-34_100304,22,norm,0,5.642604018055882e-18
<25_100205,78,norm,0,1.531958267748245e-62
760210,13,norm,0,8.265582782641991e-11
50-54_130302,11,norm,0,3.244175243873352e-09
45-49_100407,36,norm,0,4.064131715339913e-29
530502,43,norm,0,1.0918276048030177e-34
35-39_530405,53,norm,0,1.2023993919798044e-42
40-44_130304,25,norm,0,2.3100419333528155e-20
510512,13,norm,0,8.265582782641991e-11
520314,19,norm,0,1.3789427200730043e-15
40-44_500307,22,norm,0,5.642604018055882e-18
55-59_100323,13,norm,0,8.265582782641991e-11
25-29_130101,21,norm,0,3.5275491988228295e-17
35-39_130315,270,norm,0,2.491995769597626e-215
<25_110217,33,norm,0,9.920129899870544e-27
35-39_100302,11,norm,0,3.244175243873352e-09
45-49_110603,18,norm,0,8.622627804319459e-15
45-49_100508,25,norm,0,3.947080267300922e-25
510124,13,norm,0,8.265582782641991e-11
500306,22,norm,0,5.642604018055882e-18
50-54_130206,70,norm,0,3.5607393603175123e-56
30-34_300716,11,norm,0,3.244175243873352e-09
520425,130,norm,0,6.37878674594155e-104
35-39_530404,60,norm,0,3.2318946954638363e-48
100304,115,norm,0,5.5129077706574846e-92
<25_560402,12,norm,0,5.176651378299868e-10
40-44_110510,16,norm,0,3.372836020422926e-13
130404,74,norm,0,2.3355541685786086e-59
25-29_100201,76,norm,0,5.981603319913218e-61
>65_530101,11,norm,0,3.244175243873352e-09
30-34_500202,48,norm,0,1.1457230631881586e-38
25-29_712902,13,norm,0,8.265582782641991e-11
40-44_110102,21,norm,0,3.5275491988228295e-17
130201,331,norm,0,7.1531807823322804e-264
30-34_300113,12,norm,0,5.176651378299868e-10
30-34_120105,79,norm,0,2.4516709476504913e-63
45-49_110121,11,norm,0,3.244175243873352e-09
30-34_560402,129,norm,0,3.9857826761542633e-103
35-39_712902,46,norm,0,4.474076157616867e-37
45-49_100305,22,norm,0,5.642604018055882e-18
35-39_100108,22,norm,0,5.642604018055882e-18
30-34_100201,161,norm,0,1.3668758170510617e-128
35-39_100510,68,norm,0,1.390331705950955e-54
25-29_300423,13,norm,0,8.265582782641991e-11
40-44_530301,36,norm,0,4.064131715339913e-29
30-34_560336,44,norm,0,1.7471691922874392e-35
110112,145,norm,0,7.380976709889882e-116
35-39_130111,11,norm,0,3.244175243873352e-09
35-39_530601,13,norm,0,8.265582782641991e-11
30-34_110102,26,norm,0,3.6957083597650024e-21
30-34_100440,13,norm,0,8.265582782641991e-11
130316,51,norm,0,4.695228579799909e-41
40-44_100601,12,norm,0,5.176651378299868e-10
760130,12,norm,0,5.176651378299868e-10
30-34_530114,69,norm,0,2.2249949345583892e-55
40-44_100113,18,norm,0,8.622627804319459e-15
760164,39,norm,0,1.665162968225606e-31
760503,21,norm,0,3.5275491988228295e-17
470207,55,norm,0,3.07925614182118e-44
500307,121,norm,0,9.262346379356151e-97
40-44_120105,79,norm,0,2.4516709476504913e-63
45-49_110114,13,norm,0,8.265582782641991e-11
45-49_130304,20,norm,0,2.205430306931295e-16
45-49_100101,12,norm,0,5.176651378299868e-10
45-49_120107,21,norm,0,3.5275491988228295e-17
35-39_110509,28,norm,0,9.45994460395218e-23
760909,19,norm,0,1.3789427200730043e-15
25-29_100212,11,norm,0,3.244175243873352e-09
45-49_100202,39,norm,0,1.665162968225606e-31
30-34_100306,14,norm,0,1.3204011744245024e-11
30-34_100305,47,norm,0,7.159630263352944e-38
35-39_500803,13,norm,0,8.265582782641991e-11
100325,82,norm,0,1.00487045062103e-65
760505,14,norm,0,1.3204011744245024e-11
110202,43,norm,0,1.0918276048030177e-34
30-34_100312,165,norm,0,8.966742416554213e-132
130313,120,norm,0,5.7875848343940494e-96
25-29_530404,16,norm,0,3.372836020422926e-13
35-39_530220,18,norm,0,8.622627804319459e-15
35-39_530104,82,norm,0,1.00487045062103e-65
25-29_560102,14,norm,0,1.3204011744245024e-11
40-44_110118,34,norm,0,1.587312898930906e-27
45-49_130101,36,norm,0,4.064131715339913e-29
35-39_100413,28,norm,0,9.45994460395218e-23
35-39_500509,20,norm,0,2.205430306931295e-16
60-64_500201,16,norm,0,3.372836020422926e-13
30-34_110133,17,norm,0,5.3924279686793435e-14
35-39_110137,26,norm,0,3.6957083597650024e-21
40-44_100307,21,norm,0,3.5275491988228295e-17
40-44_110137,27,norm,0,5.912726023985135e-22
30-34_520457,29,norm,0,1.5135576958009308e-23
25-29_100110,16,norm,0,3.372836020422926e-13
<25_100505,20,norm,0,2.205430306931295e-16
>65_100201,20,norm,0,2.205430306931295e-16
110401,1142,norm,0,0.0
35-39_110501,42,norm,0,6.823003683301127e-34
100427,17,norm,0,5.3924279686793435e-14
30-34_300301,24,norm,0,1.443962898120834e-19
40-44_110138,15,norm,0,2.110050690180713e-12
35-39_530105,127,norm,0,1.5561982727557367e-101
25-29_110507,61,norm,0,5.172044506726e-49
45-49_100212,17,norm,0,5.3924279686793435e-14
110207,110,norm,0,5.251302260272147e-88
40-44_712901,38,norm,0,1.0406149586719979e-30
110602,22,norm,0,5.642604018055882e-18
45-49_530301,24,norm,0,1.443962898120834e-19
30-34,13070,norm,0,0.0
530406,182,norm,0,2.657603109735595e-145
300716,61,norm,0,5.172044506726e-49
30-34_110508,46,norm,0,4.474076157616867e-37
35-39_560204,52,norm,0,7.513669250423938e-42
45-49_130402,13,norm,0,8.265582782641991e-11
50-54_110502,18,norm,0,8.622627804319459e-15
40-44_100205,264,norm,0,1.4831205803943705e-210
40-44_500903,28,norm,0,9.45994460395218e-23
40-44_100402,25,norm,0,2.3100419333528155e-20
110131,84,norm,0,2.5736155494066364e-67
100306,80,norm,0,3.923537386754808e-64
>65_120101,18,norm,0,8.622627804319459e-15
35-39_321305,11,norm,0,3.244175243873352e-09
540101,24,norm,0,1.443962898120834e-19
50-54_110217,66,norm,0,5.428739571570671e-53
740105,157,norm,0,2.0836467861114118e-125
501002,131,norm,0,1.0208516422464754e-104
<25_110106,27,norm,0,5.912726023985135e-22
712201,11,norm,0,3.244175243873352e-09
35-39_520437,19,norm,0,1.3789427200730043e-15
>65_120112,11,norm,0,3.244175243873352e-09
30-34_300604,13,norm,0,8.265582782641991e-11
45-49_120106,42,norm,0,6.823003683301127e-34
110517,64,norm,0,2.1197378508130166e-51
30-34_110405,37,norm,0,6.503197888110072e-30
25-29_300301,24,norm,0,1.443962898120834e-19
30-34_520473,32,norm,0,6.199801498733233e-26
40-44_110410,21,norm,0,3.5275491988228295e-17
40-44_100208,26,norm,0,3.6957083597650024e-21
40-44_530104,47,norm,0,7.159630263352944e-38
25-29_100103,14,norm,0,1.3204011744245024e-11
530227,16,norm,0,3.372836020422926e-13
30-34_110518,11,norm,0,3.244175243873352e-09
35-39_100202,54,norm,0,1.924184384986083e-43
40-44_120109,32,norm,0,6.199801498733233e-26
300602,16,norm,0,3.372836020422926e-13
500311,218,norm,0,5.979709503424772e-174
35-39_300418,14,norm,0,1.3204011744245024e-11
35-39_100323,69,norm,0,2.2249949345583892e-55
760121,13,norm,0,8.265582782641991e-11
30-34_731302,11,norm,0,3.244175243873352e-09
45-49_110118,24,norm,0,1.443962898120834e-19
35-39_500207,11,norm,0,3.244175243873352e-09
730719,44,norm,0,1.7471691922874392e-35
100216,55,norm,0,3.07925614182118e-44
100434,13,norm,0,8.265582782641991e-11
45-49_110403,20,norm,0,2.205430306931295e-16
35-39_760561,16,norm,0,3.372836020422926e-13
25-29_520126,12,norm,0,5.176651378299868e-10
100202,242,norm,0,4.765990312395959e-193
731301,41,norm,0,4.263828767888814e-33
50-54_530403,15,norm,0,2.110050690180713e-12
100416,87,norm,0,1.0548636611987211e-69
300418,40,norm,0,2.664567493921263e-32
35-39_740807,12,norm,0,5.176651378299868e-10
35-39_110332,12,norm,0,5.176651378299868e-10
35-39_110201,34,norm,0,1.587312898930906e-27
