grp1,grp1_size,grp2,grp2_size,p-value
philippines_18-24,115,0.5,0,4.0017106627067685e-82
australia_50-55,363,0.5,0,1.3952192679379417e-129
poland_18-24_90's,25,0.5,0,4.2762823157006937e-19
dominican republic,470,0.5,0,0.0
united kingdom_25-34_70's,119,0.5,0,7.690172807116838e-44
france_18-24_80's,133,0.5,0,9.04127420462141e-49
canada_50's,102,0.5,0,9.660462430691809e-111
bermuda_35-44,15,0.5,0,5.824705554459992e-07
mexico,152,0.5,0,5.8259455270365174e-108
russia,29,0.5,0,5.290743527604006e-12
<18_80's,1936,0.5,0,0.0
egypt_35-44,46,0.5,0,9.843309908670708e-51
portugal_70's,124,0.5,0,2.07004040523183e-88
canada_40's,11,0.5,0,5.060046065842555e-21
new zealand_45-49_80's,47,0.5,0,6.616340621243313e-05
czech republic_18-24_2000's,20,0.5,0,9.003650877818992e-09
egypt,69,0.5,0,5.743629491225446e-50
canada_35-44_60's,41,0.5,0,2.388258005681169e-30
egypt_80's,14,0.5,0,2.6192704391529938e-11
france_35-44,775,0.5,0,4.080047364869623e-274
brazil_18-24_2000's,32,0.5,0,5.028081665597102e-24
usa_35-44_2000's,39580,0.5,0,0.0
norway_25-34,122,0.5,0,6.750617842129501e-45
>56,45140,0.5,0,0.0
usa_45-49,43022,0.5,0,0.0
usa_>56_60's,130,0.5,0,1.0289108196059767e-47
new zealand_18-24_80's,27,0.5,0,0.0018002486106697359
south korea_18-24,11,0.5,0,5.4497019829205215e-17
united kingdom_<18,208,0.5,0,4.8347836715321396e-147
spain_50-55_80's,27,0.5,0,2.7496543206016663e-11
australia_50's,16,0.5,0,9.91866738159077e-13
spain_18-24_2000's,484,0.5,0,0.0
50's,1181,0.5,0,0.0
ireland_35-44_90's,46,0.5,0,7.786592844143686e-05
35-44_50's,312,0.5,0,1.3923015315070824e-219
new zealand_35-44_90's,143,0.5,0,2.732091259078592e-52
turkey,42,0.5,0,1.935714291973174e-46
italy_25-34_90's,341,0.5,0,7.366037975243357e-122
germany_50-55_2000's,96,0.5,0,7.549186161974983e-69
norway,214,0.5,0,2.953091794543033e-77
canada_>56,3809,0.5,0,1.6788834535970575e-256
usa_<18,11244,0.5,0,0.0
belgium,353,0.5,0,3.579836639863387e-248
germany_45-49,696,0.5,0,2.0725386902715017e-246
new zealand_90's,597,0.5,0,1.0978014263938898e-211
united kingdom_18-24_90's,627,0.5,0,3.292642975032665e-222
60's,1800,0.5,0,0.0
spain_18-24_80's,114,0.5,0,4.4384197162839344e-42
usa_<18_80's,1604,0.5,0,0.0
belgium_25-34_80's,29,0.5,0,6.494588541442053e-22
singapore_<18_90's,17,0.5,0,1.9358421101279626e-13
mexico_35-44,51,0.5,0,7.857610724654791e-20
germany_50-55_90's,113,0.5,0,9.985428800340348e-81
spain_>56_2000's,79,0.5,0,9.780466463711831e-30
france_45-49_80's,73,0.5,0,9.127629027398627e-53
canada_70's,931,0.5,0,0.0
germany_<18_90's,132,0.5,0,5.359808201234549e-94
netherlands_45-49,265,0.5,0,3.573369586481101e-95
united kingdom_50-55_70's,26,0.5,0,6.274266201376244e-11
qatar_2000's,157,0.5,0,1.7748125196144841e-12
japan_35-44,77,0.5,0,4.9736341034073356e-29
france_45-49,401,0.5,0,6.418604353969883e-143
france_25-34_2000's,1163,0.5,0,0.0
usa_25-34,123771,0.5,0,0.0
france_25-34,2639,0.5,0,0.0
ireland_25-34,120,0.5,0,5.211483767219961e-130
usa_50-55_70's,665,0.5,0,0.0
spain_50-55_90's,126,0.5,0,2.6348326636596515e-46
philippines_<18,135,0.5,0,7.123927680766652e-198
45-49_70's,954,0.5,0,0.0
canada_90's,22373,0.5,0,0.0
spain_>56_90's,100,0.5,0,1.2089825633556681e-71
iran_35-44_80's,47,0.5,0,8.317345256782155e-52
portugal_35-44_2000's,241,0.5,0,9.626842438730575e-87
usa_<18_60's,70,0.5,0,1.1466070284402504e-50
denmark_25-34_2000's,53,0.5,0,1.535629262273759e-20
dominican republic_80's,45,0.5,0,1.1651993939893425e-49
bulgaria_80's,13,0.5,0,3.3693492666923567e-15
romania_<18,31,0.5,0,2.64804848563084e-46
taiwan_2000's,69,0.5,0,2.1375269301599274e-75
south africa_18-24,39,0.5,0,3.2239858823648465e-43
burma_>56,22,0.5,0,0.004207748192686701
france_25-34_60's,24,0.5,0,4.376393520291513e-27
poland_90's,108,0.5,0,3.1079270096041274e-77
costa rica,20,0.5,0,9.00840501025224e-23
poland_<18_90's,52,0.5,0,4.6082490987972857e-38
mexico_18-24_90's,11,0.5,0,5.060046065842555e-21
portugal_25-34,3060,0.5,0,0.0
portugal_18-24_80's,34,0.5,0,8.671094307964141e-14
germany_>56,172,0.5,0,1.716879230998202e-62
united kingdom_18-24_2000's,464,0.5,0,5.010675690390727e-165
belgium_35-44,31,0.5,0,2.5403414607826311e-23
qatar_25-34_2000's,95,0.5,0,2.2091566638597347e-35
austria_18-24_80's,18,0.5,0,3.784528270991843e-14
philippines_2000's,104,0.5,0,6.97926202051311e-113
romania_<18_90's,15,0.5,0,2.2883643464336782e-17
usa_30's,59,0.5,0,5.7495470005582944e-43
austria_25-34_80's,38,0.5,0,3.050980630386239e-28
netherlands_<18,15,0.5,0,5.824705554459992e-07
spain_25-34_2000's,1165,0.5,0,0.0
new zealand_25-34_80's,36,0.5,0,1.6796281463982406e-14
france_>56,43,0.5,0,9.42954172328754e-32
taiwan_35-44_2000's,64,0.5,0,4.882889333119331e-70
portugal_80's,405,0.5,0,1.984705586111652e-284
brazil_25-34_90's,132,0.5,0,2.0336053950999202e-48
portugal_<18_90's,30,0.5,0,1.5196506136475666e-33
united kingdom_50's,29,0.5,0,0.0012863606571427615
usa_50-55_60's,85,0.5,0,4.673007046295852e-125
malaysia_70's,67,0.5,0,1.7003715941798958e-25
20's,110,0.5,0,1.2450188664679983e-78
>56_90's,21957,0.5,0,0.0
austria_25-34_2000's,274,0.5,0,2.4668896801953083e-98
portugal_35-44_90's,299,0.5,0,4.1017514287178424e-107
denmark_90's,109,0.5,0,2.5640755020551475e-40
usa_50's,890,0.5,0,0.0
south korea_25-34_90's,13,0.5,0,3.125667947550419e-06
austria_80's,103,0.5,0,8.210951239807852e-112
taiwan,180,0.5,0,3.309536383395888e-194
>56_50's,69,0.5,0,3.337603224465427e-26
sweden_18-24_90's,19,0.5,0,7.40972012887113e-15
malaysia,2792,0.5,0,0.0
hong kong_35-44_90's,16,0.5,0,2.522085078696141e-07
netherlands_25-34_2000's,249,0.5,0,1.48980968483565e-89
cyprus,31,0.5,0,1.0202758541470007e-12
sweden_80's,34,0.5,0,1.9725818824655622e-25
denmark_18-24,28,0.5,0,1.2057823057922902e-11
turkey_18-24,14,0.5,0,1.3478138468651034e-06
finland_90's,421,0.5,0,6.147034379033364e-150
greece_25-34,42,0.5,0,0.00014965692625545332
singapore_25-34,107,0.5,0,1.5529084583131323e-76
usa_>56_90's,18736,0.5,0,0.0
iran_2000's,484,0.5,0,4.814148185466187e-172
france_35-44_70's,42,0.5,0,4.744879838122599e-31
sweden_45-49,14,0.5,0,0.017000836876312216
malaysia_25-34_70's,30,0.5,0,1.284113991385333e-22
50-55_50's,60,0.5,0,1.1464140657549148e-43
slovenia_25-34_90's,17,0.5,0,1.9358421101279626e-13
australia_35-44_90's,753,0.5,0,2.1182025911188775e-266
canada_45-49,3074,0.5,0,0.0
25-34_60's,668,0.5,0,0.0
germany_50-55,230,0.5,0,2.1679105783304268e-162
romania_70's,31,0.5,0,2.64804848563084e-46
35-44_30's,19,0.5,0,1.0821066535268352e-21
germany_18-24_70's,27,0.5,0,1.664274573869363e-20
germany_18-24,1370,0.5,0,0.0
romania_18-24_70's,17,0.5,0,3.263656088432296e-32
