group1,group2,coverage_gained_1,coverage_gained_2,p-value,n,algorithm,samples
M_academic-educator_Long,18-24_other_Long,0.9714285714285714,0.625,1.4050680759691694e-06,-1,TRAD_BY,10.0
M_academic-educator_Long,M_18-24_other_Long,0.9714285714285714,0.625,1.4050680759691694e-06,-1,TRAD_BY,10.0
F_sales-marketing,Comedy,0.9714285714285714,0.9583333333333334,2.023435062189053e-06,-1,TRAD_BY,10.0
F_sales-marketing_Long,Comedy,0.9714285714285714,0.9583333333333334,2.023435062189053e-06,-1,TRAD_BY,10.0
F_sales-marketing_Long,M_Comedy,0.9714285714285714,0.9583333333333334,2.196590960734749e-06,-1,TRAD_BY,10.0
F_sales-marketing_Long,M_Long_Comedy,0.9714285714285714,0.9583333333333334,2.200063160583293e-06,-1,TRAD_BY,10.0
executive-managerial,scientist_Comedy,0.9714285714285714,0.9583333333333334,2.4538784938008016e-06,-1,TRAD_BY,10.0
executive-managerial,M_scientist_Comedy,0.9714285714285714,0.9583333333333334,2.4538784938008016e-06,-1,TRAD_BY,10.0
executive-managerial,scientist_Comedy,0.9714285714285714,0.9583333333333334,2.4538784938008016e-06,-1,TRAD_BY,10.0
Long_War,M_18-24_other_Long,0.9714285714285714,0.9583333333333334,2.692424774393672e-06,-1,TRAD_BY,10.0
Long_War,18-24_other_Long,0.9714285714285714,0.9583333333333334,3.1601619740961346e-06,-1,TRAD_BY,10.0
War,M_18-24_other_Long,0.9714285714285714,0.9583333333333334,3.1601619740961346e-06,-1,TRAD_BY,10.0
Long_War,M_18-24_other_Long,0.9714285714285714,0.9583333333333334,3.2532983422828577e-06,-1,TRAD_BY,10.0
Long_War,M_18-24_other_Long,0.9714285714285714,0.9583333333333334,3.2532983422828577e-06,-1,TRAD_BY,10.0
sales-marketing_Long,college-grad student,0.9714285714285714,0.9583333333333334,3.905248074736848e-06,-1,TRAD_BY,10.0
M_academic-educator_Long,Adventure,0.9714285714285714,0.9583333333333334,4.771967861591384e-06,-1,TRAD_BY,10.0
M_academic-educator,Adventure,0.9714285714285714,0.9583333333333334,4.771967861591384e-06,-1,TRAD_BY,10.0
executive-managerial_Long,scientist_Long_Comedy,0.9714285714285714,0.9583333333333334,4.77604625973287e-06,-1,TRAD_BY,10.0
M_25-34_executive-managerial_Long,other,0.9714285714285714,0.9583333333333334,4.863707286492455e-06,-1,TRAD_BY,10.0
25-34_executive-managerial,M_other,0.9714285714285714,0.9583333333333334,4.863707286492455e-06,-1,TRAD_BY,10.0
M_executive-managerial_Long,other,0.9714285714285714,0.9583333333333334,4.863707286492455e-06,-1,TRAD_BY,10.0
M_25-34_executive-managerial,M_other,0.9714285714285714,0.9583333333333334,4.863707286492455e-06,-1,TRAD_BY,10.0
25-34_executive-managerial_Long,M_other,0.9714285714285714,0.9583333333333334,4.863707286492455e-06,-1,TRAD_BY,10.0
25-34_executive-managerial_Long,other,0.9714285714285714,0.9583333333333334,4.863707286492455e-06,-1,TRAD_BY,10.0
M_executive-managerial,M_other,0.9714285714285714,0.9583333333333334,4.863707286492455e-06,-1,TRAD_BY,10.0
M_academic-educator_Long,M_Long_Adventure,0.9714285714285714,0.9583333333333334,5.605897809641999e-06,-1,TRAD_BY,10.0
M_academic-educator_Long,M_Adventure,0.9714285714285714,0.9583333333333334,5.605897809641999e-06,-1,TRAD_BY,10.0
