threshold,method,adjustment,Candidates,Hypothesis,Without_Adjust,evaluation_cases_time,grouping_time,Best_pairs,Min_p_value,Max_p_value,Sum_p_value,Cov_period_1,Cov_period_2,Cov_total,p_value_adjustement_time
-1,Traditional,Benjamini,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,5320.0,1.9556410158418907e-15,0.001268699337017905,1.806455574846695,1.0,1.0,1.0,6.996991872787476
-1,Traditional,Bonferroni,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,616.0,1.9556410158418907e-15,2.4538784938008016e-06,0.00044571144456550507,0.9714285714285714,0.9583333333333334,0.9648809523809524,0.0837869644165039
-1,Coverage_Two_Sides,Benjamini,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,7.0,1.9556410158418907e-15,3.9345991678138136e-05,6.932570499885068e-05,1.0,1.0,1.0,4.8228440284729
-1,Coverage_Two_Sides,Bonferroni,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,7.0,1.9556410158418907e-15,2.023435062189053e-06,3.7562846686987393e-06,0.9714285714285714,0.9583333333333334,0.9648809523809524,41.71059989929199
-1,Coverage_Side_1,Benjamini,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,5.0,3.7645459316365216e-12,2.0842799374544227e-05,2.2112217433219817e-05,1.0,0.25,0.625,0.4118919372558594
-1,Coverage_Side_1,Bonferroni,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,6.0,1.9556410158418907e-15,6.233616772568037e-07,1.2694196192434584e-06,0.9714285714285714,0.3333333333333333,0.6523809523809524,6.771960973739624
-1,Coverage_Side_2,Benjamini,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,4.0,1.9556410158418907e-15,5.960101397093007e-06,8.446968007116154e-06,0.34285714285714286,1.0,0.6714285714285715,0.41433191299438477
-1,Coverage_Side_2,Bonferroni,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,3.0,1.9556410158418907e-15,2.023435062189053e-06,2.486866610023147e-06,0.2,0.9583333333333334,0.5791666666666667,9.446414232254028
-1,Coverage_alpha_investing,gamma_10,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,0.0,,,0.0,,,,294.1192247867584
-1,Coverage_alpha_investing,gamma_20,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,0.0,,,0.0,,,,287.80771923065186
-1,Coverage_alpha_investing,gamma_50,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,0.0,,,0.0,,,,273.2694549560547
-1,Coverage_alpha_investing,gamma_100,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,5.0,3.862607955892633e-15,3.9345991678138136e-05,5.9648633598142914e-05,0.9428571428571428,1.0,0.9714285714285714,12.427495956420898
-1,Coverage_alpha_investing,gamma_150,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,6.0,3.862607955892633e-15,3.9345991678138136e-05,8.520522591611376e-05,0.9714285714285714,1.0,0.9857142857142858,10.45713186264038
-1,Coverage_alpha_investing,gamma_200,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,7.0,3.862607955892633e-15,3.9345991678138136e-05,8.794420343614918e-05,1.0,1.0,1.0,6.435575008392334
5,Traditional,Benjamini,749749.0,44368.0,19472.0,8.821487426757812e-06,6.208558797836304,5.0,1.9556410158418907e-15,1.9556410158418907e-15,9.778205079209453e-15,0.14285714285714285,0.20833333333333334,0.17559523809523808,0.01043081283569336
