grp1,grp1_size,grp2,grp2_size,p-value
M_35-44_artist_Long_80's,24,>56_Long_80's,23,0.03373114538089095
M_18-24_technician-engineer,23,>56_80's,23,0.02472024578256561
M_K-12 student_Long_90's,40,M_25-34_sales-marketing_Long_90's,43,0.0006313682875616067
M_25-34_college-grad student_Long_80's,42,technician-engineer_80's,38,7.510121652787305e-06
18-24_college-grad student_2000's,56,M_25-34_tradesman-craftsman_Long,53,0.03080877213263833
18-24_programmer_90's,22,50-55_self-employed,34,4.022390431845935e-08
M_25-34_Long_40's,27,F_18-24_academic-educator_Long,38,0.024548578036952762
M_25-34_academic-educator_Long,81,F_50-55_doctor-health care_Long,78,2.9711882953975532e-09
25-34_doctor-health care_Long_90's,46,clerical-admin_90's,40,0.0011002150787987608
50-55_writer,22,F_45-49_Long,25,2.1165540338152766e-06
F_35-44_homemaker,38,25-34_artist_Long,39,0.001296679981038773
50-55_writer,22,M_50-55_Long_70's,25,0.006197268646781828
M_retired,83,<18_K-12 student_90's,91,0.01688959624225861
executive-managerial_70's,26,M_50-55_sales-marketing_90's,27,0.008059326143343593
18-24_programmer,42,M_technician-engineer_80's,37,2.676256618538986e-07
M_25-34_lawyer_90's,34,customer service,28,3.990083918825604e-08
M_45-49_Long_2000's,25,>56_self-employed_Long,23,5.223645896945683e-07
25-34_writer_Long,100,<18_90's,96,0.04027186188193432
M_18-24_programmer_90's,22,writer_Long_2000's,23,9.147224588779146e-06
35-44_lawyer_Long_80's,30,writer_70's,24,0.020585663818670885
M_35-44_scientist_Long_90's,24,M_unemployed,29,0.016823398505820042
M_35-44_scientist_Long_90's,24,50-55_sales-marketing,35,0.012268857516498088
F_35-44_academic-educator_Long,31,F_18-24_academic-educator,38,0.00010504412581335831
35-44_Long_2000's,85,M_18-24_sales-marketing_Long_90's,78,0.0007145830528628716
M_35-44_2000's,47,50-55_artist_80's,36,0.03449001007442276
F_35-44_academic-educator,31,lawyer_90's,38,0.02609472613579822
18-24_writer_Long,60,M_25-34_writer_Long,54,0.009721301201054855
<18_K-12 student_80's,36,F_25-34_writer_Long,37,0.02681935195882912
M_clerical-admin_Long,45,F_K-12 student,55,4.256602918695229e-06
M_25-34_sales-marketing_80's,36,F_60's,35,2.088437200953308e-09
F_35-44_lawyer_90's,26,35-44_self-employed_80's,21,8.986241905928338e-06
25-34_other_Long_80's,52,45-49_90's,52,0.00014829149531611434
30's,54,>56_Long_90's,53,0.00509316224351708
M_18-24_Long_70's,39,M_35-44_academic-educator_Long,52,0.00026606400064155267
M_lawyer_Long,55,F_25-34_other,50,0.008346643823676225
18-24_college-grad student_Long_2000's,56,M_25-34_college-grad student_90's,66,0.003321142282566969
25-34_scientist_90's,64,35-44_programmer,62,2.351681960277574e-09
<18_Long_80's,37,M_self-employed_90's,43,2.8577473720758917e-11
M_25-34_lawyer_Long,42,customer service_Long,28,4.990237223445604e-09
F_25-34_academic-educator_Long,163,programmer,165,0.011580652489058485
other_Long_80's,96,M_35-44_Long_90's,109,0.002677236625493795
M_50-55_other,22,50-55_sales-marketing_Long_90's,27,0.0011758458897666024
<18_Long_80's,37,F_other_90's,40,0.018044082787919025
M_45-49_artist,21,45-49_technician-engineer,26,1.0242610135602348e-06
lawyer_Long_80's,33,writer_80's,30,1.9366244651708442e-05
