samples,n,algorithm,#AllCandidates,#Candidates,#Results_noAdjustement,grouping_time,#Results,Min_p_value,Max_p_value,Sum_p_value,Total Cov,p_value_adjustement_time
10.0,-1,TRAD_BY,0.0,0.0,0.0,0.0,1681.0,2.0253686658408144e-22,0.0037494475908436,0.9486003535356664,0.9940752893993254,58.87081599235535
10.0,-1,TRAD_BN,0.0,0.0,0.0,0.0,683.0,2.0253686658408144e-22,1.9072795650831864e-05,0.0022911295380561,0.958413089052958,58.417320013046265
10.0,-1,COVER_G_BY,0.0,0.0,0.0,0.0,44.0,3.3995029014022293e-13,0.0031372882509032,0.0253041744729616,0.9940752893993254,58.953686237335205
10.0,-1,COVER_G_BN,0.0,0.0,0.0,0.0,58.0,2.0253686658408144e-22,1.6624854030311553e-05,0.0001284104132213,0.958413089052958,60.707435846328735
10.0,-1,COVER_𝛂_20,0.0,0.0,0.0,0.0,12.0,4.440892098500626e-16,0.0005130332803019,0.0016805057711617,0.7871661653450005,50.43560028076172
10.0,-1,COVER_𝛂_50,0.0,0.0,0.0,0.0,36.0,1.549760320074256e-12,0.0001012216505605,0.0004712664819767,0.9462218576246468,23.15654301643372
10.0,-1,COVER_𝛂_100,0.0,0.0,0.0,0.0,52.0,3.3995029014022293e-13,0.0001012216505605,0.0004100531654871,0.9793318749430316,11.464469194412231
10.0,-1,COVER_𝛂_200,0.0,0.0,0.0,0.0,56.0,1.0994975798547812e-17,2.7094363958313217e-05,0.0001649405689657,0.9741363594932092,13.976492166519163
10.0,25,TRAD_BY,0.0,0.0,0.0,0.0,25.0,2.0253686658408144e-22,2.79976042349972e-12,1.5261445419942386e-11,0.3465272080940662,58.32691526412964
10.0,25,TRAD_BN,0.0,0.0,0.0,0.0,25.0,2.0253686658408144e-22,2.79976042349972e-12,1.5261445419942386e-11,0.3465272080940662,58.32279896736145
10.0,25,COVER_G_BY,0.0,0.0,0.0,0.0,25.0,1.549760320074256e-12,0.0027495049767027,0.0163741355089475,0.9398186127062256,58.67319488525391
10.0,25,COVER_G_BN,0.0,0.0,0.0,0.0,25.0,1.549760320074256e-12,1.6624854030311553e-05,5.727145694656155e-05,0.8507200802114666,59.45158004760742
10.0,25,COVER_𝛂_20,0.0,0.0,0.0,0.0,12.0,4.440892098500626e-16,0.0005130332803019,0.0016805057711617,0.7871661653450005,53.31930184364319
10.0,25,COVER_𝛂_50,0.0,0.0,0.0,0.0,25.0,1.549760320074256e-12,0.0001012216505605,0.0004207571886926,0.8884559292680704,6.007329940795898
10.0,25,COVER_𝛂_100,0.0,0.0,0.0,0.0,25.0,1.549760320074256e-12,0.0001012216505605,0.0003105764904133,0.8871342630571507,5.780943870544434
10.0,25,COVER_𝛂_200,0.0,0.0,0.0,0.0,25.0,1.549760320074256e-12,2.7094363958313217e-05,0.0001189189740992,0.8769711056421474,6.3817222118377686
10.0,20,TRAD_BY,0.0,0.0,0.0,0.0,20.0,2.0253686658408144e-22,1.549760320074256e-12,4.329247484760092e-12,0.3067632850241545,58.32543182373047
10.0,20,TRAD_BN,0.0,0.0,0.0,0.0,20.0,2.0253686658408144e-22,1.549760320074256e-12,4.329247484760092e-12,0.3067632850241545,58.321693897247314
10.0,20,COVER_G_BY,0.0,0.0,0.0,0.0,20.0,1.549760320074256e-12,0.0027495049767027,0.0121927473102915,0.9071871297055876,58.74118113517761
10.0,20,COVER_G_BN,0.0,0.0,0.0,0.0,20.0,1.549760320074256e-12,1.6624854030311553e-05,5.398662187916514e-05,0.8102269619907028,59.12929701805115
10.0,20,COVER_𝛂_20,0.0,0.0,0.0,0.0,12.0,4.440892098500626e-16,0.0005130332803019,0.0016805057711617,0.7871661653450005,47.83182191848755
10.0,20,COVER_𝛂_50,0.0,0.0,0.0,0.0,20.0,1.549760320074256e-12,0.0001012216505605,0.0003105786906848,0.8450688177923618,4.5668699741363525
10.0,20,COVER_𝛂_100,0.0,0.0,0.0,0.0,20.0,1.549760320074256e-12,0.0001012216505605,0.0002734552466187,0.8454334153677878,5.082452058792114
10.0,20,COVER_𝛂_200,0.0,0.0,0.0,0.0,20.0,1.549760320074256e-12,2.7094363958313217e-05,0.0001004590979446,0.8373211193145566,5.696037292480469
10.0,15,TRAD_BY,0.0,0.0,0.0,0.0,15.0,2.0253686658408144e-22,1.454392162258955e-13,5.827998881625012e-13,0.2440752893993255,58.32364583015442
10.0,15,TRAD_BN,0.0,0.0,0.0,0.0,15.0,2.0253686658408144e-22,1.454392162258955e-13,5.827998881625012e-13,0.2440752893993255,58.32114601135254
10.0,15,COVER_G_BY,0.0,0.0,0.0,0.0,15.0,2.514304320300198e-10,0.0027495049767027,0.0121871141537245,0.8601768298240817,58.56503176689148
10.0,15,COVER_G_BN,0.0,0.0,0.0,0.0,15.0,1.549760320074256e-12,1.6624854030311553e-05,5.1553649521696165e-05,0.7554689636313918,58.98016715049744
10.0,15,COVER_𝛂_20,0.0,0.0,0.0,0.0,12.0,4.440892098500626e-16,0.0005130332803019,0.0016805057711617,0.7871661653450005,50.16029381752014
10.0,15,COVER_𝛂_50,0.0,0.0,0.0,0.0,15.0,6.721401213383159e-12,0.0001012216505605,0.0001991379782253,0.7843861088323762,3.702883243560791
10.0,15,COVER_𝛂_100,0.0,0.0,0.0,0.0,15.0,6.721401213383159e-12,0.0001012216505605,0.0001991379782253,0.7843861088323762,3.5285580158233643
10.0,15,COVER_𝛂_200,0.0,0.0,0.0,0.0,15.0,6.721401213383159e-12,2.7094363958313217e-05,9.329191341311828e-05,0.7776182663385289,4.014277935028076
10.0,10,TRAD_BY,0.0,0.0,0.0,0.0,10.0,2.0253686658408144e-22,7.993605777301127e-15,1.4809788764271166e-14,0.1413727098714793,58.32211923599243
10.0,10,TRAD_BN,0.0,0.0,0.0,0.0,10.0,2.0253686658408144e-22,7.993605777301127e-15,1.4809788764271166e-14,0.1413727098714793,58.32122993469238
10.0,10,COVER_G_BY,0.0,0.0,0.0,0.0,10.0,2.514304320300198e-10,0.0023241022334737,0.0078475078456222,0.7704858262692553,58.53115701675415
10.0,10,COVER_G_BN,0.0,0.0,0.0,0.0,10.0,2.514304320300198e-10,1.6624854030311553e-05,4.39676586085902e-05,0.6727964634035184,58.934929847717285
10.0,10,COVER_𝛂_20,0.0,0.0,0.0,0.0,10.0,2.514304320300198e-10,0.0005130332803019,0.0016117665470951,0.7427991978853341,2.008441925048828
10.0,10,COVER_𝛂_50,0.0,0.0,0.0,0.0,10.0,2.514304320300198e-10,0.0001012216505605,0.0001480896899259,0.6957888980038283,2.311117172241211
10.0,10,COVER_𝛂_100,0.0,0.0,0.0,0.0,10.0,2.514304320300198e-10,0.0001012216505605,0.0001480896899259,0.6957888980038283,2.2956738471984863
10.0,10,COVER_𝛂_200,0.0,0.0,0.0,0.0,10.0,2.514304320300198e-10,1.9477430387770944e-05,5.924150802449901e-05,0.6833242183939476,2.502408027648926
10.0,5,TRAD_BY,0.0,0.0,0.0,0.0,5.0,2.0253686658408144e-22,1.0994975798547812e-17,1.1274036010459457e-17,0.0782061799289034,58.32084012031555
10.0,5,TRAD_BN,0.0,0.0,0.0,0.0,5.0,2.0253686658408144e-22,1.0994975798547812e-17,1.1274036010459457e-17,0.0782061799289034,58.319498777389526
10.0,5,COVER_G_BY,0.0,0.0,0.0,0.0,5.0,2.514304320300198e-10,0.0009341506351707,0.0012786746103268,0.5617081396408714,58.62339544296265
10.0,5,COVER_G_BN,0.0,0.0,0.0,0.0,5.0,2.514304320300198e-10,1.1522425365506628e-05,2.2612737032523533e-05,0.5120545073375262,58.63084268569946
10.0,5,COVER_𝛂_20,0.0,0.0,0.0,0.0,5.0,2.514304320300198e-10,0.0005130332803019,0.0008575572554579,0.55872299699207,0.9213879108428956
10.0,5,COVER_𝛂_50,0.0,0.0,0.0,0.0,5.0,2.514304320300198e-10,0.0001012216505605,0.0001237457296815,0.5249749339166895,1.0249719619750977
10.0,5,COVER_𝛂_100,0.0,0.0,0.0,0.0,5.0,2.514304320300198e-10,0.0001012216505605,0.0001237457296815,0.5249749339166895,1.0248923301696775
10.0,5,COVER_𝛂_200,0.0,0.0,0.0,0.0,5.0,2.514304320300198e-10,1.9477430387770944e-05,4.200150950872672e-05,0.5204174642238629,1.5690350532531738
20.0,-1,TRAD_BY,0.0,0.0,0.0,0.0,3336.0,0.0,0.0033927856004313,1.6917566481086923,1.0,113.95580005645752
20.0,-1,TRAD_BN,0.0,0.0,0.0,0.0,1234.0,0.0,9.275653314544384e-06,0.0021238689285095,0.9837981952420016,112.71172618865968
20.0,-1,COVER_G_BY,0.0,0.0,0.0,0.0,35.0,3.475581310907015e-23,0.0019758511032252,0.0092710242263394,1.0,113.23447680473328
20.0,-1,COVER_G_BN,0.0,0.0,0.0,0.0,46.0,6.370123801049378e-16,8.492441309293497e-06,4.675265200951919e-05,0.9837981952420016,114.69972038269044
20.0,-1,COVER_𝛂_20,0.0,0.0,0.0,0.0,35.0,1.887379141862766e-15,0.0003452120956298,0.0015107365676092,0.997584541062802,5.007197141647339
20.0,-1,COVER_𝛂_50,0.0,0.0,0.0,0.0,39.0,1.887379141862766e-15,7.664122953809915e-05,0.0005147545847807,0.997584541062802,7.741666078567505
20.0,-1,COVER_𝛂_100,0.0,0.0,0.0,0.0,44.0,1.887379141862766e-15,7.664122953809915e-05,0.0003845785849518,0.997584541062802,10.44443392753601
20.0,-1,COVER_𝛂_200,0.0,0.0,0.0,0.0,48.0,1.887379141862766e-15,4.147589638037186e-05,0.0001821030820005,0.9928675599307264,13.263727188110352
20.0,25,TRAD_BY,0.0,0.0,0.0,0.0,25.0,0.0,1.14277152537128e-15,8.3813505808728e-15,0.3740087503418102,112.53844666481018
20.0,25,TRAD_BN,0.0,0.0,0.0,0.0,25.0,0.0,1.14277152537128e-15,8.3813505808728e-15,0.3740087503418102,112.53053021430968
20.0,25,COVER_G_BY,0.0,0.0,0.0,0.0,25.0,6.370123801049378e-16,0.0015078870742063,0.0063519505956784,0.9835703217573604,113.12037134170532
20.0,25,COVER_G_BN,0.0,0.0,0.0,0.0,25.0,6.370123801049378e-16,8.492441309293497e-06,4.142014378482231e-05,0.9404110837662928,114.0540509223938
20.0,25,COVER_𝛂_20,0.0,0.0,0.0,0.0,25.0,1.887379141862766e-15,0.0003452120956298,0.00132951706873,0.9708777686628384,3.712089776992798
20.0,25,COVER_𝛂_50,0.0,0.0,0.0,0.0,25.0,1.887379141862766e-15,7.664122953809915e-05,0.0003451396795276,0.966525385106189,4.233041048049927
20.0,25,COVER_𝛂_100,0.0,0.0,0.0,0.0,25.0,1.887379141862766e-15,7.664122953809915e-05,0.0003100189599809,0.9641099261689908,4.640497922897339
20.0,25,COVER_𝛂_200,0.0,0.0,0.0,0.0,25.0,1.887379141862766e-15,4.147589638037186e-05,0.0001345029784711,0.9482727189864188,6.476165056228638
20.0,20,TRAD_BY,0.0,0.0,0.0,0.0,20.0,0.0,7.771561172376097e-16,3.3444805285725504e-15,0.3583082672500228,112.53667497634888
