grp1,grp1_size,grp2,grp2_size,p-value
221_500206,6,3.5,0,0.00743865618635148
110510,41,3.5,0,2.6083907403498124e-21
110_130106,14,3.5,0,5.641006040895113e-10
115_760587,7,3.5,0,2.0246291858225547e-05
110_100303,6,3.5,0,0.0
730708,6,3.5,0,0.017430236473144657
110_100407,9,3.5,0,2.30610839150091e-08
221_530302,8,3.5,0,2.7832124969587065e-07
114_530111,6,3.5,0,0.0
110_110332,7,3.5,0,0.0
221_120110,13,3.5,0,0.0
110_110109,6,3.5,0,3.3435780639884726e-05
115_110202,9,3.5,0,0.0
760524,11,3.5,0,0.0
300704,16,3.5,0,2.5393020022687342e-14
500201,352,3.5,0,8.025298348956863e-143
221_530111,11,3.5,0,0.0
115_712102,7,3.5,0,2.0246291858225547e-05
221_100102,48,3.5,0,3.236371946122132e-18
110_100323,12,3.5,0,3.8424371854314095e-06
115_520472,13,3.5,0,7.229206932806464e-05
500317,6,3.5,0,0.0
115_760506,7,3.5,0,3.1589423590186957e-06
560405,11,3.5,0,0.0011431050868040628
221_120107,21,3.5,0,3.86775516417319e-18
115_100312,134,3.5,0,7.613691623404717e-70
114_110411,22,3.5,0,4.339656253729519e-12
115_760117,7,3.5,0,0.024980566148974946
114_500203,7,3.5,0,3.1589423590186957e-06
115_100517,21,3.5,0,1.281502320782874e-09
300614,8,3.5,0,2.7832124969587065e-07
Unknown_110508,6,3.5,0,0.0001499038306850453
Unknown_130315,16,3.5,0,1.8612315534939697e-07
115_110110,20,3.5,0,2.3126580952855516e-12
500212,18,3.5,0,1.889693785241796e-11
115_110106,118,3.5,0,8.658744789772344e-64
221_100310,15,3.5,0,4.218415654310928e-05
100406,21,3.5,0,1.2039258239134386e-12
115_320104,9,3.5,0,0.0002643348520217236
115_500807,10,3.5,0,0.0
110_100505,14,3.5,0,6.453613508998288e-05
300113,22,3.5,0,4.3556737013360464e-07
300303,7,3.5,0,3.1589423590186957e-06
110_110118,8,3.5,0,7.919630629533823e-06
520204,6,3.5,0,0.0
114_100414,12,3.5,0,0.0
221_100305,22,3.5,0,0.011595513322558561
Others_120103,41,3.5,0,2.5382777862475308e-23
