threshold,method,adjustment,Candidates,Hypothesis,Without_Adjust,evaluation_cases_time,grouping_time,Best_pairs,Min_p_value,Max_p_value,Sum_p_value,Cov_period_1,Cov_period_2,Cov_total,p_value_adjustement_time
-1,Traditional,Benjamini,85908.0,85908.0,85908.0,176.68526792526245,306.6272089481354,85908.0,0.0,3.372836020422926e-13,5.146847857268085e-11,1.0,0.0,1.0,446.3228611946106
-1,Traditional,Bonferroni,85908.0,85908.0,85908.0,176.68526792526245,306.6272089481354,85908.0,0.0,3.372836020422926e-13,5.146847857268085e-11,1.0,0.0,1.0,8.971907138824463
-1,Coverage_Two_Sides,Benjamini,85908.0,85908.0,85908.0,176.68526792526245,306.6272089481354,1.0,0.0,0.0,0.0,1.0,0.0,1.0,8.62321400642395
-1,Coverage_Two_Sides,Bonferroni,85908.0,85908.0,85908.0,176.68526792526245,306.6272089481354,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.947323799133301
-1,Coverage_Side_1,Benjamini,85908.0,85908.0,85908.0,176.68526792526245,306.6272089481354,1.0,0.0,0.0,0.0,1.0,0.0,1.0,8.28386378288269
-1,Coverage_Side_1,Bonferroni,85908.0,85908.0,85908.0,176.68526792526245,306.6272089481354,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.8159399032592773
-1,Coverage_Side_2,Benjamini,85908.0,85908.0,85908.0,176.68526792526245,306.6272089481354,0.0,,,0.0,,,,7.837464094161987
-1,Coverage_Side_2,Bonferroni,85908.0,85908.0,85908.0,176.68526792526245,306.6272089481354,0.0,,,0.0,,,,2.100468873977661
-1,Coverage_alpha_investing,gamma_10,85908.0,85908.0,85908.0,176.68526792526245,306.6272089481354,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.7615351676940918
-1,Coverage_alpha_investing,gamma_20,85908.0,85908.0,85908.0,176.68526792526245,306.6272089481354,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.7304742336273193
-1,Coverage_alpha_investing,gamma_50,85908.0,85908.0,85908.0,176.68526792526245,306.6272089481354,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.7183060646057129
-1,Coverage_alpha_investing,gamma_100,85908.0,85908.0,85908.0,176.68526792526245,306.6272089481354,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.752187967300415
-1,Coverage_alpha_investing,gamma_150,85908.0,85908.0,85908.0,176.68526792526245,306.6272089481354,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.7568788528442383
-1,Coverage_alpha_investing,gamma_200,85908.0,85908.0,85908.0,176.68526792526245,306.6272089481354,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.7512567043304443
