grp1,grp1_size,grp2,grp2_size,p-value
221_130204,41,115_110217,49,0.019371103818396535
110505,21,110_530101,23,0.046219888746398485
115_100505,23,110106,28,0.03546917657061686
530105,45,115_100303,21,0.01031009143881331
500804,42,221_560201,40,0.008895517431406074
520457,35,114_130315,26,0.0006653995793601617
100205,183,100503,38,0.011150149404775142
115_120103,65,221_110406,24,0.00322440055878546
115_110402,22,110_530101,23,0.006201211244803814
115_100201,33,221_100102,38,0.03141013126166644
500210,34,110410,23,0.04455275373218776
100505,54,221_110406,24,0.00024845632895671195
100443,24,100112,28,0.04798158732622641
115_130206,35,110_530101,23,0.004439116326300577
120110,23,500102,31,0.04432208960353171
530105,45,100203,28,0.012876791927033185
130204,104,110403,34,0.037010931357004916
120101,32,100112,28,0.014975183430540764
110402,54,560405,31,0.035078537284802536
130204,104,520457,43,0.04242646886340686
115_100205,93,221_110406,24,0.0002117593594836185
530301,21,110_530101,23,0.01816109279492238
115_100205,93,115_100323,24,0.04727696165039897
115_100205,93,Others_110411,31,0.010096983849272148
110402,54,500903,22,0.04767057930437319
105,128,130102,38,0.0021406771632901506
221_130204,41,500804,28,0.04726144957567106
100414,33,115_110507,28,0.021169951302034352
130206,66,560405,31,0.039575203365987605
110136,43,221_110406,24,0.04123246975579241
105,128,221_100511,24,0.01906153194732333
115_100201,33,221_120105,22,0.025642235351163764
105,128,115_530101,55,0.019182301156557422
130206,66,110106,28,0.00705877069714209
110402,54,115_120105,27,0.021411998090628603
500201,66,130102,38,0.036448958429403294
100205,183,321303,21,0.0035863642105060747
105,128,110_530101,23,0.00308680264316059
130201,29,321301,25,1.0257909503303752e-05
115_100201,33,100210,44,0.023300126865983713
100401,28,100112,28,0.01899058494121022
110117,46,110_530101,23,0.027747052992189433
105,128,114_130315,26,3.0062058908006337e-09
100205,183,110_130315,27,2.783396630253346e-12
221_100205,38,100203,28,0.04113534828154391
115_110507,40,500804,28,0.01756231095342688
130206,66,110109,28,0.01423645657653738
115_500201,28,221_560201,40,0.03355096048536341
105,128,110109,28,0.01464559578122396
110502,28,115_100303,21,0.04691589771506857
114,215,Others_130315,46,3.8398896331690286e-23
115_500201,28,100112,28,0.020832730895233662
530110,45,500102,31,0.034634028489233776
100505,54,115_110507,28,0.01953472044864913
105,128,221_560201,40,0.0008279777173029433
221_130204,41,Others_110411,31,0.04018532376625921
106,103,115_560201,46,0.02407368114487115
110506,31,110_530101,23,0.031203586891130737
115_500201,28,321303,21,0.02619176361123658
100301,26,221_500202,26,0.04314015527833919
530110,45,100305,34,0.03187059993860542
221_100312,39,321303,21,0.04743266837650769
115_100312,49,100112,28,0.044638707392935156
130206,66,221_120105,22,0.025548470006393053
110402,54,115_100323,24,0.04011408973224636
100312,130,Others_130315,46,1.423292700926442e-23
105,128,130205,90,0.04345981900016043
221_130204,41,115_100303,21,0.04490021649637352
115_100205,93,221_120105,22,0.027457937239909504
105,128,100503,38,0.010885718150376358
530101,80,115_110406,35,2.218835535720377e-05
100205,183,530209,51,0.015420702597971653
120101,32,115_110217,49,0.0290267278096069
100505,54,115_120105,27,0.030384884484372533
100414,33,100210,44,0.029153944764803295
110402,54,100305,34,0.0112898580104696
500201,66,321303,21,0.014941064357430938
100205,183,221_100511,24,0.019537918184913333
115_130206,35,100112,28,0.007203025738097776
100323,32,100112,28,0.03312808205911744
110402,54,110109,28,0.012701064369727117
110401,106,115_560201,46,0.01209803827171923
115_100205,93,221_530101,44,0.0055806324124733075
120105,38,100112,28,0.023368512279280912
115_110507,40,221_110406,24,0.00036304991933731103
110402,54,221_120106,22,0.04767057930437319
120108,22,110_530101,23,0.01597946536602515
105,128,110403,34,0.006811020989037688
115_100205,93,115_100507,40,0.03462879346110293
221_120103,41,110410,23,0.02106743365924872
530209,25,110_530101,23,0.02435066760245292
115_110507,40,110_530101,23,0.0037908848072473684
530101,80,110_130315,27,2.329416809477863e-11
115_100205,93,115_530101,55,0.023293018496768604
100505,54,100305,34,0.01758405312335015
100414,33,500102,31,0.026204902060881274
100205,183,100515,47,0.04783102672057093
115_500201,28,115_110217,49,0.04596133015007922
100205,183,530408,36,0.027765503740094035
110136,43,110_130315,27,3.667845883269351e-11
100312,130,110410,23,0.00011501319390312583
221_100205,38,520472,24,0.047425234819668996
500201,66,221_110406,24,0.0013459199614768197
120104,25,100112,28,0.035504143021744726
115_530101,41,321301,25,0.00014322192250081352
114,215,530101,158,0.003049672016669075
115_110401,56,110_530101,23,0.007433268383569451
110217,112,115_110406,35,0.0020032839500561408
115_110401,56,130102,38,0.03562840454898665
110507,100,110_130315,27,1.67274468444426e-12
110106,23,110_530101,23,0.016759984828918568
100505,54,530209,51,0.030718213518203575
115_100505,23,100112,28,0.012834817309196393
115_100505,23,100203,28,0.04734604978000558
130204,104,221_110406,24,0.0008985982606478387
100507,50,115_110217,49,0.042563311109853896
221_130106,27,110_530101,23,0.010964285677004911
120110,23,221_120105,22,0.039742058829642074
105,128,100511,52,0.01600576568081179
100505,54,130308,40,0.0024063506912588906
115_100205,93,115_100303,21,0.016079971917771566
115_100205,93,115_120105,27,0.026523273081392983
110402,54,115_100507,40,0.027151841189791658
100205,183,221_120103,95,0.02400584099651997
115_100205,93,110106,28,0.007816967730163382
712902,22,110_530101,23,0.025808963406647834
110507,100,115_110406,35,1.00065644509581e-08
100205,183,130102,38,0.002177978524605566
105,128,130304,22,0.04997923890605317
100505,54,110109,28,0.018473563947052782
110201,23,100112,28,0.03316408900799875
530110,45,500303,43,0.04980246845395429
105,128,500202,62,0.0032092415552010816
130315,101,Others_130315,46,2.8590359990313328e-22
120110,23,100203,28,0.032575370687032534
110117,46,221_110406,24,0.01814664507066618
115_100201,33,100203,28,0.01823864514443567
100205,183,130205,90,0.04366565482544414
115_100201,33,115_110507,28,0.01758155069556887
110507,100,560402,80,0.0007186927313072306
100505,54,115_100303,21,0.01774951553410851
110402,54,110117,53,0.005425418345846701
100505,54,115_100507,40,0.0426601456765387
115_110401,56,Others_110411,31,0.046858903776678555
115_500201,28,110_530101,23,0.011126745922672656
130206,66,110502,46,0.0398336241479593
110401,106,530103,68,0.03095374884210993
221_100205,38,100112,28,0.01061825478530564
120110,23,115_100303,21,0.033231263955345924
115_100205,93,100305,34,0.014284117896484755
115_110507,40,221_100511,24,0.03292842828592869
130106,75,221_110406,24,0.019865384087177824
120105,38,221_560201,40,0.03652066968140752
130204,104,130102,38,0.022029522307278424
115_130206,35,100210,44,0.04265736983282032
100205,183,500804,28,0.009229427597988055
110507,100,130106,72,0.03629589034219326
105,128,221_120105,22,0.02680769552584527
115_110507,40,130308,40,0.004744252827520159
100201,71,520472,24,0.04358057240540219
110402,54,530125,29,0.019078408446288653
110504,34,110410,23,0.0005453500039833457
100205,183,110_530101,23,0.0031431500865300773
110502,28,110106,28,0.031188359194774876
100201,71,221_530101,44,0.033824103324527455
100201,71,500202,62,0.035010135014532144
100205,183,100112,28,0.004550192790636839
500201,66,100112,28,0.013922067345580293
530104,21,110_530101,23,0.0228245168968017
115_110402,22,221_120105,22,0.048128779280475764
110402,54,110403,34,0.0060429467393600415
100102,44,114_130315,26,2.295251920331319e-07
106,103,110410,23,6.28906594972204e-05
115_130206,35,115_100303,21,0.027365162938036085
100505,54,100112,28,0.0050055257103790085
115_110401,56,110410,23,0.00017392003364683585
Unknown,333,560201,120,8.48961561165426e-07
114,215,560201,120,3.2656290647072104e-08
221_100205,38,115_100303,21,0.04197517624939154
530110,45,221_530101,44,0.017925507409645325
110402,54,100203,28,0.016063474129836684
115_130206,35,115_110507,28,0.029238510631693276
115_120103,65,114_130315,26,8.977676272547752e-08
530110,45,500202,62,0.01752634980815868
100510,24,100112,28,0.01326781542341693
115_110507,40,100210,44,0.032765040763891716
115_120103,65,321301,25,1.908643100548763e-08
110401,106,110410,23,3.592334788737309e-05
221_130204,41,110106,28,0.02854674493571466
100301,26,500102,31,0.03397226841794037
100205,183,530103,68,0.007131746320350085
115_130315,49,114_130315,26,0.0003465925654539783
106,103,110117,53,0.03401525133637803
100205,183,560402,80,0.005325331307807974
500804,42,110410,23,0.0001295159250852267
100510,24,100203,28,0.04912419882923172
110,419,110406,95,4.536608042109436e-20
115_530105,22,500102,31,0.04899628998907411
530114,26,110_530101,23,0.01402620685645551
115_100205,93,321303,21,0.003689074621940274
105,128,110106,28,0.007302341907747711
100205,183,110410,23,1.7152474854958612e-05
110507,100,115_530101,55,0.0051579648997186625
500804,42,321301,25,6.183435912101428e-09
110502,28,321303,21,0.013176723348220917
110507,100,500210,62,0.027351678446259853
110,419,221_130315,134,2.444981132400803e-38
100312,130,114_130315,26,1.9281770662005545e-08
100205,183,115_560201,46,0.003752028139620258
130204,104,520472,24,0.0497776638219252
500201,66,110_530101,23,0.00799743958437801
110402,54,500303,43,0.011810607604584465
500201,66,130308,40,0.021629469364598804
115_110411,65,115_110406,35,9.762785663115006e-08
