samples,n,algorithm,#AllCandidates,#Candidates,#Results_noAdjustement,grouping_time,#Results,Min_p_value,Max_p_value,Sum_p_value,Total Cov,p_value_adjustement_time
10.0,-1,TRAD_BY,2757.0,1553.0,92.0,10.969313859939575,16.0,1.4650227286582017e-58,0.0016821848865782,0.0029747189770934,0.4054639021217501,14.768344163894652
10.0,-1,TRAD_BN,2757.0,1553.0,92.0,10.969313859939575,15.0,1.4650227286582017e-58,0.000530661821461,0.0012925340905151,0.3986587445286269,14.76729702949524
10.0,-1,COVER_G_BY,2757.0,1553.0,92.0,10.969313859939575,14.0,1.4650227286582017e-58,0.0016821848865782,0.0029564463035947,0.4054639021217501,15.113515377044678
10.0,-1,COVER_G_BN,2757.0,1553.0,92.0,10.969313859939575,13.0,1.4650227286582017e-58,0.000530661821461,0.0012742614170164,0.3986587445286269,15.09164810180664
10.0,-1,COVER_𝛂_20,2757.0,1553.0,92.0,10.969313859939575,3.0,1.4650227286582017e-58,3.1594747101100052e-09,3.159474711313818e-09,0.2539552094503138,17.85554003715515
10.0,-1,COVER_𝛂_50,2757.0,1553.0,92.0,10.969313859939575,4.0,1.4650227286582017e-58,3.1594747101100052e-09,3.159474711313832e-09,0.2882710461089528,17.93220090866089
10.0,-1,COVER_𝛂_100,2757.0,1553.0,92.0,10.969313859939575,4.0,1.4650227286582017e-58,3.1594747101100052e-09,3.159474711313832e-09,0.2882710461089528,17.898971796035767
10.0,-1,COVER_𝛂_200,2757.0,1553.0,92.0,10.969313859939575,6.0,1.4650227286582017e-58,2.218835535720377e-05,2.2201521396366044e-05,0.3319827025506706,17.93418288230896
10.0,25,TRAD_BY,2757.0,1553.0,92.0,10.969313859939575,16.0,1.4650227286582017e-58,0.0016821848865782,0.0029747189770934,0.4054639021217501,14.767457246780396
10.0,25,TRAD_BN,2757.0,1553.0,92.0,10.969313859939575,15.0,1.4650227286582017e-58,0.000530661821461,0.0012925340905151,0.3986587445286269,14.766684293746948
10.0,25,COVER_G_BY,2757.0,1553.0,92.0,10.969313859939575,14.0,1.4650227286582017e-58,0.0016821848865782,0.0029564463035947,0.4054639021217501,15.098121881484984
10.0,25,COVER_G_BN,2757.0,1553.0,92.0,10.969313859939575,13.0,1.4650227286582017e-58,0.000530661821461,0.0012742614170164,0.3986587445286269,15.0939679145813
10.0,25,COVER_𝛂_20,2757.0,1553.0,92.0,10.969313859939575,3.0,1.4650227286582017e-58,3.1594747101100052e-09,3.159474711313818e-09,0.2539552094503138,17.79922103881836
10.0,25,COVER_𝛂_50,2757.0,1553.0,92.0,10.969313859939575,4.0,1.4650227286582017e-58,3.1594747101100052e-09,3.159474711313832e-09,0.2882710461089528,17.74279499053955
10.0,25,COVER_𝛂_100,2757.0,1553.0,92.0,10.969313859939575,4.0,1.4650227286582017e-58,3.1594747101100052e-09,3.159474711313832e-09,0.2882710461089528,17.785399198532104
10.0,25,COVER_𝛂_200,2757.0,1553.0,92.0,10.969313859939575,6.0,1.4650227286582017e-58,2.218835535720377e-05,2.2201521396366044e-05,0.3319827025506706,17.729105234146118
10.0,20,TRAD_BY,2757.0,1553.0,92.0,10.969313859939575,16.0,1.4650227286582017e-58,0.0016821848865782,0.0029747189770934,0.4054639021217501,14.766467094421388
10.0,20,TRAD_BN,2757.0,1553.0,92.0,10.969313859939575,15.0,1.4650227286582017e-58,0.000530661821461,0.0012925340905151,0.3986587445286269,14.765913009643556
10.0,20,COVER_G_BY,2757.0,1553.0,92.0,10.969313859939575,14.0,1.4650227286582017e-58,0.0016821848865782,0.0029564463035947,0.4054639021217501,15.098225116729736
10.0,20,COVER_G_BN,2757.0,1553.0,92.0,10.969313859939575,13.0,1.4650227286582017e-58,0.000530661821461,0.0012742614170164,0.3986587445286269,15.092655181884766
10.0,20,COVER_𝛂_20,2757.0,1553.0,92.0,10.969313859939575,3.0,1.4650227286582017e-58,3.1594747101100052e-09,3.159474711313818e-09,0.2539552094503138,17.7188560962677
10.0,20,COVER_𝛂_50,2757.0,1553.0,92.0,10.969313859939575,4.0,1.4650227286582017e-58,3.1594747101100052e-09,3.159474711313832e-09,0.2882710461089528,17.67918610572815
10.0,20,COVER_𝛂_100,2757.0,1553.0,92.0,10.969313859939575,4.0,1.4650227286582017e-58,3.1594747101100052e-09,3.159474711313832e-09,0.2882710461089528,17.754293203353882
10.0,20,COVER_𝛂_200,2757.0,1553.0,92.0,10.969313859939575,6.0,1.4650227286582017e-58,2.218835535720377e-05,2.2201521396366044e-05,0.3319827025506706,17.74985384941101
10.0,15,TRAD_BY,2757.0,1553.0,92.0,10.969313859939575,15.0,1.4650227286582017e-58,0.000530661821461,0.0012925340905151,0.3986587445286269,14.76595425605774
10.0,15,TRAD_BN,2757.0,1553.0,92.0,10.969313859939575,15.0,1.4650227286582017e-58,0.000530661821461,0.0012925340905151,0.3986587445286269,14.765749216079712
10.0,15,COVER_G_BY,2757.0,1553.0,92.0,10.969313859939575,14.0,1.4650227286582017e-58,0.0016821848865782,0.0029564463035947,0.4054639021217501,15.093265295028688
10.0,15,COVER_G_BN,2757.0,1553.0,92.0,10.969313859939575,13.0,1.4650227286582017e-58,0.000530661821461,0.0012742614170164,0.3986587445286269,15.09053087234497
10.0,15,COVER_𝛂_20,2757.0,1553.0,92.0,10.969313859939575,3.0,1.4650227286582017e-58,3.1594747101100052e-09,3.159474711313818e-09,0.2539552094503138,17.582314014434814
10.0,15,COVER_𝛂_50,2757.0,1553.0,92.0,10.969313859939575,4.0,1.4650227286582017e-58,3.1594747101100052e-09,3.159474711313832e-09,0.2882710461089528,17.657447814941406
10.0,15,COVER_𝛂_100,2757.0,1553.0,92.0,10.969313859939575,4.0,1.4650227286582017e-58,3.1594747101100052e-09,3.159474711313832e-09,0.2882710461089528,17.62629008293152
10.0,15,COVER_𝛂_200,2757.0,1553.0,92.0,10.969313859939575,6.0,1.4650227286582017e-58,2.218835535720377e-05,2.2201521396366044e-05,0.3319827025506706,17.635085105895996
10.0,10,TRAD_BY,2757.0,1553.0,92.0,10.969313859939575,10.0,1.4650227286582017e-58,1.7152474854958612e-05,2.8563030811833527e-05,0.3396096647740257,14.765066146850586
10.0,10,TRAD_BN,2757.0,1553.0,92.0,10.969313859939575,10.0,1.4650227286582017e-58,1.7152474854958612e-05,2.8563030811833527e-05,0.3396096647740257,14.765166997909546
10.0,10,COVER_G_BY,2757.0,1553.0,92.0,10.969313859939575,10.0,1.4650227286582017e-58,0.0016821848865782,0.0026192545790605,0.382457767152425,15.063132047653198
10.0,10,COVER_G_BN,2757.0,1553.0,92.0,10.969313859939575,10.0,1.4650227286582017e-58,0.000530661821461,0.0009370696924823,0.3848550635470318,15.063987016677856
10.0,10,COVER_𝛂_20,2757.0,1553.0,92.0,10.969313859939575,3.0,1.4650227286582017e-58,3.1594747101100052e-09,3.159474711313818e-09,0.2539552094503138,17.52708601951599
10.0,10,COVER_𝛂_50,2757.0,1553.0,92.0,10.969313859939575,4.0,1.4650227286582017e-58,3.1594747101100052e-09,3.159474711313832e-09,0.2882710461089528,17.53399419784546
10.0,10,COVER_𝛂_100,2757.0,1553.0,92.0,10.969313859939575,4.0,1.4650227286582017e-58,3.1594747101100052e-09,3.159474711313832e-09,0.2882710461089528,17.52662467956543
10.0,10,COVER_𝛂_200,2757.0,1553.0,92.0,10.969313859939575,6.0,1.4650227286582017e-58,2.218835535720377e-05,2.2201521396366044e-05,0.3319827025506706,17.434375762939453
10.0,5,TRAD_BY,2757.0,1553.0,92.0,10.969313859939575,5.0,1.4650227286582017e-58,3.1594747101100052e-09,3.1594747113138707e-09,0.298240371262327,14.764060020446776
10.0,5,TRAD_BN,2757.0,1553.0,92.0,10.969313859939575,5.0,1.4650227286582017e-58,3.1594747101100052e-09,3.1594747113138707e-09,0.298240371262327,14.76393222808838
10.0,5,COVER_G_BY,2757.0,1553.0,92.0,10.969313859939575,5.0,1.4650227286582017e-58,0.000530661821461,0.0005306649809357,0.3104641658023802,14.908253192901611
10.0,5,COVER_G_BN,2757.0,1553.0,92.0,10.969313859939575,5.0,1.4650227286582017e-58,0.000530661821461,0.0005306649809357,0.3104641658023802,14.90938425064087
10.0,5,COVER_𝛂_20,2757.0,1553.0,92.0,10.969313859939575,3.0,1.4650227286582017e-58,3.1594747101100052e-09,3.159474711313818e-09,0.2539552094503138,17.439518928527832
10.0,5,COVER_𝛂_50,2757.0,1553.0,92.0,10.969313859939575,4.0,1.4650227286582017e-58,3.1594747101100052e-09,3.159474711313832e-09,0.2882710461089528,18.51257300376892
10.0,5,COVER_𝛂_100,2757.0,1553.0,92.0,10.969313859939575,4.0,1.4650227286582017e-58,3.1594747101100052e-09,3.159474711313832e-09,0.2882710461089528,21.792029857635494
