group1,group2,coverage_gained_1,coverage_gained_2,p-value,n,algorithm,samples
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,-1,TRAD_BY,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,-1,TRAD_BN,20.0
portugal_18-24,netherlands_45-49,0.0083402835696413,0.0034228067014952,0.004184136535006,-1,TRAD_BN,20.0
germany_35-44,canada_45-49,0.0206839032527105,0.0111691587101423,0.0049189678502012,-1,TRAD_BN,20.0
spain,australia_25-34,0.0210175145954962,0.0063051702395964,0.0074329259548668,-1,COVER_G_BY,20.0
germany_35-44,canada_45-49,0.0333611342785654,0.0140515222482435,0.0049189678502012,-1,COVER_G_BY,20.0
malaysia,netherlands_25-34,0.0390325271059216,0.0163934426229508,1.0316890031357748e-05,-1,COVER_G_BY,20.0
brazil,netherlands_45-49,0.0412010008340283,0.0174743289497387,0.0067474457573135,-1,COVER_G_BY,20.0
united kingdom_>56,switzerland,0.0420350291909924,0.0196361016033147,0.007728459572201,-1,COVER_G_BY,20.0
germany_35-44,canada_45-49,0.0123436196830692,0.007746352008647,0.0049189678502012,-1,COVER_G_BN,20.0
malaysia,netherlands_25-34,0.0180150125104253,0.0100882723833543,1.0316890031357748e-05,-1,COVER_G_BN,20.0
portugal_18-24,netherlands_45-49,0.0206839032527105,0.0111691587101423,0.004184136535006,-1,COVER_G_BN,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,-1,COVER_𝛂_20,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,-1,COVER_𝛂_50,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,-1,COVER_𝛂_100,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,-1,COVER_𝛂_200,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,25,TRAD_BY,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,25,TRAD_BN,20.0
portugal_18-24,netherlands_45-49,0.0083402835696413,0.0034228067014952,0.004184136535006,25,TRAD_BN,20.0
germany_35-44,canada_45-49,0.0206839032527105,0.0111691587101423,0.0049189678502012,25,TRAD_BN,20.0
spain,australia_25-34,0.0210175145954962,0.0063051702395964,0.0074329259548668,25,COVER_G_BY,20.0
germany_35-44,canada_45-49,0.0333611342785654,0.0140515222482435,0.0049189678502012,25,COVER_G_BY,20.0
malaysia,netherlands_25-34,0.0390325271059216,0.0163934426229508,1.0316890031357748e-05,25,COVER_G_BY,20.0
brazil,netherlands_45-49,0.0412010008340283,0.0174743289497387,0.0067474457573135,25,COVER_G_BY,20.0
united kingdom_>56,switzerland,0.0420350291909924,0.0196361016033147,0.007728459572201,25,COVER_G_BY,20.0
germany_35-44,canada_45-49,0.0123436196830692,0.007746352008647,0.0049189678502012,25,COVER_G_BN,20.0
malaysia,netherlands_25-34,0.0180150125104253,0.0100882723833543,1.0316890031357748e-05,25,COVER_G_BN,20.0
portugal_18-24,netherlands_45-49,0.0206839032527105,0.0111691587101423,0.004184136535006,25,COVER_G_BN,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,25,COVER_𝛂_20,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,25,COVER_𝛂_50,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,25,COVER_𝛂_100,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,25,COVER_𝛂_200,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,20,TRAD_BY,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,20,TRAD_BN,20.0
portugal_18-24,netherlands_45-49,0.0083402835696413,0.0034228067014952,0.004184136535006,20,TRAD_BN,20.0
germany_35-44,canada_45-49,0.0206839032527105,0.0111691587101423,0.0049189678502012,20,TRAD_BN,20.0
spain,australia_25-34,0.0210175145954962,0.0063051702395964,0.0074329259548668,20,COVER_G_BY,20.0
germany_35-44,canada_45-49,0.0333611342785654,0.0140515222482435,0.0049189678502012,20,COVER_G_BY,20.0
malaysia,netherlands_25-34,0.0390325271059216,0.0163934426229508,1.0316890031357748e-05,20,COVER_G_BY,20.0
brazil,netherlands_45-49,0.0412010008340283,0.0174743289497387,0.0067474457573135,20,COVER_G_BY,20.0
united kingdom_>56,switzerland,0.0420350291909924,0.0196361016033147,0.007728459572201,20,COVER_G_BY,20.0
germany_35-44,canada_45-49,0.0123436196830692,0.007746352008647,0.0049189678502012,20,COVER_G_BN,20.0
malaysia,netherlands_25-34,0.0180150125104253,0.0100882723833543,1.0316890031357748e-05,20,COVER_G_BN,20.0
portugal_18-24,netherlands_45-49,0.0206839032527105,0.0111691587101423,0.004184136535006,20,COVER_G_BN,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,20,COVER_𝛂_20,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,20,COVER_𝛂_50,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,20,COVER_𝛂_100,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,20,COVER_𝛂_200,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,15,TRAD_BY,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,15,TRAD_BN,20.0
portugal_18-24,netherlands_45-49,0.0083402835696413,0.0034228067014952,0.004184136535006,15,TRAD_BN,20.0
germany_35-44,canada_45-49,0.0206839032527105,0.0111691587101423,0.0049189678502012,15,TRAD_BN,20.0
spain,australia_25-34,0.0210175145954962,0.0063051702395964,0.0074329259548668,15,COVER_G_BY,20.0
germany_35-44,canada_45-49,0.0333611342785654,0.0140515222482435,0.0049189678502012,15,COVER_G_BY,20.0
malaysia,netherlands_25-34,0.0390325271059216,0.0163934426229508,1.0316890031357748e-05,15,COVER_G_BY,20.0
brazil,netherlands_45-49,0.0412010008340283,0.0174743289497387,0.0067474457573135,15,COVER_G_BY,20.0
united kingdom_>56,switzerland,0.0420350291909924,0.0196361016033147,0.007728459572201,15,COVER_G_BY,20.0
germany_35-44,canada_45-49,0.0123436196830692,0.007746352008647,0.0049189678502012,15,COVER_G_BN,20.0
malaysia,netherlands_25-34,0.0180150125104253,0.0100882723833543,1.0316890031357748e-05,15,COVER_G_BN,20.0
portugal_18-24,netherlands_45-49,0.0206839032527105,0.0111691587101423,0.004184136535006,15,COVER_G_BN,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,15,COVER_𝛂_20,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,15,COVER_𝛂_50,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,15,COVER_𝛂_100,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,15,COVER_𝛂_200,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,10,TRAD_BY,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,10,TRAD_BN,20.0
portugal_18-24,netherlands_45-49,0.0083402835696413,0.0034228067014952,0.004184136535006,10,TRAD_BN,20.0
germany_35-44,canada_45-49,0.0206839032527105,0.0111691587101423,0.0049189678502012,10,TRAD_BN,20.0
spain,australia_25-34,0.0210175145954962,0.0063051702395964,0.0074329259548668,10,COVER_G_BY,20.0
germany_35-44,canada_45-49,0.0333611342785654,0.0140515222482435,0.0049189678502012,10,COVER_G_BY,20.0
malaysia,netherlands_25-34,0.0390325271059216,0.0163934426229508,1.0316890031357748e-05,10,COVER_G_BY,20.0
brazil,netherlands_45-49,0.0412010008340283,0.0174743289497387,0.0067474457573135,10,COVER_G_BY,20.0
united kingdom_>56,switzerland,0.0420350291909924,0.0196361016033147,0.007728459572201,10,COVER_G_BY,20.0
germany_35-44,canada_45-49,0.0123436196830692,0.007746352008647,0.0049189678502012,10,COVER_G_BN,20.0
malaysia,netherlands_25-34,0.0180150125104253,0.0100882723833543,1.0316890031357748e-05,10,COVER_G_BN,20.0
portugal_18-24,netherlands_45-49,0.0206839032527105,0.0111691587101423,0.004184136535006,10,COVER_G_BN,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,10,COVER_𝛂_20,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,10,COVER_𝛂_50,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,10,COVER_𝛂_100,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,10,COVER_𝛂_200,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,5,TRAD_BY,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,5,TRAD_BN,20.0
portugal_18-24,netherlands_45-49,0.0083402835696413,0.0034228067014952,0.004184136535006,5,TRAD_BN,20.0
germany_35-44,canada_45-49,0.0206839032527105,0.0111691587101423,0.0049189678502012,5,TRAD_BN,20.0
spain,australia_25-34,0.0210175145954962,0.0063051702395964,0.0074329259548668,5,COVER_G_BY,20.0
germany_35-44,canada_45-49,0.0333611342785654,0.0140515222482435,0.0049189678502012,5,COVER_G_BY,20.0
malaysia,netherlands_25-34,0.0390325271059216,0.0163934426229508,1.0316890031357748e-05,5,COVER_G_BY,20.0
brazil,netherlands_45-49,0.0412010008340283,0.0174743289497387,0.0067474457573135,5,COVER_G_BY,20.0
united kingdom_>56,switzerland,0.0420350291909924,0.0196361016033147,0.007728459572201,5,COVER_G_BY,20.0
germany_35-44,canada_45-49,0.0123436196830692,0.007746352008647,0.0049189678502012,5,COVER_G_BN,20.0
malaysia,netherlands_25-34,0.0180150125104253,0.0100882723833543,1.0316890031357748e-05,5,COVER_G_BN,20.0
portugal_18-24,netherlands_45-49,0.0206839032527105,0.0111691587101423,0.004184136535006,5,COVER_G_BN,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,5,COVER_𝛂_20,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,5,COVER_𝛂_50,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,5,COVER_𝛂_100,20.0
malaysia,netherlands_25-34,0.0056713928273561,0.0023419203747072,1.0316890031357748e-05,5,COVER_𝛂_200,20.0
