grp1,grp1_size,grp2,grp2_size,p-value
spain_25-34,86,spain_25-34,31,0.00755888146093176
spain_18-24,70,france_25-34,29,0.02416342585834048
switzerland,92,netherlands_25-34,94,4.300318090131066e-06
portugal_18-24,23,netherlands_50-55,18,0.04550616235486307
united kingdom_>56,17,austria,13,0.030243445611982712
italy,24,netherlands_45-49,17,0.0022467843467635917
netherlands_35-44,28,switzerland,15,0.008196593174471826
malaysia,102,netherlands_25-34,94,1.0316890031357748e-05
spain_18-24,70,switzerland,15,0.03745894826516529
iran,14,iran,23,0.021456539863524637
portugal_18-24,23,netherlands_45-49,17,0.0041841365350060175
germany_45-49,28,netherlands_45-49,17,0.01788924316914968
germany_<18,14,united kingdom_45-49,16,0.04889614610424476
spain,232,malaysia,104,0.04562149414235597
portugal_25-34,97,netherlands_25-34,94,1.4523728827438965e-06
united kingdom_>56,17,switzerland,15,0.007728459572201014
iran,14,singapore,14,0.0
spain,232,netherlands_25-34,94,1.6724781372223624e-13
netherlands_35-44,28,netherlands_50-55,18,0.04033709709946832
netherlands_35-44,28,iran,23,0.04182886783708702
iran,14,united kingdom_50-55,19,0.03583330744752815
spain_18-24,70,netherlands_45-49,17,0.018753944997842366
portugal_18-24,23,switzerland,15,0.009510902454307113
new zealand,30,netherlands_45-49,17,0.03932836998938417
united kingdom_25-34,142,canada_>56,137,0.0020340177042364556
spain_25-34,86,france_25-34,29,0.01056693328482501
spain,232,australia_25-34,92,0.007432925954866878
spain_25-34,86,australia_18-24,27,0.02497136969148435
italy,24,united kingdom_50-55,19,0.04795391057134889
united kingdom_>56,17,iran,23,0.03869055417113263
canada_45-49,92,netherlands_25-34,94,0.0005049684591510698
germany_35-44,110,canada_45-49,112,0.004918967850201246
spain,232,france,71,0.0005570897635604859
spain_35-44,49,netherlands_45-49,17,0.034928955506563684
germany_<18,14,new zealand,30,0.03355381979573293
spain_18-24,70,spain_25-34,31,0.01848586749318398
germany_<18,14,united kingdom_50-55,19,0.02959067422238698
germany_<18,14,iran,23,0.0171555258635383
portugal_18-24,23,austria,13,0.03726460611925713
spain,232,spain,81,0.00014917251222547958
brazil,26,switzerland,15,0.014567210519997098
germany_45-49,28,switzerland,15,0.034028028317328526
germany_<18,14,austria,13,0.01552803128588871
italy,24,austria,13,0.024496131951364616
netherlands_35-44,28,austria,13,0.0339488735675767
italy,24,netherlands_50-55,18,0.0278180185644263
spain,232,united kingdom_35-44,98,0.020309361415736114
italy,24,switzerland,15,0.0055704718370488395
netherlands_35-44,28,netherlands_45-49,17,0.0034438198655851707
brazil,26,netherlands_45-49,17,0.006747445757313562
philippines,16,switzerland,15,0.04069539723465515
romania,16,iran,23,0.03918678256520775
