group1,group2,coverage_gained_1,coverage_gained_2,p-value,n,algorithm,samples
115,115,0.471953578336557,0.3903225806451613,1.6709344557500188e-06,-1,TRAD_BY,10.0
30-34_110,30-34_221,0.4903288201160541,0.4591397849462366,5.108256171013757e-06,-1,TRAD_BY,10.0
30-34_110,25-29,0.4903288201160541,0.5150537634408602,2.2296171671151532e-05,-1,TRAD_BY,10.0
30-34_110,40-44_115,0.4903288201160541,0.5150537634408602,3.152540805049254e-05,-1,TRAD_BY,10.0
30-34_110,Others,0.4903288201160541,0.603225806451613,3.2809122542619766e-05,-1,TRAD_BY,10.0
60-64,25-29,0.4970986460348162,0.603225806451613,4.41521581763404e-05,-1,TRAD_BY,10.0
30-34_110,40-44_115,0.4970986460348162,0.603225806451613,4.57775399691337e-05,-1,TRAD_BY,10.0
30-34_110,25-29_115,0.4970986460348162,0.603225806451613,6.125879006118945e-05,-1,TRAD_BY,10.0
30-34_110,35-39_115,0.4970986460348162,0.603225806451613,7.896246454910938e-05,-1,TRAD_BY,10.0
30-34_110,114,0.4970986460348162,0.6440860215053763,0.0001886056125051,-1,TRAD_BY,10.0
60-64,35-39_115,0.4970986460348162,0.6440860215053763,0.0002009973562329,-1,TRAD_BY,10.0
30-34_110,35-39_115,0.4970986460348162,0.6440860215053763,0.0002081872422441,-1,TRAD_BY,10.0
60-64,40-44_115,0.4970986460348162,0.6440860215053763,0.0002164732360549,-1,TRAD_BY,10.0
30-34_110,50-54,0.4970986460348162,0.667741935483871,0.000231219717394,-1,TRAD_BY,10.0
60-64,Others,0.4970986460348162,0.667741935483871,0.0002601615373132,-1,TRAD_BY,10.0
30-34_110,Others,0.4970986460348162,0.667741935483871,0.000274569655129,-1,TRAD_BY,10.0
30-34_110,50-54_115,0.4970986460348162,0.667741935483871,0.0003720325929697,-1,TRAD_BY,10.0
60-64,Others,0.4970986460348162,0.667741935483871,0.0004110029453893,-1,TRAD_BY,10.0
60-64,30-34_221,0.4970986460348162,0.667741935483871,0.000438522647623,-1,TRAD_BY,10.0
30-34_110,45-49_221,0.4970986460348162,0.7,0.0004465287678426,-1,TRAD_BY,10.0
30-34_115,30-34_221,0.4970986460348162,0.7,0.0004466281633853,-1,TRAD_BY,10.0
30-34_110,35-39_115,0.4970986460348162,0.7,0.0004997772690172,-1,TRAD_BY,10.0
30-34_110,40-44_221,0.4970986460348162,0.7569892473118279,0.0005232564380983,-1,TRAD_BY,10.0
60-64_115,35-39_115,0.4970986460348162,0.7569892473118279,0.0007640565799171,-1,TRAD_BY,10.0
30-34_110,50-54_115,0.4970986460348162,0.7569892473118279,0.0008504310622389,-1,TRAD_BY,10.0
60-64,35-39_115,0.4970986460348162,0.7569892473118279,0.0008604644042283,-1,TRAD_BY,10.0
