grp1,grp1_size,grp2,grp2_size,grp3,grp3_size,p-value
45-49,183,110,102,40-44_221,68,0.007745310015425104
60-64_115,26,45-49_115,81,50-54,75,0.04690217061626524
50-54_115,50,35-39_Others,28,30-34_221,80,0.03949962825103786
60-64,33,25-29_115,50,<25_115,28,0.006659704531931439
30-34_110,29,25-29_115,50,30-34_221,80,9.786390298063437e-05
50-54,80,35-39_115,110,30-34_221,80,0.001476203318608843
50-54_115,50,Others,121,30-34_115,80,0.0030602780547365318
30-34,255,30-34,223,40-44,217,2.509724254993673e-06
30-34_110,29,30-34_115,57,25-29_115,29,0.017150291099786788
30-34_110,29,45-49_115,81,Unknown,35,0.004401993899303182
50-54_115,50,35-39_115,110,Unknown,35,0.014860943193167303
30-34_110,29,Others,121,45-49_221,37,0.00012250467453532934
30-34_110,29,114,71,25-29,110,0.00012460014513637023
35-39_115,126,55-59,28,30-34_221,80,0.04365691085839055
60-64_115,26,114,71,114,55,0.04546313555691916
30-34_110,29,30-34_115,57,45-49_221,37,0.022744638962068946
50-54,80,<25,47,110,96,0.02129424652341471
60-64,33,45-49_115,81,30-34_115,80,0.0009201636868852076
60-64,33,25-29_115,50,35-39_110,28,0.0059499070878912845
60-64,33,110,102,35-39_221,92,0.042151506389640714
60-64_115,26,35-39_110,29,106,40,0.0460751569382917
30-34_110,29,Unknown,45,25-29_221,44,0.0021159325113944537
30-34_110,29,35-39_115,110,40-44_221,68,0.00020818724224410306
50-54_115,50,35-39_221,88,Others,113,0.015118244863340333
30-34_221,79,<25,47,50-54,75,0.02143400287868167
60-64_115,26,>65,35,<25,59,0.029025494896745805
Unknown,46,Others,121,50-54,75,0.016639824975405115
60-64,33,Others,121,35-39_Others,36,0.0007758511575094924
60-64_115,26,50-54,74,30-34_115,80,0.014783289692592072
40-44_114,24,30-34_221,89,30-34_221,80,0.0214568207782802
60-64,33,Others,121,106,40,0.00041100294538930915
60-64_115,26,40-44_Others,21,30-34_221,80,0.01712066435869554
30-34_110,29,35-39_110,29,<25,59,0.0007204465637280788
30-34_110,29,35-39_115,110,114,55,0.00013195515859183577
30-34_110,29,25-29_221,33,45-49_221,37,0.026927086195798956
60-64,33,30-34_221,89,114,55,0.0004959687753072708
30-34_115,99,Unknown,45,45-49_115,51,0.02504237635367114
30-34_110,29,35-39_115,110,30-34_115,80,3.40443750553533e-05
60-64_115,26,30-34_221,89,114,55,0.0027734749421859228
30-34_221,79,55-59,28,<25,59,0.009407814874270243
60-64,33,35-39_110,29,>65,49,0.024191697758101274
50-54,80,25-29,120,114,55,0.005021447428500473
50-54_115,50,30-34_221,89,110,96,0.0009001931983059943
50-54,80,40-44_115,91,114,55,0.03384611628894318
25-29_221,28,35-39_115,110,110,96,0.02034329420308903
40-44_110,24,30-34_221,89,45-49_115,51,0.014696910310484455
50-54,80,Others,121,45-49,138,0.00378574804430969
45-49_221,38,35-39_115,110,50-54,75,0.02529650858901196
110,112,110,102,110,96,0.02176978045387539
60-64,33,30-34_Others,36,35-39_110,28,0.018108299100344782
60-64_115,26,55-59,28,30-34_115,80,0.029749009532214536
60-64,33,Unknown,45,25-29_115,29,0.014130778564422544
30-34_115,99,114,71,40-44_115,93,0.005150877605360254
30-34_115,99,45-49_221,53,25-29,110,0.018942288902928435
50-54_115,50,40-44_221,70,30-34_115,80,0.03290449613425321
45-49_115,93,55-59,28,50-54,75,0.04569376275883984
50-54_115,50,25-29,120,>65,49,0.004925169300742175
50-54,80,<25,47,25-29,110,0.016430588945958998
30-34_115,99,110,102,>65,49,0.005371644817595318
45-49_115,93,55-59,28,25-29,110,0.032037818131845086
40-44_110,24,25-29_115,50,<25,59,0.011524256617278988
30-34_221,79,35-39_114,21,50-54,75,0.026226002942256476
50-54_115,50,50-54_115,42,30-34_115,80,0.02985604827308399
60-64,33,Others,121,50-54,75,0.0022474463917638806
50-54_115,50,35-39_221,88,114,55,0.029089280045201966
60-64_115,26,45-49_115,81,30-34_115,80,0.006287325052911323
>65,41,25-29,120,40-44_115,93,0.03616208525705837
50-54,80,35-39_221,88,45-49_115,51,0.047266388187730095
30-34_115,99,110,102,35-39_115,132,0.0011246910994340041
50-54_115,50,Others,121,Unknown,35,0.014592449760622352
50-54,80,<25,47,<25,59,0.028394759159875365
60-64,33,60-64,27,25-29_221,44,0.023207177769804216
45-49,183,30-34,223,35-39_221,92,0.007132991643310944
45-49,183,30-34,223,40-44_115,93,2.0194686136027277e-05
30-34,255,45-49,177,30-34,214,0.0003458651185381352
30-34_221,79,45-49_221,53,110,96,0.03829651286481808
30-34_110,29,25-29,120,30-34_221,80,5.3430567106298e-06
50-54_115,50,30-34_221,89,45-49_115,51,0.00905058471583078
50-54_115,50,45-49_115,81,114,55,0.038916339425783646
30-34_110,29,45-49_115,81,25-29,110,5.27218006195372e-05
30-34_110,29,30-34_115,57,40-44_221,68,0.02978408389324741
30-34_110,29,45-49_221,53,30-34_115,80,0.00183151797844665
30-34_110,29,30-34_Others,36,30-34_115,80,0.0008729650551402732
50-54_115,50,30-34_115,57,30-34_115,80,0.04122783862555159
50-54_115,50,50-54_115,42,30-34_221,80,0.022242499961871824
45-49_115,93,25-29,120,40-44_115,93,0.01417144933585596
40-44_110,24,25-29,120,25-29,110,0.017470995722627437
35-39_221,108,35-39_115,110,50-54,75,0.006736270785559277
60-64,33,50-54_115,42,30-34_221,80,0.0025429846010214265
60-64_115,26,35-39_114,21,110,96,0.012415866201446042
30-34_110,29,35-39_110,29,35-39_Others,36,0.01615691022565339
50-54_115,50,>65,35,25-29,110,0.02449518380132277
30-34_110,29,45-49_221,53,35-39_221,92,0.003967075357654487
114,61,Others,121,50-54,75,0.022477301233934665
50-54,80,30-34,223,30-34,214,4.638578717264049e-09
50-54_115,50,114,71,25-29,110,0.008650883026930832
60-64_115,26,50-54_115,42,<25,59,0.010772554980813996
30-34_110,29,Unknown,45,45-49_221,37,0.007138538097982807
40-44_110,24,35-39_115,110,40-44_221,68,0.0226439385146286
60-64_115,26,35-39_110,29,25-29,110,0.006860305995627319
30-34_110,29,45-49_221,53,30-34_221,80,0.0009616103527288323
50-54,80,35-39_115,110,106,40,0.005624566614086025
30-34_221,79,45-49_115,81,50-54,75,0.007155431442027131
60-64,33,Others,121,Others,113,0.00026016153731321965
114,61,35-39_115,110,50-54,75,0.022185525174434683
60-64_115,26,35-39_114,21,25-29,110,0.012084007039499979
50-54_115,50,25-29,120,35-39_Others,36,0.005980603552239931
60-64_115,26,45-49_221,53,110,96,0.009484010097477805
114,61,Others,121,<25,59,0.034702771423008406
30-34_110,29,40-44_Others,21,114,55,0.04063024244079427
45-49_115,93,25-29_115,50,50-54,75,0.014859347712514808
30-34_115,99,40-44_Others,21,45-49_115,51,0.016706478822407122
30-34_115,99,40-44_221,70,<25,59,0.015370308004385758
50-54,80,114,71,25-29,110,0.0077196659515783505
114,61,30-34_221,89,40-44_221,68,0.034253967851877565
40-44_115,118,35-39_115,110,50-54,75,0.019616013114687247
60-64_115,26,Unknown,45,<25_115,28,0.04617732616995004
40-44_110,24,25-29,120,>65,49,0.02283660616499278
30-34_110,29,50-54_115,42,30-34_221,80,0.0006366540640028175
60-64,33,35-39_110,29,<25,59,0.0023758824506901486
30-34_110,29,Unknown,45,50-54,75,0.04085341558071724
30-34_110,29,40-44_221,70,50-54_115,36,0.0444654339785152
50-54_115,50,30-34_221,89,30-34_221,80,0.0010823398752983018
30-34_110,29,30-34_Others,36,114,55,0.0068800540354897926
30-34_110,29,Others,121,25-29,110,9.830756867173953e-06
40-44_115,118,110,102,110,96,0.03785703210346527
30-34_115,99,40-44_221,70,30-34,214,0.0033465933491920842
50-54_115,50,35-39_115,110,35-39_221,92,0.003714381598310165
45-49_115,93,40-44_115,91,40-44_115,93,0.048217806640828906
30-34_110,29,35-39_110,29,35-39_110,28,0.01176995695522876
60-64_115,26,35-39_115,110,25-29,110,0.001024095730768503
60-64_115,26,30-34_115,57,30-34_221,80,0.02226302054747147
30-34_115,99,25-29_115,50,50-54,75,0.0018878246207520216
60-64_115,26,30-34_Others,36,<25,59,0.006831304036541566
30-34_115,99,45-49_221,53,114,55,0.016041124344580493
30-34_115,99,40-44_221,70,110,96,0.022383289546453307
60-64,33,25-29,120,45-49_115,51,0.0006989446370222746
60-64,33,50-54_115,42,114,55,0.03446867349848828
30-34_115,99,50-54,74,40-44_115,93,0.006212314625069599
60-64,33,>65,35,25-29,110,0.0043785847132848
60-64_115,26,Others,121,>65,49,0.004120817625995744
30-34_110,29,35-39_Others,28,25-29_115,29,0.040792036201858874
60-64,33,35-39_115,110,50-54_115,36,0.001855336635163082
30-34_110,29,30-34_Others,36,55-59,37,0.022983368666072257
35-39_221,108,<25,47,50-54,75,0.042806948434670394
30-34_115,99,114,71,45-49_115,51,0.01930978607694915
30-34_115,99,45-49_221,53,106,40,0.016584121739365708
60-64,33,Others,121,114,55,0.0006396667784441982
60-64,33,25-29_115,50,110,96,0.00033444471735100334
35-39,303,35-39_115,110,40-44_115,93,0.00703040206656936
60-64_115,26,45-49_115,81,110,96,0.0025615250088560386
50-54_115,50,35-39_115,110,35-39_Others,36,0.009020205307389504
50-54,80,110,102,35-39_115,132,0.03237127469996015
25-29,132,Others,121,50-54,75,0.045339244773015416
30-34_115,99,>65,35,114,55,0.023479499216545376
60-64_115,26,25-29,120,55-59,37,0.00613896022515205
45-49_115,93,50-54,74,50-54,75,0.038034013219529095
50-54_115,50,Others,121,>65,49,0.00758607297725709
60-64,33,35-39_115,110,25-29,110,7.261042020392482e-05
60-64,33,45-49_221,53,35-39_221,92,0.013930429303885085
60-64_115,26,>65,35,30-34_221,80,0.027901189219076878
40-44_114,24,30-34_221,89,50-54,75,0.019939581168591864
30-34_110,29,60-64,27,35-39_110,28,0.030995559856304346
30-34_110,29,<25,47,Others,113,0.0035205799373660804
30-34_115,99,25-29,120,40-44_115,93,0.0012745163529840234
30-34_110,29,25-29_115,50,30-34_115,80,0.0003032590361766508
30-34_115,99,50-54,74,35-39_221,92,0.033958179826766854
30-34_115,99,25-29,120,Others,113,0.04218636938128834
60-64_115,26,30-34_115,57,25-29,110,0.015933850208587272
114,61,35-39_115,110,30-34,214,0.003840352762307386
Others,116,30-34,223,Others,113,0.0015276153778951507
60-64_115,26,25-29_115,50,<25,59,0.002898813137368948
60-64,33,<25,47,30-34_221,80,0.0035361065319471805
50-54,80,114,71,35-39_221,92,0.037769399392461885
114,61,25-29,120,25-29,110,0.048767465412219706
60-64,33,30-34_221,89,40-44_221,68,0.0007534937725792263
50-54_115,50,25-29_221,33,110,96,0.02059171160257494
40-44_110,24,25-29_115,50,25-29_221,44,0.03323729166165622
30-34_110,29,Others,121,<25,59,1.027885975488051e-05
60-64_115,26,60-64,27,<25,59,0.016583428913739564
30-34_110,29,40-44_115,91,>65,49,0.0007347103973107175
30-34_115,99,45-49_221,53,Unknown,35,0.02613167939375953
30-34_110,29,35-39_221,88,40-44_115,93,0.0013986743109135893
60-64,33,30-34_221,89,30-34_221,80,4.093878213650351e-05
50-54,80,30-34_221,89,40-44_221,68,0.008426737744146208
60-64,33,35-39_221,88,110,96,0.00019799850543327576
>65_115,24,35-39_115,110,50-54,75,0.02905607567666668
50-54_115,50,30-34_221,89,Others,113,0.0030652637950011104
50-54,80,114,71,45-49,138,0.032806195337922645
35-39_115,126,30-34,223,Others,113,0.003236676391630286
40-44_110,24,60-64,27,<25,59,0.043061902770449106
30-34_115,99,50-54,74,30-34,214,0.015595185275183185
50-54,80,30-34,223,35-39_221,92,7.887182853721318e-07
30-34_115,99,30-34_221,89,45-49,138,0.026138441669423786
40-44_Others,30,25-29,120,50-54,75,0.020869963506806036
114,61,110,102,30-34,214,0.00032520932995465645
50-54_115,50,35-39_115,110,Others,113,0.004351177583732261
50-54_115,50,Others,121,55-59,37,0.014328827436322217
114,61,25-29,120,50-54,75,0.014612094017349971
25-29_221,28,Others,121,106,40,0.0452105370747785
50-54_115,50,40-44_115,91,110,96,0.004277827529173991
60-64,33,Unknown,45,110,96,0.0008894095699810793
50-54,80,25-29,120,Others,113,0.002537941805136367
50-54,80,30-34_221,89,45-49_115,51,0.0103258050659651
50-54_115,50,35-39_115,110,30-34_115,80,0.002987523342168682
60-64_115,26,35-39_115,110,30-34_115,80,0.0020803657415304133
50-54_115,50,25-29_115,50,<25,59,0.005876118175899874
60-64,33,Others,121,<25,59,7.222511683498368e-05
110,112,30-34,223,40-44_115,93,1.2109438929923326e-05
60-64_115,26,114,71,>65,49,0.041491449956490616
45-49,183,Others,121,40-44_115,93,0.01092357851255775
50-54_115,50,<25,47,110,96,0.019839338977421187
50-54_115,50,40-44_115,91,106,40,0.021533151815950943
60-64,33,25-29,120,<25,59,4.350691591625653e-05
30-34_110,29,25-29_115,50,55-59,37,0.007072351148855981
Others,116,Others,121,50-54,75,0.014682988712133183
60-64,33,45-49_115,81,>65,49,0.004330192074566382
40-44_110,24,25-29,120,50-54_115,36,0.03889422028927518
30-34_110,29,35-39_115,110,<25,59,1.051896560144954e-05
50-54_115,50,Others,121,30-34_221,80,0.001761625802209366
30-34_110,29,35-39_110,29,50-54_115,36,0.03553304840697617
50-54,80,40-44_115,91,35-39_221,92,0.015303249315987066
50-54_115,50,45-49_221,53,30-34_115,80,0.03383949238303187
Others,116,25-29,120,40-44_115,93,0.03620621784656252
Others,116,30-34,223,35-39_221,92,0.001538586527940231
50-54,80,30-34,223,40-44_115,93,1.2069018082671079e-06
30-34_110,29,35-39_221,88,45-49_221,37,0.0007788931124550382
50-54,80,45-49_115,81,30-34,214,2.6224553865190018e-05
30-34_115,99,<25,47,50-54_115,36,0.049031147900803373
35-39_221,108,45-49_115,81,50-54,75,0.017982587745943364
30-34_110,29,50-54_115,42,35-39_110,28,0.0130778197581657
50-54_115,50,30-34_Others,36,25-29_221,44,0.03720808955199657
50-54,80,55-59,28,30-34_221,80,0.04126782474781696
50-54_115,50,25-29,120,114,55,0.005236168756867748
40-44_110,24,25-29,120,106,40,0.019649987893307894
60-64_115,26,114,71,<25,59,0.004943969217549365
60-64_115,26,Others,121,114,55,0.004464805840298665
60-64_115,26,Others,121,40-44_221,68,0.004665617441230148
50-54_115,50,35-39_114,21,<25,59,0.03244170711709125
60-64_115,26,40-44_Others,21,110,96,0.01194330375243804
50-54_115,50,25-29_115,50,30-34_115,80,0.010111627002614164
30-34_110,29,40-44_Others,21,<25,59,0.002356631760867793
30-34_110,29,45-49_115,81,50-54_115,36,0.00419368951852974
30-34_110,29,40-44_221,70,Others,113,0.003279849140181847
30-34_110,29,45-49_221,53,106,40,0.014900086095518485
50-54_115,50,45-49_221,53,30-34_221,80,0.027355530732755366
50-54_115,50,55-59,28,110,96,0.023572958730814136
50-54,80,25-29,120,40-44_115,93,0.005165592516424866
60-64,33,50-54_115,42,<25,59,0.002909898149466004
35-39_115,126,110,102,110,96,0.013844810474542496
30-34_110,29,30-34_115,57,30-34_115,80,0.002613077855829539
60-64,33,40-44_115,91,45-49_115,51,0.007263154068798192
35-39,303,114,71,40-44_115,93,0.015281062693268121
60-64_115,26,60-64,27,110,96,0.012088492706649707
50-54_115,50,25-29_115,50,45-49_221,37,0.03935483474664928
30-34_110,29,25-29_115,50,45-49_115,51,0.005300573710142309
50-54,80,35-39_221,88,45-49_221,37,0.030422645552715545
35-39,303,30-34,223,Others,113,0.006541582705118188
Others,116,40-44_115,91,50-54,75,0.04576864535718214
30-34_110,29,35-39_221,88,>65,49,0.0006708761911562386
50-54_115,50,25-29_115,50,25-29,110,0.004777451843924376
60-64,33,35-39_110,29,35-39_Others,36,0.03573148054331544
60-64,33,Others,121,40-44_221,68,0.000857488955005273
30-34_221,79,110,102,25-29,110,0.004183648889926332
30-34_110,29,35-39_115,110,Others,113,3.935682496454192e-05
30-34_110,29,60-64,27,25-29_115,29,0.027897288464379034
30-34_221,79,55-59,28,50-54,75,0.022226843772504334
45-49_115,93,Unknown,45,50-54,75,0.028654559302793956
60-64_115,26,30-34_221,89,>65,49,0.0024766422946531524
30-34_221,79,55-59,28,55-59,37,0.04961389144273413
60-64,33,40-44_115,91,25-29,110,0.00024394230737116536
60-64,33,30-34_115,57,<25,59,0.005661891949879574
60-64_115,26,Others,121,45-49_221,37,0.004310842779499826
60-64,33,35-39_221,88,35-39_221,92,0.0008855381254045096
30-34_110,29,25-29_221,33,25-29_115,29,0.02023993889384907
60-64,33,40-44_Others,21,30-34_221,80,0.005168882837235362
30-34_110,29,Unknown,45,<25,59,0.0004173844419995963
110,112,30-34_221,89,40-44_221,68,0.04440135508735882
30-34_221,79,Others,121,50-54,75,0.0024959789292202978
60-64,33,35-39_110,29,25-29_221,44,0.00995694175038442
50-54,80,45-49_115,81,45-49_221,37,0.040983635801869624
30-34_115,99,>65,35,30-34_221,80,0.01628026487727047
25-29_221,28,Others,121,110,96,0.022914695000622532
60-64_115,26,<25,47,30-34_115,80,0.02217983158430635
60-64_115,26,40-44_221,70,25-29,110,0.009809332249095477
35-39,303,110,102,45-49,138,0.0016585324776262436
30-34_115,99,40-44_221,70,55-59,37,0.042032730689972896
60-64,33,50-54,74,30-34_115,80,0.0030221422491389163
50-54_115,50,45-49_115,81,>65,49,0.03622198823187253
30-34_110,29,35-39_115,110,35-39_Others,36,0.0001733751389501386
50-54,80,Others,121,35-39_Others,36,0.008537882013956092
30-34_115,99,25-29,120,40-44_221,68,0.005917763248257313
60-64_115,26,45-49_115,81,55-59,37,0.04163219567434975
50-54,80,25-29_221,33,<25,59,0.02841434095267707
50-54_115,50,50-54_115,42,110,96,0.016410615299813434
30-34_115,99,40-44_221,70,50-54,75,0.005008232120205593
60-64,33,114,71,30-34_115,80,0.0019274662437657165
50-54_115,50,25-29_221,33,25-29,110,0.01793427916003633
30-34_110,29,Unknown,45,110,96,0.00018581871552715944
60-64_115,26,114,71,110,96,0.0047121883670891256
Others,116,30-34,223,35-39_115,132,0.0025266832260332113
50-54_115,50,30-34_221,89,114,55,0.006130635996544357
30-34_110,29,Unknown,45,35-39_Others,36,0.00878947255422793
30-34_110,29,50-54_115,42,110,96,0.00037203259296976135
60-64,33,35-39_115,110,40-44_115,93,0.0008604644042283005
50-54_115,50,25-29_115,50,>65,49,0.035893691446348616
221,388,40-44,236,35-39_115,132,0.030076082167403522
60-64,33,25-29_115,50,106,40,0.004241533722008441
50-54_115,50,40-44_Others,21,30-34_115,80,0.043918376506711904
60-64,33,45-49_221,53,30-34_115,80,0.0057748880686403605
40-44_110,24,35-39_115,110,50-54,75,0.01603817727070547
45-49,183,35-39_221,88,50-54,75,0.003462201110552409
60-64,33,30-34_221,89,25-29,110,4.405518880479147e-05
60-64,33,25-29_115,50,35-39_Others,36,0.00850087928654922
30-34_110,29,35-39_114,21,35-39_110,28,0.04008161421169805
30-34_110,29,25-29_221,33,110,96,0.0005896263714927571
40-44_110,24,40-44_Others,21,<25,59,0.03399412500421897
30-34_115,99,55-59,28,45-49_115,51,0.006859292501263394
60-64_115,26,55-59,28,25-29,110,0.01109203894858039
60-64_115,26,30-34_Others,36,25-29_221,44,0.022232314432222892
30-34,255,40-44_115,91,Others,113,0.00011393559734408086
60-64,33,45-49_115,81,35-39_221,92,0.0013226978182609291
25-29,132,40-44_115,91,30-34,214,0.013393910326336588
221,388,35-39,295,40-44,217,0.00959168575643988
110,112,30-34,223,30-34,214,0.0019162131178721848
30-34_110,29,<25,47,25-29_115,29,0.017821405729071562
35-39_221,108,25-29,120,50-54,75,0.005147015585217495
30-34_110,29,40-44_Others,21,30-34_115,80,0.0031896995414408456
50-54,80,110,102,110,96,0.0319726431876654
40-44_110,24,45-49_115,81,<25,59,0.01692382212797713
45-49,183,30-34_221,89,50-54,75,0.0010316281678625146
45-49_115,93,110,102,45-49_221,37,0.04800807206980434
60-64,33,35-39_115,110,50-54,75,0.002593563264845257
60-64_115,26,25-29,120,50-54_115,36,0.006162085207705689
30-34_110,29,55-59,28,110,96,0.001708974171232947
35-39_221,108,55-59,28,30-34_221,80,0.042640114190187525
50-54_115,50,Others,121,25-29,110,0.0016461346440117038
30-34_110,29,114,71,45-49_221,37,0.003998754765816686
30-34_115,99,110,102,30-34,214,1.9425434322571263e-05
60-64,33,30-34_115,57,106,40,0.03393631136978643
60-64,33,30-34_221,89,110,96,3.172913455410488e-05
30-34_110,29,60-64,27,<25,59,0.0018421991712127246
60-64,33,35-39_110,29,45-49_221,37,0.0302697777290997
30-34_115,99,110,102,110,96,0.0012058606315376722
40-44_110,24,25-29,120,30-34_115,80,0.024516026296036227
30-34_115,99,45-49_115,81,50-54,75,0.0018914626057782023
40-44_114,24,35-39_115,110,30-34_221,80,0.04755854177639784
40-44_110,24,30-34_Others,36,110,96,0.03559043818951596
50-54_115,50,35-39_221,88,40-44_221,68,0.037230234946596205
35-39_115,126,110,102,Others,113,0.043375347674343374
60-64,33,Unknown,45,30-34_221,80,0.0013372575896278252
30-34_110,29,35-39_115,110,110,96,7.062279865760418e-06
30-34_115,99,<25,47,106,40,0.04244296079204465
30-34_115,99,>65,35,30-34_115,80,0.033075410475537845
50-54,80,35-39_221,88,35-39_115,132,0.003966418191620406
30-34_110,29,25-29_115,50,50-54_115,36,0.007495176190150352
60-64_115,26,45-49_115,81,40-44_221,68,0.027947076158468566
30-34_115,99,<25,47,<25,59,0.026612154230605787
30-34,255,35-39,295,30-34,214,0.022763849422286563
50-54,80,25-29,120,30-34_221,80,0.0009877717533022887
60-64,33,40-44_221,70,114,55,0.044030963773947
40-44_114,24,25-29,120,<25,59,0.027590861733063916
40-44_114,24,30-34_221,89,25-29,110,0.03608456722756188
40-44_114,24,Others,121,<25,59,0.03740753271733166
50-54_115,50,45-49_115,81,<25,59,0.005410546776542254
30-34_110,29,25-29,120,Others,113,2.2296171671151535e-05
35-39_115,126,55-59,28,25-29,110,0.04484340302103365
30-34,255,45-49,177,40-44_115,93,8.191866629629149e-07
45-49_115,93,110,102,25-29,110,0.009188867877787893
30-34_115,99,45-49_221,53,35-39_Others,36,0.020457881521664428
30-34_110,29,50-54,74,40-44_221,68,0.012810849831009491
35-39_115,126,30-34_221,89,40-44_115,93,0.018413314758741545
30-34_110,29,Unknown,45,50-54_115,36,0.01990234025261261
30-34,255,45-49,177,40-44,217,7.565479468762943e-05
40-44_110,24,35-39_115,110,<25,59,0.008394348839771077
60-64,33,25-29,120,40-44_221,68,0.000508732084583874
60-64_115,26,25-29_115,50,30-34_115,80,0.0067519258021944365
60-64,33,25-29,120,35-39_221,92,0.00011384648387458507
30-34_110,29,35-39_221,88,106,40,0.00043705824971060646
60-64,33,25-29,120,Others,113,0.0001531810529665303
40-44_110,24,35-39_115,110,45-49_221,37,0.030873391042748846
60-64,33,Unknown,45,45-49_115,51,0.03660965724311435
>65,41,Others,121,50-54,75,0.029211645417595657
50-54,80,Others,121,45-49_221,37,0.007642100892101102
60-64,33,50-54,74,45-49_221,37,0.023286096085487713
114,61,30-34_221,89,45-49_115,51,0.03976911294218439
30-34_110,29,Others,121,35-39_221,92,2.8773915960817434e-05
110,112,30-34,223,Others,113,0.0007069103406672181
45-49,183,30-34,223,35-39_115,132,0.016238668018282092
30-34_110,29,40-44_221,70,45-49_221,37,0.01870848654077643
50-54,80,Others,121,35-39_221,92,0.0035977682465376565
30-34_221,79,25-29_115,50,45-49_115,51,0.04373896441133036
60-64_115,26,114,71,106,40,0.028589768285017185
30-34_110,29,45-49_221,53,114,55,0.022753614103133885
60-64_115,26,Others,121,50-54_115,36,0.009236882400007604
45-49_115,93,Others,121,50-54,75,0.005802505996106593
30-34_110,29,50-54,74,35-39_Others,36,0.009458108868191916
30-34_221,79,25-29,120,45-49_115,51,0.030078866943651108
50-54_115,50,50-54,74,25-29,110,0.011899908871431712
110,112,110,102,35-39_115,132,0.02953144822970222
25-29_221,28,25-29_115,50,25-29,110,0.039819710253252746
45-49_115,93,114,71,50-54,75,0.028323968479115873
25-29_221,28,25-29,120,114,55,0.03487217933557124
30-34_110,29,50-54,74,>65,49,0.0065018800669141555
30-34_221,79,45-49_221,53,25-29_221,44,0.04859702598258397
60-64,33,114,71,45-49_115,51,0.026531025190168967
30-34_221,79,<25,47,40-44_221,68,0.048153096962910334
110,112,30-34_221,89,50-54,75,0.00696953627608463
60-64,33,>65,35,110,96,0.005702548801140255
25-29_221,28,35-39_115,110,45-49_221,37,0.0479303003918861
60-64,33,50-54_115,42,>65,49,0.032586935451953944
50-54_115,50,114,71,<25,59,0.01021671735461435
30-34_115,99,45-49_221,53,>65,49,0.016233249225390024
30-34_110,29,50-54,74,30-34_115,80,0.0007940148282889533
40-44_115,118,50-54,74,30-34,214,0.03998250461727504
50-54_115,50,35-39_115,110,106,40,0.005777712956766876
60-64_115,26,45-49_221,53,30-34_221,80,0.013474567731433334
50-54,80,35-39_115,110,Others,113,0.003857826146979808
45-49,183,45-49_221,53,50-54,75,0.007006413933979573
30-34_115,99,40-44_115,91,40-44_115,93,0.003215613417972216
50-54,80,55-59,28,25-29,110,0.018907385984142485
40-44_110,24,35-39_114,21,<25,59,0.039965238219057
60-64,33,55-59,28,30-34_221,80,0.008655969513902927
60-64_115,26,114,71,45-49_221,37,0.04375898634721254
50-54_115,50,Others,121,35-39_221,92,0.0039281400882700485
50-54_115,50,35-39_115,110,110,96,0.00140405075222822
30-34_221,79,110,102,45-49_221,37,0.021807876706291602
60-64_115,26,35-39_110,29,25-29_221,44,0.028145729933832297
60-64,33,45-49_115,81,110,96,0.0002903165056390714
50-54_115,50,25-29,120,<25,59,0.0009855754010514202
50-54,80,40-44_115,91,25-29,110,0.0036117455003252855
30-34_110,29,40-44_221,70,30-34_221,80,0.000885706899160179
30-34_110,29,110,102,35-39_221,92,0.0186005825303624
30-34_110,29,50-54_115,42,<25,59,0.000850431062238937
45-49_115,93,45-49_221,53,50-54,75,0.04757231021604685
60-64_115,26,25-29_115,50,50-54_221,22,0.027352962465851498
60-64,33,25-29,120,114,55,0.0003827715763264085
30-34_110,29,45-49_115,81,35-39_221,92,0.00024650271271645183
114,61,25-29,120,<25,59,0.023987635120990513
45-49_115,93,110,102,50-54,75,0.049323825503898924
30-34_110,29,30-34_115,57,55-59,37,0.04612165086263988
40-44_110,24,45-49_115,81,25-29,110,0.0407933989130634
60-64_115,26,Unknown,45,25-29_115,29,0.03869132320257354
30-34_221,79,110,102,110,96,0.004319117123580796
40-44_110,24,25-29,120,110,96,0.011782628480317523
50-54_115,50,25-29,120,50-54_115,36,0.009836473643162801
35-39_115,126,55-59,28,<25,59,0.029640733408790462
50-54,80,25-29_221,33,30-34_221,80,0.030043103583305333
45-49_115,93,35-39_115,110,50-54,75,0.005469372124627878
50-54_115,50,35-39_221,88,110,96,0.003923043397917057
40-44_110,24,40-44_Others,21,110,96,0.048534575115482606
30-34_115,99,<25,47,35-39_221,92,0.023016531933340415
60-64,33,45-49_115,81,30-34_221,80,0.0004020830377510647
45-49,183,35-39_221,88,40-44_115,93,0.01830986484341529
50-54,80,>65,35,<25,59,0.04784445001939681
30-34_110,29,30-34_221,89,40-44_115,93,0.00018324274742065723
60-64,33,25-29,120,30-34_115,80,0.00012930259001957175
114,61,30-34_221,89,106,40,0.04257597827674894
40-44_114,24,35-39_115,110,50-54,75,0.02299646429379107
60-64,33,>65,35,25-29_221,44,0.045570495601858635
60-64_115,26,35-39_115,110,30-34_221,80,0.0008492137638529263
60-64,33,45-49_115,81,Others,113,0.0015761153174442559
