grp1,grp1_size,grp2,grp2_size,grp3,grp3_size,p-value
60-64,33,60-64,27,110,96,0.002718801310552857
30-34_110,29,50-54,74,Others,113,0.0015477713120517138
30-34_115,99,45-49_221,53,30-34_221,80,0.01085676599668805
30-34_110,29,>65,35,30-34_115,80,0.00553291943788559
45-49,183,110,102,114,55,0.008623465759308785
40-44_221,74,35-39_115,110,40-44_115,93,0.04253608099790081
30-34_110,29,Unknown,45,Unknown,35,0.021114429849020087
30-34_110,29,30-34_221,89,110,96,3.727105502463758e-06
30-34_221,79,45-49_221,53,30-34_221,80,0.035894878469139385
40-44_115,118,40-44_221,70,30-34,214,0.019520736747089245
60-64,33,35-39_115,110,55-59,37,0.0018066084823872507
50-54_115,50,35-39_221,88,>65,49,0.027003676039177308
60-64_115,26,30-34_115,57,<25,59,0.020876449319318684
30-34_115,99,40-44_221,70,45-49_115,51,0.01570005212569316
110,112,35-39_115,110,50-54,75,0.010021690339382166
40-44_221,74,110,102,35-39_115,132,0.036724693447600064
40-44_221,74,Others,121,50-54,75,0.014915223746748498
30-34_110,29,50-54_115,42,Unknown,35,0.04436562827838061
50-54,80,25-29,120,45-49_115,51,0.006982091715775549
30-34_110,29,30-34_Others,36,50-54_115,36,0.02449946985727483
50-54_115,50,40-44_115,91,114,55,0.03229088129009427
45-49_115,93,110,102,35-39_221,92,0.028126586355079638
25-29_221,28,35-39_115,110,30-34_221,80,0.020833709263017003
60-64,33,114,71,25-29,110,0.0006635591285396889
50-54_115,50,35-39_115,110,45-49_221,37,0.00789944364816079
30-34_110,29,Others,121,50-54_115,36,0.00042802285913955937
30-34_115,99,50-54,74,45-49,138,0.04344914088434988
30-34_115,99,40-44_221,70,30-34_115,80,0.04020482119358207
30-34_110,29,25-29_221,33,35-39_110,28,0.022412724090066477
60-64_115,26,Unknown,45,<25,59,0.006694152902607542
30-34_115,99,55-59,28,30-34_115,80,0.008981268389708042
50-54_115,50,114,71,35-39_221,92,0.03621509027571618
35-39,303,40-44_115,91,40-44_115,93,0.01256821465638643
60-64,33,<25,47,35-39_221,92,0.013012210170476438
30-34_221,79,55-59,28,25-29_221,44,0.02031894806545619
>65_115,24,25-29,120,50-54,75,0.01964487044246209
30-34_221,79,45-49_221,53,50-54,75,0.01982333883722374
50-54_115,50,40-44_221,70,<25,59,0.023440629904801797
35-39_115,126,30-34,223,40-44_115,93,3.749210568847812e-05
