grp1,grp1_size,grp2,grp2_size,p-value
canada_50-55_90's,939,norm,0,0.0
chile_90's,13,norm,0,1.7645592900984735e-85
italy_2000's,300,norm,0,0.0
germany_18-24_70's,17,norm,0,3.2820590073605044e-49
usa_60's,400,norm,0,0.0
iran_2000's,225,norm,0,0.0
france_35-44_2000's,153,norm,0,0.0
35-44,64292,norm,0,0.0
united kingdom_25-34_90's,1121,norm,0,0.0
germany,4458,norm,0,0.0
25-34_20's,18,norm,0,3.4151351404455983e-118
philippines_18-24,63,norm,0,6.965155547027833e-284
new zealand_25-34,112,norm,0,4.335272254303328e-223
usa_25-34_20's,16,norm,0,4.156226800575894e-105
romania_70's,16,norm,0,4.156226800575894e-105
spain_2000's,1300,norm,0,0.0
bulgaria,43,norm,0,6.755056264785641e-194
usa_>56_90's,9011,norm,0,0.0
new zealand_>56,24,norm,0,2.680730362995778e-69
egypt_2000's,26,norm,0,5.737464465510298e-32
cyprus_35-44,15,norm,0,6.471521261147427e-68
switzerland_<18,17,norm,0,2.417877590371334e-21
finland_25-34_2000's,77,norm,0,2.158759337626151e-221
romania_25-34_2000's,38,norm,0,4.791753264215119e-249
netherlands,1420,norm,0,0.0
portugal_18-24,228,norm,0,0.0
bulgaria_90's,24,norm,0,2.074876320363095e-108
switzerland_25-34_90's,119,norm,0,0.0
norway_35-44_2000's,29,norm,0,3.6669543063562245e-190
united kingdom_35-44_80's,159,norm,0,0.0
portugal_50's,11,norm,0,2.1474724457772228e-72
australia_25-34_70's,16,norm,0,4.156226800575894e-105
philippines_25-34,38,norm,0,4.791753264215119e-249
spain_50-55,84,norm,0,0.0
australia_45-49_80's,24,norm,0,1.8946712272133442e-157
italy_90's,343,norm,0,0.0
malaysia,1494,norm,0,0.0
canada_<18_80's,60,norm,0,1.3154908749567347e-172
qatar_2000's,52,norm,0,0.0
czech republic_2000's,16,norm,0,4.156226800575894e-105
malaysia_18-24,516,norm,0,0.0
turkey_18-24,11,norm,0,2.1474724457772228e-72
dominican republic_80's,13,norm,0,1.7645592900984735e-85
japan_90's,99,norm,0,1.587908372693343e-284
singapore_25-34_90's,25,norm,0,6.57139097160337e-113
finland_2000's,156,norm,0,0.0
romania_18-24_2000's,103,norm,0,0.0
greece_90's,11,norm,0,7.036788228875173e-12
usa_35-44,51888,norm,0,0.0
18-24_70's,393,norm,0,0.0
bulgaria_25-34_90's,22,norm,0,2.3058189526862034e-144
hong kong_25-34_2000's,14,norm,0,1.334269297323987e-40
denmark_90's,70,norm,0,2.226314256e-315
usa_>56_50's,23,norm,0,6.609666273585798e-151
germany_25-34,2327,norm,0,0.0
usa_50-55_70's,244,norm,0,0.0
25-34_30's,12,norm,0,6.155763522445196e-79
usa_50-55_80's,1831,norm,0,0.0
malaysia_25-34_70's,11,norm,0,2.1474724457772228e-72
<18_60's,44,norm,0,2.65840052128345e-288
austria_25-34,358,norm,0,0.0
united kingdom_25-34_70's,47,norm,0,6.796562900008324e-212
spain_25-34,1218,norm,0,0.0
spain_35-44,753,norm,0,0.0
japan_2000's,90,norm,0,1.0668829189371366e-258
germany_45-49_80's,19,norm,0,9.78953856340034e-125
china,233,norm,0,0.0
ireland_90's,73,norm,0,0.0
australia_<18_2000's,61,norm,0,1.775778542731459e-175
australia_35-44_2000's,285,norm,0,0.0
italy_80's,50,norm,0,0.0
south africa_90's,15,norm,0,1.4499229055979413e-98
usa_<18_50's,28,norm,0,5.942861208831908e-35
