samples,n,algorithm,#AllCandidates,#Candidates,#Results_noAdjustement,grouping_time,#Results,Min_p_value,Max_p_value,Sum_p_value,Total Cov,p_value_adjustement_time
30.0,-1,TRAD_BY,59.0,5.0,3.0,47.733306884765625,3.0,0.0020092477866288,0.0176337992656963,0.0287362396598118,0.0104005143527098,0.0743689537048339
30.0,-1,TRAD_BN,59.0,5.0,3.0,47.733306884765625,2.0,0.0020092477866288,0.0090931926074866,0.0111024403941155,0.0020801028705419,0.0740847587585449
30.0,-1,COVER_G_BY,59.0,5.0,3.0,47.733306884765625,2.0,0.0020092477866288,0.0176337992656963,0.0196430470523251,0.0104005143527098,0.0855128765106201
30.0,-1,COVER_G_BN,59.0,5.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.0863287448883056
30.0,-1,COVER_𝛂_20,59.0,5.0,3.0,47.733306884765625,0.0,,,0.0,,0.0925409793853759
30.0,-1,COVER_𝛂_50,59.0,5.0,3.0,47.733306884765625,0.0,,,0.0,,0.0851049423217773
30.0,-1,COVER_𝛂_100,59.0,5.0,3.0,47.733306884765625,0.0,,,0.0,,0.0858540534973144
30.0,-1,COVER_𝛂_200,59.0,5.0,3.0,47.733306884765625,0.0,,,0.0,,0.0904607772827148
30.0,25,TRAD_BY,59.0,5.0,3.0,47.733306884765625,3.0,0.0020092477866288,0.0176337992656963,0.0287362396598118,0.0104005143527098,0.074197769165039
30.0,25,TRAD_BN,59.0,5.0,3.0,47.733306884765625,2.0,0.0020092477866288,0.0090931926074866,0.0111024403941155,0.0020801028705419,0.0740554332733154
30.0,25,COVER_G_BY,59.0,5.0,3.0,47.733306884765625,2.0,0.0020092477866288,0.0176337992656963,0.0196430470523251,0.0104005143527098,0.0854718685150146
30.0,25,COVER_G_BN,59.0,5.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.0852518081665039
30.0,25,COVER_𝛂_20,59.0,5.0,3.0,47.733306884765625,0.0,,,0.0,,0.0865719318389892
30.0,25,COVER_𝛂_50,59.0,5.0,3.0,47.733306884765625,0.0,,,0.0,,0.0878741741180419
30.0,25,COVER_𝛂_100,59.0,5.0,3.0,47.733306884765625,0.0,,,0.0,,0.0840289592742919
30.0,25,COVER_𝛂_200,59.0,5.0,3.0,47.733306884765625,0.0,,,0.0,,0.0844690799713134
30.0,20,TRAD_BY,59.0,5.0,3.0,47.733306884765625,3.0,0.0020092477866288,0.0176337992656963,0.0287362396598118,0.0104005143527098,0.0743117332458496
30.0,20,TRAD_BN,59.0,5.0,3.0,47.733306884765625,2.0,0.0020092477866288,0.0090931926074866,0.0111024403941155,0.0020801028705419,0.0742418766021728
30.0,20,COVER_G_BY,59.0,5.0,3.0,47.733306884765625,2.0,0.0020092477866288,0.0176337992656963,0.0196430470523251,0.0104005143527098,0.0868420600891113
30.0,20,COVER_G_BN,59.0,5.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.0850319862365722
30.0,20,COVER_𝛂_20,59.0,5.0,3.0,47.733306884765625,0.0,,,0.0,,0.0884749889373779
30.0,20,COVER_𝛂_50,59.0,5.0,3.0,47.733306884765625,0.0,,,0.0,,0.0860579013824462
30.0,20,COVER_𝛂_100,59.0,5.0,3.0,47.733306884765625,0.0,,,0.0,,0.0881910324096679
30.0,20,COVER_𝛂_200,59.0,5.0,3.0,47.733306884765625,0.0,,,0.0,,0.0853610038757324
30.0,15,TRAD_BY,59.0,5.0,3.0,47.733306884765625,3.0,0.0020092477866288,0.0176337992656963,0.0287362396598118,0.0104005143527098,0.0743219852447509
30.0,15,TRAD_BN,59.0,5.0,3.0,47.733306884765625,2.0,0.0020092477866288,0.0090931926074866,0.0111024403941155,0.0020801028705419,0.0741240978240966
30.0,15,COVER_G_BY,59.0,5.0,3.0,47.733306884765625,2.0,0.0020092477866288,0.0176337992656963,0.0196430470523251,0.0104005143527098,0.0859696865081787
30.0,15,COVER_G_BN,59.0,5.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.0854275226593017
30.0,15,COVER_𝛂_20,59.0,5.0,3.0,47.733306884765625,0.0,,,0.0,,0.0887377262115478
30.0,15,COVER_𝛂_50,59.0,5.0,3.0,47.733306884765625,0.0,,,0.0,,0.0840849876403808
30.0,15,COVER_𝛂_100,59.0,5.0,3.0,47.733306884765625,0.0,,,0.0,,0.0854170322418212
30.0,15,COVER_𝛂_200,59.0,5.0,3.0,47.733306884765625,0.0,,,0.0,,0.0894999504089355
30.0,10,TRAD_BY,59.0,5.0,3.0,47.733306884765625,3.0,0.0020092477866288,0.0176337992656963,0.0287362396598118,0.0104005143527098,0.0741608142852783
30.0,10,TRAD_BN,59.0,5.0,3.0,47.733306884765625,2.0,0.0020092477866288,0.0090931926074866,0.0111024403941155,0.0020801028705419,0.0740249156951904
30.0,10,COVER_G_BY,59.0,5.0,3.0,47.733306884765625,2.0,0.0020092477866288,0.0176337992656963,0.0196430470523251,0.0104005143527098,0.0851330757141113
30.0,10,COVER_G_BN,59.0,5.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.0856447219848632
30.0,10,COVER_𝛂_20,59.0,5.0,3.0,47.733306884765625,0.0,,,0.0,,0.0856180191040039
30.0,10,COVER_𝛂_50,59.0,5.0,3.0,47.733306884765625,0.0,,,0.0,,0.0874571800231933
30.0,10,COVER_𝛂_100,59.0,5.0,3.0,47.733306884765625,0.0,,,0.0,,0.081575870513916
30.0,10,COVER_𝛂_200,59.0,5.0,3.0,47.733306884765625,0.0,,,0.0,,0.0857172012329101
30.0,5,TRAD_BY,59.0,5.0,3.0,47.733306884765625,3.0,0.0020092477866288,0.0176337992656963,0.0287362396598118,0.0104005143527098,0.0742397308349609
30.0,5,TRAD_BN,59.0,5.0,3.0,47.733306884765625,2.0,0.0020092477866288,0.0090931926074866,0.0111024403941155,0.0020801028705419,0.0742137432098388
30.0,5,COVER_G_BY,59.0,5.0,3.0,47.733306884765625,2.0,0.0020092477866288,0.0176337992656963,0.0196430470523251,0.0104005143527098,0.0875675678253173
30.0,5,COVER_G_BN,59.0,5.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.0865776538848877
30.0,5,COVER_𝛂_20,59.0,5.0,3.0,47.733306884765625,0.0,,,0.0,,0.0878701210021972
30.0,5,COVER_𝛂_50,59.0,5.0,3.0,47.733306884765625,0.0,,,0.0,,0.0870809555053711
30.0,5,COVER_𝛂_100,59.0,5.0,3.0,47.733306884765625,0.0,,,0.0,,0.0895998477935791
30.0,5,COVER_𝛂_200,59.0,5.0,3.0,47.733306884765625,0.0,,,0.0,,0.0825347900390625
40.0,-1,TRAD_BY,79.0,6.0,3.0,47.733306884765625,3.0,0.0020092477866288,0.0090931926074866,0.0201956330016022,0.0020801028705419,0.0716240406036377
40.0,-1,TRAD_BN,79.0,6.0,3.0,47.733306884765625,3.0,0.0020092477866288,0.0090931926074866,0.0201956330016022,0.0020801028705419,0.0713939666748046
40.0,-1,COVER_G_BY,79.0,6.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.0788180828094482
40.0,-1,COVER_G_BN,79.0,6.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.0803918838500976
40.0,-1,COVER_𝛂_20,79.0,6.0,3.0,47.733306884765625,0.0,,,0.0,,0.0857281684875488
40.0,-1,COVER_𝛂_50,79.0,6.0,3.0,47.733306884765625,0.0,,,0.0,,0.0983710289001464
40.0,-1,COVER_𝛂_100,79.0,6.0,3.0,47.733306884765625,0.0,,,0.0,,0.1131932735443115
40.0,-1,COVER_𝛂_200,79.0,6.0,3.0,47.733306884765625,0.0,,,0.0,,0.108548879623413
40.0,25,TRAD_BY,79.0,6.0,3.0,47.733306884765625,3.0,0.0020092477866288,0.0090931926074866,0.0201956330016022,0.0020801028705419,0.0720279216766357
40.0,25,TRAD_BN,79.0,6.0,3.0,47.733306884765625,3.0,0.0020092477866288,0.0090931926074866,0.0201956330016022,0.0020801028705419,0.0718607902526855
40.0,25,COVER_G_BY,79.0,6.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.0821027755737304
40.0,25,COVER_G_BN,79.0,6.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.0820441246032714
40.0,25,COVER_𝛂_20,79.0,6.0,3.0,47.733306884765625,0.0,,,0.0,,0.0871062278747558
40.0,25,COVER_𝛂_50,79.0,6.0,3.0,47.733306884765625,0.0,,,0.0,,0.0916826725006103
40.0,25,COVER_𝛂_100,79.0,6.0,3.0,47.733306884765625,0.0,,,0.0,,0.1052229404449462
40.0,25,COVER_𝛂_200,79.0,6.0,3.0,47.733306884765625,0.0,,,0.0,,0.1026008129119873
40.0,20,TRAD_BY,79.0,6.0,3.0,47.733306884765625,3.0,0.0020092477866288,0.0090931926074866,0.0201956330016022,0.0020801028705419,0.0717229843139648
40.0,20,TRAD_BN,79.0,6.0,3.0,47.733306884765625,3.0,0.0020092477866288,0.0090931926074866,0.0201956330016022,0.0020801028705419,0.0716469287872314
40.0,20,COVER_G_BY,79.0,6.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.0795526504516601
40.0,20,COVER_G_BN,79.0,6.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.0799870491027832
40.0,20,COVER_𝛂_20,79.0,6.0,3.0,47.733306884765625,0.0,,,0.0,,0.0897350311279296
40.0,20,COVER_𝛂_50,79.0,6.0,3.0,47.733306884765625,0.0,,,0.0,,0.0906119346618652
40.0,20,COVER_𝛂_100,79.0,6.0,3.0,47.733306884765625,0.0,,,0.0,,0.0885891914367675
40.0,20,COVER_𝛂_200,79.0,6.0,3.0,47.733306884765625,0.0,,,0.0,,0.0995571613311767
40.0,15,TRAD_BY,79.0,6.0,3.0,47.733306884765625,3.0,0.0020092477866288,0.0090931926074866,0.0201956330016022,0.0020801028705419,0.0717101097106933
40.0,15,TRAD_BN,79.0,6.0,3.0,47.733306884765625,3.0,0.0020092477866288,0.0090931926074866,0.0201956330016022,0.0020801028705419,0.0716898441314697
40.0,15,COVER_G_BY,79.0,6.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.0807702541351318
40.0,15,COVER_G_BN,79.0,6.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.0799348354339599
40.0,15,COVER_𝛂_20,79.0,6.0,3.0,47.733306884765625,0.0,,,0.0,,0.0924539566040039
40.0,15,COVER_𝛂_50,79.0,6.0,3.0,47.733306884765625,0.0,,,0.0,,0.090451955795288
40.0,15,COVER_𝛂_100,79.0,6.0,3.0,47.733306884765625,0.0,,,0.0,,0.1044631004333496
40.0,15,COVER_𝛂_200,79.0,6.0,3.0,47.733306884765625,0.0,,,0.0,,0.0909452438354492
40.0,10,TRAD_BY,79.0,6.0,3.0,47.733306884765625,3.0,0.0020092477866288,0.0090931926074866,0.0201956330016022,0.0020801028705419,0.0715370178222656
40.0,10,TRAD_BN,79.0,6.0,3.0,47.733306884765625,3.0,0.0020092477866288,0.0090931926074866,0.0201956330016022,0.0020801028705419,0.0716300010681152
40.0,10,COVER_G_BY,79.0,6.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.0800838470458984
40.0,10,COVER_G_BN,79.0,6.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.0794970989227294
40.0,10,COVER_𝛂_20,79.0,6.0,3.0,47.733306884765625,0.0,,,0.0,,0.0859012603759765
40.0,10,COVER_𝛂_50,79.0,6.0,3.0,47.733306884765625,0.0,,,0.0,,0.0890400409698486
40.0,10,COVER_𝛂_100,79.0,6.0,3.0,47.733306884765625,0.0,,,0.0,,0.0854201316833496
40.0,10,COVER_𝛂_200,79.0,6.0,3.0,47.733306884765625,0.0,,,0.0,,0.0866189002990722
40.0,5,TRAD_BY,79.0,6.0,3.0,47.733306884765625,3.0,0.0020092477866288,0.0090931926074866,0.0201956330016022,0.0020801028705419,0.0718860626220703
40.0,5,TRAD_BN,79.0,6.0,3.0,47.733306884765625,3.0,0.0020092477866288,0.0090931926074866,0.0201956330016022,0.0020801028705419,0.0716397762298584
40.0,5,COVER_G_BY,79.0,6.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.0798571109771728
40.0,5,COVER_G_BN,79.0,6.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.0800728797912597
40.0,5,COVER_𝛂_20,79.0,6.0,3.0,47.733306884765625,0.0,,,0.0,,0.0894780158996582
40.0,5,COVER_𝛂_50,79.0,6.0,3.0,47.733306884765625,0.0,,,0.0,,0.0863151550292968
40.0,5,COVER_𝛂_100,79.0,6.0,3.0,47.733306884765625,0.0,,,0.0,,0.0850517749786377
40.0,5,COVER_𝛂_200,79.0,6.0,3.0,47.733306884765625,0.0,,,0.0,,0.0837719440460205
50.0,-1,TRAD_BY,99.0,8.0,3.0,47.733306884765625,3.0,0.0020092477866288,0.0180357923495009,0.0376788394018261,0.0104005143527098,0.1167757511138916
50.0,-1,TRAD_BN,99.0,8.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.1162638664245605
50.0,-1,COVER_G_BY,99.0,8.0,3.0,47.733306884765625,2.0,0.0020092477866288,0.0176337992656963,0.0196430470523251,0.0104005143527098,0.130765676498413
50.0,-1,COVER_G_BN,99.0,8.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.1304719448089599
50.0,-1,COVER_𝛂_20,99.0,8.0,3.0,47.733306884765625,0.0,,,0.0,,0.1344761848449707
50.0,-1,COVER_𝛂_50,99.0,8.0,3.0,47.733306884765625,0.0,,,0.0,,0.1452820301055908
50.0,-1,COVER_𝛂_100,99.0,8.0,3.0,47.733306884765625,0.0,,,0.0,,0.1403040885925293
50.0,-1,COVER_𝛂_200,99.0,8.0,3.0,47.733306884765625,0.0,,,0.0,,0.1372079849243164
50.0,25,TRAD_BY,99.0,8.0,3.0,47.733306884765625,3.0,0.0020092477866288,0.0180357923495009,0.0376788394018261,0.0104005143527098,0.116668701171875
50.0,25,TRAD_BN,99.0,8.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.1162679195404052
50.0,25,COVER_G_BY,99.0,8.0,3.0,47.733306884765625,2.0,0.0020092477866288,0.0176337992656963,0.0196430470523251,0.0104005143527098,0.1277887821197509
50.0,25,COVER_G_BN,99.0,8.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.1282389163970947
50.0,25,COVER_𝛂_20,99.0,8.0,3.0,47.733306884765625,0.0,,,0.0,,0.1366858482360839
50.0,25,COVER_𝛂_50,99.0,8.0,3.0,47.733306884765625,0.0,,,0.0,,0.1598880290985107
50.0,25,COVER_𝛂_100,99.0,8.0,3.0,47.733306884765625,0.0,,,0.0,,0.1419019699096679
50.0,25,COVER_𝛂_200,99.0,8.0,3.0,47.733306884765625,0.0,,,0.0,,0.1418259143829345
50.0,20,TRAD_BY,99.0,8.0,3.0,47.733306884765625,3.0,0.0020092477866288,0.0180357923495009,0.0376788394018261,0.0104005143527098,0.116727590560913
50.0,20,TRAD_BN,99.0,8.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.1163196563720703
50.0,20,COVER_G_BY,99.0,8.0,3.0,47.733306884765625,2.0,0.0020092477866288,0.0176337992656963,0.0196430470523251,0.0104005143527098,0.1280820369720459
50.0,20,COVER_G_BN,99.0,8.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.1285059452056884
50.0,20,COVER_𝛂_20,99.0,8.0,3.0,47.733306884765625,0.0,,,0.0,,0.1464667320251464
50.0,20,COVER_𝛂_50,99.0,8.0,3.0,47.733306884765625,0.0,,,0.0,,0.1380960941314697
50.0,20,COVER_𝛂_100,99.0,8.0,3.0,47.733306884765625,0.0,,,0.0,,0.1392219066619873
50.0,20,COVER_𝛂_200,99.0,8.0,3.0,47.733306884765625,0.0,,,0.0,,0.145643949508667
50.0,15,TRAD_BY,99.0,8.0,3.0,47.733306884765625,3.0,0.0020092477866288,0.0180357923495009,0.0376788394018261,0.0104005143527098,0.1168596744537353
50.0,15,TRAD_BN,99.0,8.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.1164267063140869
50.0,15,COVER_G_BY,99.0,8.0,3.0,47.733306884765625,2.0,0.0020092477866288,0.0176337992656963,0.0196430470523251,0.0104005143527098,0.1278719902038574
50.0,15,COVER_G_BN,99.0,8.0,3.0,47.733306884765625,1.0,0.0020092477866288,0.0020092477866288,0.0020092477866288,0.0020801028705419,0.128483772277832
50.0,15,COVER_𝛂_20,99.0,8.0,3.0,47.733306884765625,0.0,,,0.0,,0.1459589004516601
50.0,15,COVER_𝛂_50,99.0,8.0,3.0,47.733306884765625,0.0,,,0.0,,0.143244981765747
50.0,15,COVER_𝛂_100,99.0,8.0,3.0,47.733306884765625,0.0,,,0.0,,0.1392261981964111
