num_max_hypo,threshold,method,adjustment,Candidates,Hypothesis,Without_Adjust,grouping_time,Best_pairs,Min_p_value,Max_p_value,Sum_p_value,Cov_period_1,Cov_period_2,Cov_total,p_value_adjustement_time
10.0,-1,Traditional,Benjamini,19.0,1.0,1.0,51.246095180511475,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.02168107032775879
10.0,-1,Traditional,Bonferroni,19.0,1.0,1.0,51.246095180511475,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.02135181427001953
10.0,-1,Coverage_Two_Sides,Benjamini,19.0,1.0,1.0,51.246095180511475,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.02893209457397461
10.0,-1,Coverage_Two_Sides,Bonferroni,19.0,1.0,1.0,51.246095180511475,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.028048038482666016
10.0,-1,Coverage_Side_1,Benjamini,19.0,1.0,1.0,51.246095180511475,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.02626204490661621
10.0,-1,Coverage_Side_1,Bonferroni,19.0,1.0,1.0,51.246095180511475,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.025558948516845703
10.0,-1,Coverage_Side_2,Benjamini,19.0,1.0,1.0,51.246095180511475,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.02531886100769043
10.0,-1,Coverage_Side_2,Bonferroni,19.0,1.0,1.0,51.246095180511475,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.025332927703857422
10.0,-1,Coverage_alpha_investing,gamma_20,19.0,1.0,1.0,51.246095180511475,0.0,,,0.0,,,,0.01736617088317871
10.0,-1,Coverage_alpha_investing,gamma_50,19.0,1.0,1.0,51.246095180511475,0.0,,,0.0,,,,0.01707601547241211
10.0,-1,Coverage_alpha_investing,gamma_100,19.0,1.0,1.0,51.246095180511475,0.0,,,0.0,,,,0.019340991973876953
10.0,-1,Coverage_alpha_investing,gamma_200,19.0,1.0,1.0,51.246095180511475,0.0,,,0.0,,,,0.02092909812927246
10.0,25,Traditional,Benjamini,19.0,1.0,1.0,51.246095180511475,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.021418333053588867
10.0,25,Traditional,Bonferroni,19.0,1.0,1.0,51.246095180511475,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.021181821823120117
10.0,25,Coverage_Two_Sides,Benjamini,19.0,1.0,1.0,51.246095180511475,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.02836298942565918
10.0,25,Coverage_Two_Sides,Bonferroni,19.0,1.0,1.0,51.246095180511475,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.028947830200195312
10.0,25,Coverage_Side_1,Benjamini,19.0,1.0,1.0,51.246095180511475,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.027016878128051758
10.0,25,Coverage_Side_1,Bonferroni,19.0,1.0,1.0,51.246095180511475,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.028168916702270508
10.0,25,Coverage_Side_2,Benjamini,19.0,1.0,1.0,51.246095180511475,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.02680492401123047
10.0,25,Coverage_Side_2,Bonferroni,19.0,1.0,1.0,51.246095180511475,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.027491331100463867
