num_max_hypo,threshold,method,adjustment,Candidates,Hypothesis,Without_Adjust,grouping_time,Best_pairs,Min_p_value,Max_p_value,Sum_p_value,Cov_period_1,Cov_period_2,Cov_total,p_value_adjustement_time
20.0,-1,Traditional,Benjamini,39.0,3.0,2.0,48.84511399269104,2.0,0.0020092477866288307,0.009093192607486695,0.011102440394115525,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.048272132873535156
20.0,-1,Traditional,Bonferroni,39.0,3.0,2.0,48.84511399269104,2.0,0.0020092477866288307,0.009093192607486695,0.011102440394115525,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.047955989837646484
20.0,-1,Coverage_Two_Sides,Benjamini,39.0,3.0,2.0,48.84511399269104,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.05683422088623047
20.0,-1,Coverage_Two_Sides,Bonferroni,39.0,3.0,2.0,48.84511399269104,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.05616402626037598
20.0,-1,Coverage_Side_1,Benjamini,39.0,3.0,2.0,48.84511399269104,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.05353808403015137
20.0,-1,Coverage_Side_1,Bonferroni,39.0,3.0,2.0,48.84511399269104,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.05348610877990723
20.0,-1,Coverage_Side_2,Benjamini,39.0,3.0,2.0,48.84511399269104,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.05350923538208008
20.0,-1,Coverage_Side_2,Bonferroni,39.0,3.0,2.0,48.84511399269104,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.05343890190124512
20.0,-1,Coverage_alpha_investing,gamma_20,39.0,3.0,2.0,48.84511399269104,0.0,,,0.0,,,,0.04513192176818848
20.0,-1,Coverage_alpha_investing,gamma_50,39.0,3.0,2.0,48.84511399269104,0.0,,,0.0,,,,0.04468393325805664
20.0,-1,Coverage_alpha_investing,gamma_100,39.0,3.0,2.0,48.84511399269104,0.0,,,0.0,,,,0.04399609565734863
20.0,-1,Coverage_alpha_investing,gamma_200,39.0,3.0,2.0,48.84511399269104,0.0,,,0.0,,,,0.04427695274353027
20.0,25,Traditional,Benjamini,39.0,3.0,2.0,48.84511399269104,2.0,0.0020092477866288307,0.009093192607486695,0.011102440394115525,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.04774832725524902
20.0,25,Traditional,Bonferroni,39.0,3.0,2.0,48.84511399269104,2.0,0.0020092477866288307,0.009093192607486695,0.011102440394115525,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.04783296585083008
20.0,25,Coverage_Two_Sides,Benjamini,39.0,3.0,2.0,48.84511399269104,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.05598902702331543
20.0,25,Coverage_Two_Sides,Bonferroni,39.0,3.0,2.0,48.84511399269104,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.05616402626037598
20.0,25,Coverage_Side_1,Benjamini,39.0,3.0,2.0,48.84511399269104,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.05345416069030762
20.0,25,Coverage_Side_1,Bonferroni,39.0,3.0,2.0,48.84511399269104,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.05355215072631836
20.0,25,Coverage_Side_2,Benjamini,39.0,3.0,2.0,48.84511399269104,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.0539851188659668
20.0,25,Coverage_Side_2,Bonferroni,39.0,3.0,2.0,48.84511399269104,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.05431389808654785
20.0,25,Coverage_alpha_investing,gamma_20,39.0,3.0,2.0,48.84511399269104,0.0,,,0.0,,,,0.045336008071899414
20.0,25,Coverage_alpha_investing,gamma_50,39.0,3.0,2.0,48.84511399269104,0.0,,,0.0,,,,0.043154001235961914
20.0,25,Coverage_alpha_investing,gamma_100,39.0,3.0,2.0,48.84511399269104,0.0,,,0.0,,,,0.04473686218261719
20.0,25,Coverage_alpha_investing,gamma_200,39.0,3.0,2.0,48.84511399269104,0.0,,,0.0,,,,0.04524111747741699
20.0,20,Traditional,Benjamini,39.0,3.0,2.0,48.84511399269104,2.0,0.0020092477866288307,0.009093192607486695,0.011102440394115525,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.04774808883666992
20.0,20,Traditional,Bonferroni,39.0,3.0,2.0,48.84511399269104,2.0,0.0020092477866288307,0.009093192607486695,0.011102440394115525,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.04776811599731445
20.0,20,Coverage_Two_Sides,Benjamini,39.0,3.0,2.0,48.84511399269104,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.05620002746582031
20.0,20,Coverage_Two_Sides,Bonferroni,39.0,3.0,2.0,48.84511399269104,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.05586695671081543
20.0,20,Coverage_Side_1,Benjamini,39.0,3.0,2.0,48.84511399269104,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.053215980529785156
20.0,20,Coverage_Side_1,Bonferroni,39.0,3.0,2.0,48.84511399269104,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.05480599403381348
20.0,20,Coverage_Side_2,Benjamini,39.0,3.0,2.0,48.84511399269104,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.05332612991333008
20.0,20,Coverage_Side_2,Bonferroni,39.0,3.0,2.0,48.84511399269104,1.0,0.0020092477866288307,0.0020092477866288307,0.0020092477866288307,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.054403066635131836
20.0,20,Coverage_alpha_investing,gamma_20,39.0,3.0,2.0,48.84511399269104,0.0,,,0.0,,,,0.04554891586303711
20.0,20,Coverage_alpha_investing,gamma_50,39.0,3.0,2.0,48.84511399269104,0.0,,,0.0,,,,0.0436248779296875
20.0,20,Coverage_alpha_investing,gamma_100,39.0,3.0,2.0,48.84511399269104,0.0,,,0.0,,,,0.04322004318237305
20.0,20,Coverage_alpha_investing,gamma_200,39.0,3.0,2.0,48.84511399269104,0.0,,,0.0,,,,0.044245004653930664
20.0,15,Traditional,Benjamini,39.0,3.0,2.0,48.84511399269104,2.0,0.0020092477866288307,0.009093192607486695,0.011102440394115525,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.04834103584289551
20.0,15,Traditional,Bonferroni,39.0,3.0,2.0,48.84511399269104,2.0,0.0020092477866288307,0.009093192607486695,0.011102440394115525,0.0017271157167530224,0.0024330900243309003,0.0020801028705419613,0.047733306884765625
