grp1,grp1_size,grp2,grp2_size,p-value
35-44_college-grad student_90's_Thriller,12,35-44_college-grad student_90's_Thriller,13,0.0020092477866288307
35-44_college-grad student_Long_90's_Thriller,12,35-44_college-grad student_Long_90's_Thriller,13,0.0020092477866288307
35-44_college-grad student_Long_Thriller,20,35-44_college-grad student_Long_Thriller,21,0.009093192607486695
35-44_college-grad student_Thriller,20,35-44_college-grad student_Thriller,22,0.009093192607486695
>56_executive-managerial_Long_Drama,17,>56_executive-managerial_Long_Drama,16,0.017633799265696314
>56_executive-managerial_Drama,18,>56_executive-managerial_Drama,17,0.01803579234950097
