group1,group2,coverage_gained_1,coverage_gained_2,p-value,n,algorithm,samples
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,-1,TRAD_BY,20.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,-1,TRAD_BN,20.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,-1,COVER_G_BY,20.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,-1,COVER_G_BN,20.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,25,TRAD_BY,20.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,25,TRAD_BN,20.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,25,COVER_G_BY,20.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,25,COVER_G_BN,20.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,20,TRAD_BY,20.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,20,TRAD_BN,20.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,20,COVER_G_BY,20.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,20,COVER_G_BN,20.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,15,TRAD_BY,20.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,15,TRAD_BN,20.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,15,COVER_G_BY,20.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,15,COVER_G_BN,20.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,10,TRAD_BY,20.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,10,TRAD_BN,20.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,10,COVER_G_BY,20.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,10,COVER_G_BN,20.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,5,TRAD_BY,20.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,5,TRAD_BN,20.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,5,COVER_G_BY,20.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,5,COVER_G_BN,20.0
germany_2000's,australia,0.0278450363196125,0.0193637621023513,5.06257987414099e-07,-1,TRAD_BY,30.0
canada_2000's,netherlands,0.0762711864406779,0.0290456431535269,0.015576064584171,-1,TRAD_BY,30.0
germany_90's,brazil,0.0920096852300242,0.0304287690179806,0.0218744131698002,-1,TRAD_BY,30.0
germany_2000's,australia,0.0278450363196125,0.0193637621023513,5.06257987414099e-07,-1,TRAD_BN,30.0
canada_2000's,netherlands,0.0762711864406779,0.0290456431535269,0.015576064584171,-1,TRAD_BN,30.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,-1,COVER_G_BY,30.0
germany_2000's,australia,0.0762711864406779,0.0290456431535269,5.06257987414099e-07,-1,COVER_G_BY,30.0
germany_90's,brazil,0.0920096852300242,0.0304287690179806,0.0218744131698002,-1,COVER_G_BY,30.0
canada_2000's,netherlands,0.0484261501210653,0.0096818810511756,0.015576064584171,-1,COVER_G_BN,30.0
germany_2000's,australia,0.0762711864406779,0.0290456431535269,5.06257987414099e-07,-1,COVER_G_BN,30.0
