grp1,grp1_size,grp2,grp2_size,p-value
new zealand_2000's,24,4,0,2.1280833718993043e-05
japan,51,4,0,1.385421070374172e-09
canada_90's,1830,4,0,0.0
spain_90's,180,4,0,6.332252474678359e-41
finland_90's,46,4,0,2.1318799924086995e-11
usa_90's,12554,4,0,0.0
australia,662,4,0,6.745580818096568e-134
canada_2000's,1290,4,0,3.561828222982932e-235
malaysia,327,4,0,8.566620710813247e-62
80's,3402,4,0,0.0
iran_90's,31,4,0,1.0540444041505306e-06
philippines,21,4,0,7.447306148858524e-08
ireland,25,4,0,1.3325668238121377e-07
china,57,4,0,1.9736696620702866e-15
brazil_90's,27,4,0,5.184396043749245e-06
germany_90's,471,4,0,1.0923311913061793e-99
portugal,729,4,0,2.6175411874413333e-163
belgium_90's,22,4,0,9.245200594929324e-10
switzerland_90's,59,4,0,1.2868503877190025e-13
usa_60's,70,4,0,3.257987264437123e-16
italy_2000's,44,4,0,7.647401859154286e-11
united kingdom_90's,446,4,0,5.23137705972589e-93
france_80's,35,4,0,5.698072504775369e-08
sweden_90's,16,4,0,0.00019272962573700642
usa_50's,84,4,0,2.4571682126425188e-20
2000's,13945,4,0,0.0
united kingdom_80's,97,4,0,2.977210495419093e-20
australia_90's,300,4,0,1.0849145940402726e-63
60's,86,4,0,1.750054424453003e-19
dominican republic_2000's,27,4,0,5.50674015814657e-07
belgium,54,4,0,4.462869950147374e-18
90's,17119,4,0,0.0
france,388,4,0,1.0170904987992711e-81
70's,378,4,0,6.066976530960112e-71
usa_80's,2530,4,0,0.0
china_90's,21,4,0,2.022254720751232e-07
spain_80's,37,4,0,2.739631348948875e-11
germany_70's,13,4,0,0.0002631915961004391
switzerland,119,4,0,1.491579630647509e-26
france_90's,112,4,0,3.5354452991715147e-25
usa_2000's,9862,4,0,0.0
malaysia_2000's,102,4,0,1.510584370224873e-20
italy_90's,37,4,0,2.0476185347819484e-09
united kingdom,1053,4,0,1.3782539784859907e-204
portugal_90's,367,4,0,2.9650313894928285e-85
luxembourg_2000's,13,4,0,0.0009972688265154723
australia_2000's,294,4,0,2.9861227001627152e-59
netherlands_2000's,118,4,0,7.82391069932336e-25
new zealand_90's,23,4,0,9.743044250895854e-07
qatar_90's,11,4,0,0.003684344829332795
poland,13,4,0,0.0017180891086286956
brazil,58,4,0,5.023069570204359e-10
austria,147,4,0,3.560895286913041e-24
50's,109,4,0,9.52423284594397e-25
spain,466,4,0,1.9128637140912556e-100
denmark_90's,16,4,0,0.00035177273459366
germany_80's,84,4,0,2.5676026086126945e-18
france_2000's,228,4,0,2.11154869721411e-49
dominican republic,42,4,0,5.636660550505513e-10
belgium_2000's,28,4,0,2.4813868757166097e-08
usa,25363,4,0,0.0
dominican republic_90's,14,4,0,0.0005435465686192011
netherlands,303,4,0,6.894344955460661e-62
bulgaria_90's,12,4,0,2.371782036339844e-05
finland_2000's,43,4,0,1.9741328816501023e-07
new zealand,54,4,0,2.39664903432178e-12
australia_80's,61,4,0,1.0389561342784452e-13
canada_70's,44,4,0,1.7820570608821771e-10
japan_2000's,17,4,0,0.004407184859134021
portugal_2000's,301,4,0,6.052998113970522e-68
germany_2000's,423,4,0,2.418783460933213e-76
luxembourg,14,4,0,0.0006559324851851252
austria_90's,56,4,0,1.0075753593717773e-10
norway_2000's,18,4,0,6.774056392076301e-06
romania_2000's,11,4,0,0.00949169579530386
germany,992,4,0,1.2439672287196098e-193
italy,93,4,0,4.3423685280818585e-21
china_2000's,32,4,0,3.798543651696513e-08
malaysia_80's,24,4,0,6.056031362869961e-05
canada,3515,4,0,0.0
united kingdom_2000's,489,4,0,4.555446557812196e-91
united kingdom_70's,15,4,0,0.00013370379623139415
iceland,15,4,0,5.1559541412243846e-05
sweden,30,4,0,8.375247460908945e-08
iran,69,4,0,4.590468614133541e-13
portugal_80's,48,4,0,1.0108505956908067e-10
trinidad and tobago,15,4,0,0.0004263757573432252
singapore,18,4,0,0.000251056112132692
romania_90's,21,4,0,5.159987154066655e-05
austria_2000's,85,4,0,9.83934771981588e-14
iran_2000's,33,4,0,4.3108766914437696e-08
netherlands_90's,126,4,0,1.1149322983278435e-25
finland,98,4,0,7.975180980051292e-19
switzerland_2000's,51,4,0,3.99700469037007e-13
brazil_2000's,25,4,0,0.0003591501807972965
sweden_2000's,13,4,0,0.00042531780329454073
denmark,43,4,0,8.317378493945261e-10
romania,38,4,0,8.348828039478003e-08
netherlands_80's,50,4,0,1.8759153983620807e-12
malaysia_90's,195,4,0,4.251027660415549e-38
qatar,27,4,0,9.454102086012516e-07
france_70's,13,4,0,0.0014326996979556323
japan_90's,29,4,0,8.235919391466391e-07
ireland_90's,14,4,0,5.022446038662739e-05
qatar_2000's,13,4,0,0.0005721458983975441
usa_70's,258,4,0,4.565347033025744e-47
canada_80's,340,4,0,2.123525294299606e-67
spain_2000's,243,4,0,1.935083686636669e-49
bulgaria,21,4,0,1.3692796651002008e-08
denmark_2000's,16,4,0,0.00042710597581152896
norway,30,4,0,1.2386266845124865e-10
