samples,n,algorithm,#AllCandidates,#Candidates,#Results_noAdjustement,grouping_time,#Results,Min_p_value,Max_p_value,Sum_p_value,Total Cov,p_value_adjustement_time
10.0,-1,TRAD_BY,11.0,11.0,11.0,1.4622628688812256,11.0,3.561828222982932e-235,0.004407184859134,0.0050181370766451,0.0937748766120044,0.0618350505828857
10.0,-1,TRAD_BN,11.0,11.0,11.0,1.4622628688812256,11.0,3.561828222982932e-235,0.004407184859134,0.0050181370766451,0.0937748766120044,0.0595638751983642
10.0,-1,COVER_G_BY,11.0,11.0,11.0,1.4622628688812256,11.0,3.561828222982932e-235,0.004407184859134,0.0050181370766451,0.0937748766120044,0.1013557910919189
10.0,-1,COVER_G_BN,11.0,11.0,11.0,1.4622628688812256,11.0,3.561828222982932e-235,0.004407184859134,0.0050181370766451,0.0937748766120044,0.1012501716613769
10.0,-1,COVER_𝛂_20,11.0,11.0,11.0,1.4622628688812256,8.0,3.561828222982932e-235,5.159987154066655e-05,5.1930617985235846e-05,0.089157777423977,0.0879497528076171
10.0,-1,COVER_𝛂_50,11.0,11.0,11.0,1.4622628688812256,7.0,3.561828222982932e-235,1.9741328816501026e-07,3.307464445692936e-07,0.0882025155230059,0.0848629474639892
10.0,-1,COVER_𝛂_100,11.0,11.0,11.0,1.4622628688812256,7.0,3.561828222982932e-235,1.9741328816501026e-07,3.307464445692936e-07,0.0882025155230059,0.0742487907409668
10.0,-1,COVER_𝛂_200,11.0,11.0,11.0,1.4622628688812256,7.0,3.561828222982932e-235,1.9741328816501026e-07,3.307464445692936e-07,0.0882025155230059,0.071988821029663
10.0,25,TRAD_BY,11.0,11.0,11.0,1.4622628688812256,11.0,3.561828222982932e-235,0.004407184859134,0.0050181370766451,0.0937748766120044,0.0601239204406738
10.0,25,TRAD_BN,11.0,11.0,11.0,1.4622628688812256,11.0,3.561828222982932e-235,0.004407184859134,0.0050181370766451,0.0937748766120044,0.0613238811492919
10.0,25,COVER_G_BY,11.0,11.0,11.0,1.4622628688812256,11.0,3.561828222982932e-235,0.004407184859134,0.0050181370766451,0.0937748766120044,0.1061367988586425
10.0,25,COVER_G_BN,11.0,11.0,11.0,1.4622628688812256,11.0,3.561828222982932e-235,0.004407184859134,0.0050181370766451,0.0937748766120044,0.104731798171997
10.0,25,COVER_𝛂_20,11.0,11.0,11.0,1.4622628688812256,8.0,3.561828222982932e-235,5.159987154066655e-05,5.1930617985235846e-05,0.089157777423977,0.0837428569793701
10.0,25,COVER_𝛂_50,11.0,11.0,11.0,1.4622628688812256,7.0,3.561828222982932e-235,1.9741328816501026e-07,3.307464445692936e-07,0.0882025155230059,0.0835888385772705
10.0,25,COVER_𝛂_100,11.0,11.0,11.0,1.4622628688812256,7.0,3.561828222982932e-235,1.9741328816501026e-07,3.307464445692936e-07,0.0882025155230059,0.0708529949188232
10.0,25,COVER_𝛂_200,11.0,11.0,11.0,1.4622628688812256,7.0,3.561828222982932e-235,1.9741328816501026e-07,3.307464445692936e-07,0.0882025155230059,0.0717840194702148
10.0,20,TRAD_BY,11.0,11.0,11.0,1.4622628688812256,11.0,3.561828222982932e-235,0.004407184859134,0.0050181370766451,0.0937748766120044,0.0591859817504882
10.0,20,TRAD_BN,11.0,11.0,11.0,1.4622628688812256,11.0,3.561828222982932e-235,0.004407184859134,0.0050181370766451,0.0937748766120044,0.0603411197662353
10.0,20,COVER_G_BY,11.0,11.0,11.0,1.4622628688812256,11.0,3.561828222982932e-235,0.004407184859134,0.0050181370766451,0.0937748766120044,0.1125719547271728
