samples,n,algorithm,#AllCandidates,#Candidates,#Results_noAdjustement,grouping_time,#Results,Min_p_value,Max_p_value,Sum_p_value,Total Cov,p_value_adjustement_time
10.0,-1,TRAD_BY,133.0,133.0,118.0,8.95254397392273,113.0,0.0,0.0081206922070783,0.0403821091566292,0.5959206174200662,1.130788803100586
10.0,-1,TRAD_BN,133.0,133.0,118.0,8.95254397392273,104.0,0.0,0.0001223957802789,0.000466279298125,0.5854465270121278,1.1253530979156494
10.0,-1,COVER_G_BY,133.0,133.0,118.0,8.95254397392273,101.0,0.0,0.0081206922070783,0.0259795481979501,0.5959206174200662,1.9940991401672363
10.0,-1,COVER_G_BN,133.0,133.0,118.0,8.95254397392273,95.0,0.0,0.0001223957802789,0.0004662469213869,0.5854465270121278,1.6429152488708496
10.0,-1,COVER_𝛂_20,133.0,133.0,118.0,8.95254397392273,92.0,0.0,4.52769692590195e-05,0.0001100045734604,0.5821389195148843,0.8347010612487793
10.0,-1,COVER_𝛂_50,133.0,133.0,118.0,8.95254397392273,91.0,0.0,4.52769692590195e-05,7.509953509662469e-05,0.5810363836824697,0.8364968299865723
10.0,-1,COVER_𝛂_100,133.0,133.0,118.0,8.95254397392273,90.0,0.0,1.1376151194592588e-05,2.9822565837605195e-05,0.577728776185226,0.8584539890289307
10.0,-1,COVER_𝛂_200,133.0,133.0,118.0,8.95254397392273,89.0,0.0,6.953351149064496e-06,1.844641464301261e-05,0.5766262403528115,0.8426790237426758
10.0,25,TRAD_BY,133.0,133.0,118.0,8.95254397392273,25.0,0.0,0.0,0.0,0.1119073869900771,1.0969901084899902
10.0,25,TRAD_BN,133.0,133.0,118.0,8.95254397392273,25.0,0.0,0.0,0.0,0.1119073869900771,1.0969970226287842
10.0,25,COVER_G_BY,133.0,133.0,118.0,8.95254397392273,25.0,0.0,0.0009771095170521,0.0009845076629715,0.4432194046306505,1.2293503284454346
10.0,25,COVER_G_BN,133.0,133.0,118.0,8.95254397392273,25.0,0.0,6.953351149064496e-06,7.95923727122361e-06,0.4415656008820287,1.2261149883270264
10.0,25,COVER_𝛂_20,133.0,133.0,118.0,8.95254397392273,25.0,1.3207928450027135e-92,4.52769692590195e-05,5.323507068239465e-05,0.4421168687982359,0.2102072238922119
10.0,25,COVER_𝛂_50,133.0,133.0,118.0,8.95254397392273,25.0,1.3207928450027135e-92,4.52769692590195e-05,5.323507068239465e-05,0.4421168687982359,0.2192928791046142
10.0,25,COVER_𝛂_100,133.0,133.0,118.0,8.95254397392273,25.0,1.3207928450027135e-92,6.953351149064496e-06,7.958101423375184e-06,0.4421168687982359,0.2212958335876464
10.0,25,COVER_𝛂_200,133.0,133.0,118.0,8.95254397392273,25.0,1.3207928450027135e-92,6.953351149064496e-06,7.958101423375184e-06,0.4421168687982359,0.2188978195190429
10.0,20,TRAD_BY,133.0,133.0,118.0,8.95254397392273,20.0,0.0,0.0,0.0,0.0843439911797133,1.092423915863037
10.0,20,TRAD_BN,133.0,133.0,118.0,8.95254397392273,20.0,0.0,0.0,0.0,0.0843439911797133,1.0921509265899658
10.0,20,COVER_G_BY,133.0,133.0,118.0,8.95254397392273,20.0,0.0,0.0009771095170521,0.0009772856764947,0.4167585446527012,1.1800119876861572
10.0,20,COVER_G_BN,133.0,133.0,118.0,8.95254397392273,20.0,0.0,1.6101265968750286e-07,1.761594426109395e-07,0.4151047409040794,1.1902542114257812
10.0,20,COVER_𝛂_20,133.0,133.0,118.0,8.95254397392273,20.0,1.3207928450027135e-92,1.6101265968750286e-07,1.7615944261610289e-07,0.4156560088202866,0.1791551113128662
10.0,20,COVER_𝛂_50,133.0,133.0,118.0,8.95254397392273,20.0,1.3207928450027135e-92,1.6101265968750286e-07,1.7615944261610289e-07,0.4156560088202866,0.1778750419616699
10.0,20,COVER_𝛂_100,133.0,133.0,118.0,8.95254397392273,20.0,1.3207928450027135e-92,1.6101265968750286e-07,1.7615944261610289e-07,0.4156560088202866,0.1721119880676269
10.0,20,COVER_𝛂_200,133.0,133.0,118.0,8.95254397392273,20.0,1.3207928450027135e-92,1.6101265968750286e-07,1.7615944261610289e-07,0.4156560088202866,0.1930949687957763
10.0,15,TRAD_BY,133.0,133.0,118.0,8.95254397392273,15.0,0.0,0.0,0.0,0.0551267916207276,1.0935781002044678
10.0,15,TRAD_BN,133.0,133.0,118.0,8.95254397392273,15.0,0.0,0.0,0.0,0.0551267916207276,1.0939080715179443
10.0,15,COVER_G_BY,133.0,133.0,118.0,8.95254397392273,15.0,1.3207928450027135e-92,1.6101265968750286e-07,1.610162265606377e-07,0.3836824696802646,1.183777093887329
10.0,15,COVER_G_BN,133.0,133.0,118.0,8.95254397392273,15.0,1.3207928450027135e-92,1.6101265968750286e-07,1.610162265606377e-07,0.3836824696802646,1.170470952987671
10.0,15,COVER_𝛂_20,133.0,133.0,118.0,8.95254397392273,15.0,1.3207928450027135e-92,1.6101265968750286e-07,1.610162313065708e-07,0.3836824696802646,0.1455323696136474
10.0,15,COVER_𝛂_50,133.0,133.0,118.0,8.95254397392273,15.0,1.3207928450027135e-92,1.6101265968750286e-07,1.610162313065708e-07,0.3836824696802646,0.1504178047180175
10.0,15,COVER_𝛂_100,133.0,133.0,118.0,8.95254397392273,15.0,1.3207928450027135e-92,1.6101265968750286e-07,1.610162313065708e-07,0.3836824696802646,0.1508431434631347
10.0,15,COVER_𝛂_200,133.0,133.0,118.0,8.95254397392273,15.0,1.3207928450027135e-92,1.6101265968750286e-07,1.610162313065708e-07,0.3836824696802646,0.1447498798370361
10.0,10,TRAD_BY,133.0,133.0,118.0,8.95254397392273,10.0,0.0,0.0,0.0,0.0369349503858875,1.0906400680541992
10.0,10,TRAD_BN,133.0,133.0,118.0,8.95254397392273,10.0,0.0,0.0,0.0,0.0369349503858875,1.0902161598205566
10.0,10,COVER_G_BY,133.0,133.0,118.0,8.95254397392273,10.0,1.3207928450027135e-92,3.255565778496242e-12,3.4698675567759064e-12,0.3351708930540242,1.1461679935455322
10.0,10,COVER_G_BN,133.0,133.0,118.0,8.95254397392273,10.0,1.3207928450027135e-92,3.255565778496242e-12,3.4698675567759064e-12,0.3351708930540242,1.143559217453003
10.0,10,COVER_𝛂_20,133.0,133.0,118.0,8.95254397392273,10.0,1.3207928450027135e-92,3.255565778496242e-12,3.4698675567759064e-12,0.3351708930540242,0.0916368961334228
10.0,10,COVER_𝛂_50,133.0,133.0,118.0,8.95254397392273,10.0,1.3207928450027135e-92,3.255565778496242e-12,3.4698675567759064e-12,0.3351708930540242,0.0910749435424804
10.0,10,COVER_𝛂_100,133.0,133.0,118.0,8.95254397392273,10.0,1.3207928450027135e-92,3.255565778496242e-12,3.4698675567759064e-12,0.3351708930540242,0.0996859073638916
10.0,10,COVER_𝛂_200,133.0,133.0,118.0,8.95254397392273,10.0,1.3207928450027135e-92,3.255565778496242e-12,3.4698675567759064e-12,0.3351708930540242,0.1070940494537353
10.0,5,TRAD_BY,133.0,133.0,118.0,8.95254397392273,5.0,0.0,0.0,0.0,0.0165380374862183,1.088766098022461
10.0,5,TRAD_BN,133.0,133.0,118.0,8.95254397392273,5.0,0.0,0.0,0.0,0.0165380374862183,1.0889053344726562
10.0,5,COVER_G_BY,133.0,133.0,118.0,8.95254397392273,5.0,1.145699827401493e-37,2.9011497975081825e-20,2.9011498180177584e-20,0.2420066152149944,1.126682996749878
10.0,5,COVER_G_BN,133.0,133.0,118.0,8.95254397392273,5.0,1.145699827401493e-37,2.9011497975081825e-20,2.9011498180177584e-20,0.2420066152149944,1.1285150051116943
10.0,5,COVER_𝛂_20,133.0,133.0,118.0,8.95254397392273,5.0,1.145699827401493e-37,2.9011497975081825e-20,2.9011498180177584e-20,0.2420066152149944,0.0536959171295166
10.0,5,COVER_𝛂_50,133.0,133.0,118.0,8.95254397392273,5.0,1.145699827401493e-37,2.9011497975081825e-20,2.9011498180177584e-20,0.2420066152149944,0.0504510402679443
10.0,5,COVER_𝛂_100,133.0,133.0,118.0,8.95254397392273,5.0,1.145699827401493e-37,2.9011497975081825e-20,2.9011498180177584e-20,0.2420066152149944,0.0494570732116699
10.0,5,COVER_𝛂_200,133.0,133.0,118.0,8.95254397392273,5.0,1.145699827401493e-37,2.9011497975081825e-20,2.9011498180177584e-20,0.2420066152149944,0.0544021129608154
20.0,-1,TRAD_BY,266.0,266.0,232.0,8.95254397392273,221.0,0.0,0.0076697280209542,0.0678400400810973,0.778941565600882,0.96052885055542
20.0,-1,TRAD_BN,266.0,266.0,232.0,8.95254397392273,187.0,0.0,0.0002088778961968,0.0015661929512517,0.7563395810363837,0.9470491409301758
20.0,-1,COVER_G_BY,266.0,266.0,232.0,8.95254397392273,148.0,0.0,0.0072469898202878,0.0258807321370273,0.778941565600882,1.6705060005187988
20.0,-1,COVER_G_BN,266.0,266.0,232.0,8.95254397392273,137.0,0.0,0.0002088778961968,0.0009357003260664,0.7563395810363837,1.6044788360595703
20.0,-1,COVER_𝛂_20,266.0,266.0,232.0,8.95254397392273,132.0,0.0,7.753981848293727e-05,0.0002686786452478,0.7535832414553473,1.4204871654510498
20.0,-1,COVER_𝛂_50,266.0,266.0,232.0,8.95254397392273,130.0,0.0,4.664333154206763e-05,0.0001672423775264,0.7513781697905182,1.4760079383850098
20.0,-1,COVER_𝛂_100,266.0,266.0,232.0,8.95254397392273,127.0,0.0,1.1376151194592588e-05,4.948205843982925e-05,0.7442116868798236,1.417322874069214
20.0,-1,COVER_𝛂_200,266.0,266.0,232.0,8.95254397392273,125.0,0.0,7.19649737252924e-06,2.9972964040669573e-05,0.7420066152149944,1.2844281196594238
20.0,25,TRAD_BY,266.0,266.0,232.0,8.95254397392273,25.0,0.0,0.0,0.0,0.1113561190738699,0.9054558277130128
20.0,25,TRAD_BN,266.0,266.0,232.0,8.95254397392273,25.0,0.0,0.0,0.0,0.1113561190738699,0.9054551124572754
20.0,25,COVER_G_BY,266.0,266.0,232.0,8.95254397392273,25.0,3.885233550601202e-113,0.0008851575889798,0.0020122178298295,0.5821389195148843,1.0179846286773682
20.0,25,COVER_G_BN,266.0,266.0,232.0,8.95254397392273,25.0,3.885233550601202e-113,1.2700382598438357e-07,1.270061930394607e-07,0.5782800441014333,1.0220286846160889
20.0,25,COVER_𝛂_20,266.0,266.0,232.0,8.95254397392273,25.0,3.885233550601202e-113,1.2700382598438357e-07,1.270061930394607e-07,0.5782800441014333,0.1836369037628173
20.0,25,COVER_𝛂_50,266.0,266.0,232.0,8.95254397392273,25.0,3.885233550601202e-113,1.2700382598438357e-07,1.270061930394607e-07,0.5782800441014333,0.2008330821990966
20.0,25,COVER_𝛂_100,266.0,266.0,232.0,8.95254397392273,25.0,3.885233550601202e-113,1.2700382598438357e-07,1.270061930394607e-07,0.5782800441014333,0.199599027633667
20.0,25,COVER_𝛂_200,266.0,266.0,232.0,8.95254397392273,25.0,3.885233550601202e-113,1.2700382598438357e-07,1.270061930394607e-07,0.5782800441014333,0.1988298892974853
20.0,20,TRAD_BY,266.0,266.0,232.0,8.95254397392273,20.0,0.0,0.0,0.0,0.0915104740904079,0.9038996696472168
20.0,20,TRAD_BN,266.0,266.0,232.0,8.95254397392273,20.0,0.0,0.0,0.0,0.0915104740904079,0.9037399291992188
20.0,20,COVER_G_BY,266.0,266.0,232.0,8.95254397392273,20.0,3.885233550601202e-113,0.0002819945055134,0.0002821215117064,0.5474090407938258,0.9970881938934326
20.0,20,COVER_G_BN,266.0,266.0,232.0,8.95254397392273,20.0,3.885233550601202e-113,1.2700382598438357e-07,1.2700619300082996e-07,0.5463065049614112,0.9888498783111572
20.0,20,COVER_𝛂_20,266.0,266.0,232.0,8.95254397392273,20.0,3.885233550601202e-113,1.2700382598438357e-07,1.2700619300082996e-07,0.5463065049614112,0.1360161304473877
20.0,20,COVER_𝛂_50,266.0,266.0,232.0,8.95254397392273,20.0,3.885233550601202e-113,1.2700382598438357e-07,1.2700619300082996e-07,0.5463065049614112,0.137233018875122
20.0,20,COVER_𝛂_100,266.0,266.0,232.0,8.95254397392273,20.0,3.885233550601202e-113,1.2700382598438357e-07,1.2700619300082996e-07,0.5463065049614112,0.1351809501647949
20.0,20,COVER_𝛂_200,266.0,266.0,232.0,8.95254397392273,20.0,3.885233550601202e-113,1.2700382598438357e-07,1.2700619300082996e-07,0.5463065049614112,0.1337418556213379
20.0,15,TRAD_BY,266.0,266.0,232.0,8.95254397392273,15.0,0.0,0.0,0.0,0.0639470782800441,0.9020669460296632
20.0,15,TRAD_BN,266.0,266.0,232.0,8.95254397392273,15.0,0.0,0.0,0.0,0.0639470782800441,0.9020187854766846
20.0,15,COVER_G_BY,266.0,266.0,232.0,8.95254397392273,15.0,3.885233550601202e-113,0.0002819945055134,0.0002819945078804,0.5022050716648291,0.972182035446167
20.0,15,COVER_G_BN,266.0,266.0,232.0,8.95254397392273,15.0,3.885233550601202e-113,2.367016446409768e-12,2.367016446411676e-12,0.5016538037486218,0.9698078632354736
20.0,15,COVER_𝛂_20,266.0,266.0,232.0,8.95254397392273,15.0,3.885233550601202e-113,2.367016446409768e-12,2.367016446411676e-12,0.5016538037486218,0.110041856765747
20.0,15,COVER_𝛂_50,266.0,266.0,232.0,8.95254397392273,15.0,3.885233550601202e-113,2.367016446409768e-12,2.367016446411676e-12,0.5016538037486218,0.1009588241577148
20.0,15,COVER_𝛂_100,266.0,266.0,232.0,8.95254397392273,15.0,3.885233550601202e-113,2.367016446409768e-12,2.367016446411676e-12,0.5016538037486218,0.1008741855621337
20.0,15,COVER_𝛂_200,266.0,266.0,232.0,8.95254397392273,15.0,3.885233550601202e-113,2.367016446409768e-12,2.367016446411676e-12,0.5016538037486218,0.0996379852294921
20.0,10,TRAD_BY,266.0,266.0,232.0,8.95254397392273,10.0,0.0,0.0,0.0,0.0468577728776185,0.9004161357879639
20.0,10,TRAD_BN,266.0,266.0,232.0,8.95254397392273,10.0,0.0,0.0,0.0,0.0468577728776185,0.9001848697662354
20.0,10,COVER_G_BY,266.0,266.0,232.0,8.95254397392273,10.0,2.905433459906506e-87,1.8396456776458743e-24,1.9075591987273974e-24,0.4349503858875413,0.9538190364837646
20.0,10,COVER_G_BN,266.0,266.0,232.0,8.95254397392273,10.0,2.905433459906506e-87,1.8396456776458743e-24,1.9075591987273974e-24,0.4349503858875413,0.9471597671508788
20.0,10,COVER_𝛂_20,266.0,266.0,232.0,8.95254397392273,10.0,2.905433459906506e-87,1.8396456776458743e-24,1.9075591987273974e-24,0.4349503858875413,0.0744819641113281
20.0,10,COVER_𝛂_50,266.0,266.0,232.0,8.95254397392273,10.0,2.905433459906506e-87,1.8396456776458743e-24,1.9075591987273974e-24,0.4349503858875413,0.0693919658660888
20.0,10,COVER_𝛂_100,266.0,266.0,232.0,8.95254397392273,10.0,2.905433459906506e-87,1.8396456776458743e-24,1.9075591987273974e-24,0.4349503858875413,0.0687639713287353
20.0,10,COVER_𝛂_200,266.0,266.0,232.0,8.95254397392273,10.0,2.905433459906506e-87,1.8396456776458743e-24,1.9075591987273974e-24,0.4349503858875413,0.0854179859161377
20.0,5,TRAD_BY,266.0,266.0,232.0,8.95254397392273,5.0,0.0,0.0,0.0,0.0281146637265711,0.9002680778503418
20.0,5,TRAD_BN,266.0,266.0,232.0,8.95254397392273,5.0,0.0,0.0,0.0,0.0281146637265711,0.899824857711792
20.0,5,COVER_G_BY,266.0,266.0,232.0,8.95254397392273,5.0,2.905433459906506e-87,6.79135210744416e-26,6.791352107455616e-26,0.3180815876515986,0.937917947769165
20.0,5,COVER_G_BN,266.0,266.0,232.0,8.95254397392273,5.0,2.905433459906506e-87,6.79135210744416e-26,6.791352107455616e-26,0.3180815876515986,0.9304139614105223
20.0,5,COVER_𝛂_20,266.0,266.0,232.0,8.95254397392273,5.0,2.905433459906506e-87,6.79135210744416e-26,6.791352107455616e-26,0.3180815876515986,0.0387582778930664
20.0,5,COVER_𝛂_50,266.0,266.0,232.0,8.95254397392273,5.0,2.905433459906506e-87,6.79135210744416e-26,6.791352107455616e-26,0.3180815876515986,0.0383439064025878
20.0,5,COVER_𝛂_100,266.0,266.0,232.0,8.95254397392273,5.0,2.905433459906506e-87,6.79135210744416e-26,6.791352107455616e-26,0.3180815876515986,0.0405259132385253
20.0,5,COVER_𝛂_200,266.0,266.0,232.0,8.95254397392273,5.0,2.905433459906506e-87,6.79135210744416e-26,6.791352107455616e-26,0.3180815876515986,0.0475142002105712
30.0,-1,TRAD_BY,400.0,400.0,355.0,8.95254397392273,339.0,0.0,0.0072469898202878,0.1038966547493842,0.8599779492833517,1.2192728519439695
30.0,-1,TRAD_BN,400.0,400.0,355.0,8.95254397392273,287.0,0.0,0.0001223957802789,0.0012563935566529,0.8517089305402425,1.197443962097168
30.0,-1,COVER_G_BY,400.0,400.0,355.0,8.95254397392273,157.0,0.0,0.0065668634518372,0.0272728355396166,0.8599779492833517,1.96937894821167
30.0,-1,COVER_G_BN,400.0,400.0,355.0,8.95254397392273,152.0,0.0,0.0001215779012354,0.0005728329876469,0.8517089305402425,2.0592987537384038
30.0,-1,COVER_𝛂_20,400.0,400.0,355.0,8.95254397392273,151.0,0.0,0.0001085199443965,0.0004517897615083,0.8511576626240352,1.579963207244873
30.0,-1,COVER_𝛂_50,400.0,400.0,355.0,8.95254397392273,146.0,0.0,2.5356635210054436e-05,0.0001666766538005,0.8461962513781698,1.4638981819152832
30.0,-1,COVER_𝛂_100,400.0,400.0,355.0,8.95254397392273,142.0,0.0,2.5356635210054436e-05,8.783461956763099e-05,0.8428886438809261,1.4232618808746338
30.0,-1,COVER_𝛂_200,400.0,400.0,355.0,8.95254397392273,140.0,0.0,9.011035163815504e-06,3.381173815474364e-05,0.8395810363836824,1.498600959777832
30.0,25,TRAD_BY,400.0,400.0,355.0,8.95254397392273,25.0,0.0,0.0,0.0,0.1163175303197354,1.1380677223205566
30.0,25,TRAD_BN,400.0,400.0,355.0,8.95254397392273,25.0,0.0,0.0,0.0,0.1163175303197354,1.1376149654388428
30.0,25,COVER_G_BY,400.0,400.0,355.0,8.95254397392273,25.0,3.3347791641200726e-137,3.255565778496242e-12,3.357135521333176e-12,0.6742006615214995,1.286653757095337
30.0,25,COVER_G_BN,400.0,400.0,355.0,8.95254397392273,25.0,3.3347791641200726e-137,3.255565778496242e-12,3.357135521333176e-12,0.6742006615214995,1.2958967685699463
30.0,25,COVER_𝛂_20,400.0,400.0,355.0,8.95254397392273,25.0,3.3347791641200726e-137,3.255565778496242e-12,3.3571970539119962e-12,0.6742006615214995,0.1869540214538574
30.0,25,COVER_𝛂_50,400.0,400.0,355.0,8.95254397392273,25.0,3.3347791641200726e-137,3.255565778496242e-12,3.3571970539119962e-12,0.6742006615214995,0.1792399883270263
30.0,25,COVER_𝛂_100,400.0,400.0,355.0,8.95254397392273,25.0,3.3347791641200726e-137,3.255565778496242e-12,3.3571970539119962e-12,0.6742006615214995,0.1796858310699463
30.0,25,COVER_𝛂_200,400.0,400.0,355.0,8.95254397392273,25.0,3.3347791641200726e-137,3.255565778496242e-12,3.3571970539119962e-12,0.6742006615214995,0.2232458591461181
30.0,20,TRAD_BY,400.0,400.0,355.0,8.95254397392273,20.0,0.0,0.0,0.0,0.0931642778390297,1.136819839477539
30.0,20,TRAD_BN,400.0,400.0,355.0,8.95254397392273,20.0,0.0,0.0,0.0,0.0931642778390297,1.136352777481079
30.0,20,COVER_G_BY,400.0,400.0,355.0,8.95254397392273,20.0,3.3347791641200726e-137,3.255565778496242e-12,3.3571355183313767e-12,0.6460859977949284,1.2602999210357666
30.0,20,COVER_G_BN,400.0,400.0,355.0,8.95254397392273,20.0,3.3347791641200726e-137,3.255565778496242e-12,3.3571355183313767e-12,0.6460859977949284,1.258125066757202
30.0,20,COVER_𝛂_20,400.0,400.0,355.0,8.95254397392273,20.0,3.3347791641200726e-137,3.255565778496242e-12,3.3571355183313763e-12,0.6460859977949284,0.1620678901672363
30.0,20,COVER_𝛂_50,400.0,400.0,355.0,8.95254397392273,20.0,3.3347791641200726e-137,3.255565778496242e-12,3.3571355183313763e-12,0.6460859977949284,0.1654157638549804
30.0,20,COVER_𝛂_100,400.0,400.0,355.0,8.95254397392273,20.0,3.3347791641200726e-137,3.255565778496242e-12,3.3571355183313763e-12,0.6460859977949284,0.1853182315826416
30.0,20,COVER_𝛂_200,400.0,400.0,355.0,8.95254397392273,20.0,3.3347791641200726e-137,3.255565778496242e-12,3.3571355183313763e-12,0.6460859977949284,0.2023441791534423
30.0,15,TRAD_BY,400.0,400.0,355.0,8.95254397392273,15.0,0.0,0.0,0.0,0.0689084895259096,1.1342887878417969
30.0,15,TRAD_BN,400.0,400.0,355.0,8.95254397392273,15.0,0.0,0.0,0.0,0.0689084895259096,1.1336216926574707
30.0,15,COVER_G_BY,400.0,400.0,355.0,8.95254397392273,15.0,3.3347791641200726e-137,1.0152633017869965e-13,1.0152637557783977e-13,0.6058434399117971,1.215385675430298
30.0,15,COVER_G_BN,400.0,400.0,355.0,8.95254397392273,15.0,3.3347791641200726e-137,1.0152633017869965e-13,1.0152637557783977e-13,0.6058434399117971,1.2121098041534424
30.0,15,COVER_𝛂_20,400.0,400.0,355.0,8.95254397392273,15.0,3.3347791641200726e-137,1.0152633017869965e-13,1.0152637557787729e-13,0.6069459757442117,0.1347978115081787
30.0,15,COVER_𝛂_50,400.0,400.0,355.0,8.95254397392273,15.0,3.3347791641200726e-137,1.0152633017869965e-13,1.0152637557787729e-13,0.6069459757442117,0.1348891258239746
30.0,15,COVER_𝛂_100,400.0,400.0,355.0,8.95254397392273,15.0,3.3347791641200726e-137,1.0152633017869965e-13,1.0152637557787729e-13,0.6069459757442117,0.1386201381683349
30.0,15,COVER_𝛂_200,400.0,400.0,355.0,8.95254397392273,15.0,3.3347791641200726e-137,1.0152633017869965e-13,1.0152637557787729e-13,0.6069459757442117,0.1258471012115478
30.0,10,TRAD_BY,400.0,400.0,355.0,8.95254397392273,10.0,0.0,0.0,0.0,0.051819184123484,1.1310338973999023
30.0,10,TRAD_BN,400.0,400.0,355.0,8.95254397392273,10.0,0.0,0.0,0.0,0.051819184123484,1.1306548118591309
30.0,10,COVER_G_BY,400.0,400.0,355.0,8.95254397392273,10.0,3.3347791641200726e-137,4.5399140082266304e-20,4.539914011699586e-20,0.5556780595369349,1.1926779747009275
30.0,10,COVER_G_BN,400.0,400.0,355.0,8.95254397392273,10.0,3.3347791641200726e-137,4.5399140082266304e-20,4.539914011699586e-20,0.5556780595369349,1.199657917022705
30.0,10,COVER_𝛂_20,400.0,400.0,355.0,8.95254397392273,10.0,3.3347791641200726e-137,4.5399140082266304e-20,4.539917761451879e-20,0.5556780595369349,0.0986208915710449
30.0,10,COVER_𝛂_50,400.0,400.0,355.0,8.95254397392273,10.0,3.3347791641200726e-137,4.5399140082266304e-20,4.539917761451879e-20,0.5556780595369349,0.0936541557312011
30.0,10,COVER_𝛂_100,400.0,400.0,355.0,8.95254397392273,10.0,3.3347791641200726e-137,4.5399140082266304e-20,4.539917761451879e-20,0.5556780595369349,0.0892651081085205
30.0,10,COVER_𝛂_200,400.0,400.0,355.0,8.95254397392273,10.0,3.3347791641200726e-137,4.5399140082266304e-20,4.539917761451879e-20,0.5556780595369349,0.0864341259002685
30.0,5,TRAD_BY,400.0,400.0,355.0,8.95254397392273,5.0,0.0,0.0,0.0,0.0303197353914002,1.1296749114990234
30.0,5,TRAD_BN,400.0,400.0,355.0,8.95254397392273,5.0,0.0,0.0,0.0,0.0303197353914002,1.1293816566467283
30.0,5,COVER_G_BY,400.0,400.0,355.0,8.95254397392273,5.0,3.3347791641200726e-137,4.5399140082266304e-20,4.539914009221916e-20,0.4360529217199559,1.1708338260650637
30.0,5,COVER_G_BN,400.0,400.0,355.0,8.95254397392273,5.0,3.3347791641200726e-137,4.5399140082266304e-20,4.539914009221916e-20,0.4360529217199559,1.16939377784729
30.0,5,COVER_𝛂_20,400.0,400.0,355.0,8.95254397392273,5.0,3.3347791641200726e-137,4.5399140082266304e-20,4.539914009221916e-20,0.4360529217199559,0.0404069423675537
30.0,5,COVER_𝛂_50,400.0,400.0,355.0,8.95254397392273,5.0,3.3347791641200726e-137,4.5399140082266304e-20,4.539914009221916e-20,0.4360529217199559,0.0445578098297119
