group1,group2,coverage_gained_1,coverage_gained_2,p-value,n,algorithm,samples,wealth,alpha_j,nb_refus_before
M_50-55_customer service_Long_2000's,1,0.0069837046890588,0.0,0.0049954123083075,20,COVER_G_BN,10.0,,,
F_25-34_unemployed_2000's,1,0.0074825407382773,0.0,0.0083961229441305,20,COVER_G_BN,10.0,,,
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,20,COVER_𝛂_50,10.0,0.0090830471307827,5.995634229520019e-05,0.0
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,20,COVER_𝛂_100,10.0,0.0282840487267105,2.9992404018281636e-05,0.0
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,20,COVER_𝛂_200,10.0,0.0378901545418453,1.4999762761439315e-05,0.0
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,15,TRAD_BY,10.0,,,
>56_self-employed_60's,1,0.0064848686398403,0.0,7.786592844143686e-05,15,TRAD_BY,10.0,,,
M_50-55_customer service_Long_2000's,1,0.0069837046890588,0.0,0.0049954123083075,15,TRAD_BY,10.0,,,
F_25-34_unemployed_2000's,1,0.0074825407382773,0.0,0.0083961229441305,15,TRAD_BY,10.0,,,
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,15,TRAD_BN,10.0,,,
>56_self-employed_60's,1,0.0064848686398403,0.0,7.786592844143686e-05,15,TRAD_BN,10.0,,,
M_50-55_customer service_Long_2000's,1,0.0069837046890588,0.0,0.0049954123083075,15,TRAD_BN,10.0,,,
F_25-34_unemployed_2000's,1,0.0074825407382773,0.0,0.0083961229441305,15,TRAD_BN,10.0,,,
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,15,COVER_G_BY,10.0,,,
>56_self-employed_60's,1,0.0064848686398403,0.0,7.786592844143686e-05,15,COVER_G_BY,10.0,,,
M_50-55_customer service_Long_2000's,1,0.0069837046890588,0.0,0.0049954123083075,15,COVER_G_BY,10.0,,,
F_25-34_unemployed_2000's,1,0.0074825407382773,0.0,0.0083961229441305,15,COVER_G_BY,10.0,,,
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,15,COVER_G_BN,10.0,,,
>56_self-employed_60's,1,0.0064848686398403,0.0,7.786592844143686e-05,15,COVER_G_BN,10.0,,,
M_50-55_customer service_Long_2000's,1,0.0069837046890588,0.0,0.0049954123083075,15,COVER_G_BN,10.0,,,
F_25-34_unemployed_2000's,1,0.0074825407382773,0.0,0.0083961229441305,15,COVER_G_BN,10.0,,,
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,15,COVER_𝛂_50,10.0,0.0090830471307827,5.995634229520019e-05,0.0
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,15,COVER_𝛂_100,10.0,0.0282840487267105,2.9992404018281636e-05,0.0
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,15,COVER_𝛂_200,10.0,0.0378901545418453,1.4999762761439315e-05,0.0
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,10,TRAD_BY,10.0,,,
>56_self-employed_60's,1,0.0064848686398403,0.0,7.786592844143686e-05,10,TRAD_BY,10.0,,,
M_50-55_customer service_Long_2000's,1,0.0069837046890588,0.0,0.0049954123083075,10,TRAD_BY,10.0,,,
F_25-34_unemployed_2000's,1,0.0074825407382773,0.0,0.0083961229441305,10,TRAD_BY,10.0,,,
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,10,TRAD_BN,10.0,,,
>56_self-employed_60's,1,0.0064848686398403,0.0,7.786592844143686e-05,10,TRAD_BN,10.0,,,
M_50-55_customer service_Long_2000's,1,0.0069837046890588,0.0,0.0049954123083075,10,TRAD_BN,10.0,,,
F_25-34_unemployed_2000's,1,0.0074825407382773,0.0,0.0083961229441305,10,TRAD_BN,10.0,,,
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,10,COVER_G_BY,10.0,,,
>56_self-employed_60's,1,0.0064848686398403,0.0,7.786592844143686e-05,10,COVER_G_BY,10.0,,,
M_50-55_customer service_Long_2000's,1,0.0069837046890588,0.0,0.0049954123083075,10,COVER_G_BY,10.0,,,
F_25-34_unemployed_2000's,1,0.0074825407382773,0.0,0.0083961229441305,10,COVER_G_BY,10.0,,,
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,10,COVER_G_BN,10.0,,,
>56_self-employed_60's,1,0.0064848686398403,0.0,7.786592844143686e-05,10,COVER_G_BN,10.0,,,
M_50-55_customer service_Long_2000's,1,0.0069837046890588,0.0,0.0049954123083075,10,COVER_G_BN,10.0,,,
F_25-34_unemployed_2000's,1,0.0074825407382773,0.0,0.0083961229441305,10,COVER_G_BN,10.0,,,
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,10,COVER_𝛂_50,10.0,0.0090830471307827,5.995634229520019e-05,0.0
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,10,COVER_𝛂_100,10.0,0.0282840487267105,2.9992404018281636e-05,0.0
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,10,COVER_𝛂_200,10.0,0.0378901545418453,1.4999762761439315e-05,0.0
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,5,TRAD_BY,10.0,,,
>56_self-employed_60's,1,0.0064848686398403,0.0,7.786592844143686e-05,5,TRAD_BY,10.0,,,
M_50-55_customer service_Long_2000's,1,0.0069837046890588,0.0,0.0049954123083075,5,TRAD_BY,10.0,,,
F_25-34_unemployed_2000's,1,0.0074825407382773,0.0,0.0083961229441305,5,TRAD_BY,10.0,,,
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,5,TRAD_BN,10.0,,,
>56_self-employed_60's,1,0.0064848686398403,0.0,7.786592844143686e-05,5,TRAD_BN,10.0,,,
M_50-55_customer service_Long_2000's,1,0.0069837046890588,0.0,0.0049954123083075,5,TRAD_BN,10.0,,,
F_25-34_unemployed_2000's,1,0.0074825407382773,0.0,0.0083961229441305,5,TRAD_BN,10.0,,,
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,5,COVER_G_BY,10.0,,,
>56_self-employed_60's,1,0.0064848686398403,0.0,7.786592844143686e-05,5,COVER_G_BY,10.0,,,
M_50-55_customer service_Long_2000's,1,0.0069837046890588,0.0,0.0049954123083075,5,COVER_G_BY,10.0,,,
F_25-34_unemployed_2000's,1,0.0074825407382773,0.0,0.0083961229441305,5,COVER_G_BY,10.0,,,
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,5,COVER_G_BN,10.0,,,
>56_self-employed_60's,1,0.0064848686398403,0.0,7.786592844143686e-05,5,COVER_G_BN,10.0,,,
M_50-55_customer service_Long_2000's,1,0.0069837046890588,0.0,0.0049954123083075,5,COVER_G_BN,10.0,,,
F_25-34_unemployed_2000's,1,0.0074825407382773,0.0,0.0083961229441305,5,COVER_G_BN,10.0,,,
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,5,COVER_𝛂_50,10.0,0.0090830471307827,5.995634229520019e-05,0.0
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,5,COVER_𝛂_100,10.0,0.0282840487267105,2.9992404018281636e-05,0.0
35-44_artist_Long_2000's,1,0.0039906883937479,0.0,1.7430706686422954e-07,5,COVER_𝛂_200,10.0,0.0378901545418453,1.4999762761439315e-05,0.0
M_>56_self-employed_Long_80's,1,0.0028267376122381,0.0,1.7748125196144841e-12,-1,TRAD_BY,20.0,,,
F_<18_K-12 student_2000's,1,0.0096441636182241,0.0,1.589939176998122e-11,-1,TRAD_BY,20.0,,,
35-44_artist_Long_2000's,1,0.013634852011972,0.0,1.7430706686422954e-07,-1,TRAD_BY,20.0,,,
F_18-24_K-12 student_Long,1,0.0141336880611905,0.0,3.6170210951655312e-06,-1,TRAD_BY,20.0,,,
M_25-34_college-grad student_30's,1,0.0187894911872297,0.0,5.85509393074879e-06,-1,TRAD_BY,20.0,,,
F_18-24_writer_70's,1,0.0202859993348852,0.0,1.3095471396225747e-05,-1,TRAD_BY,20.0,,,
>56_self-employed_50's,1,0.0206185567010309,0.0,1.8351047101281382e-05,-1,TRAD_BY,20.0,,,
>56_self-employed_Long_50's,1,0.0206185567010309,0.0,1.8351047101281382e-05,-1,TRAD_BY,20.0,,,
F_50-55_executive-managerial_70's,1,0.0222813435317592,0.0,0.0006599275525999,-1,TRAD_BY,20.0,,,
unemployed_Long_30's,1,0.0249418024609245,0.0,0.0006599275525999,-1,TRAD_BY,20.0,,,
>56_artist_Long_2000's,1,0.0261057532424343,0.0,0.0015214322653226,-1,TRAD_BY,20.0,,,
M_doctor-health care_20's,1,0.0284336548054539,0.0,0.0018002486106697,-1,TRAD_BY,20.0,,,
doctor-health care_Long_20's,1,0.0290987695377452,0.0,0.0025241297068125,-1,TRAD_BY,20.0,,,
M_50-55_customer service_2000's,1,0.0295976055869637,0.0,0.0049954123083075,-1,TRAD_BY,20.0,,,
M_25-34_unemployed_50's,1,0.0297638842700365,0.0,0.0059347090072011,-1,TRAD_BY,20.0,,,
M_18-24_doctor-health care_50's,1,0.030262720319255,0.0,0.0119214959381596,-1,TRAD_BY,20.0,,,
M_>56_self-employed_Long_80's,1,0.0028267376122381,0.0,1.7748125196144841e-12,-1,TRAD_BN,20.0,,,
F_<18_K-12 student_2000's,1,0.0096441636182241,0.0,1.589939176998122e-11,-1,TRAD_BN,20.0,,,
35-44_artist_Long_2000's,1,0.013634852011972,0.0,1.7430706686422954e-07,-1,TRAD_BN,20.0,,,
F_18-24_K-12 student_Long,1,0.0141336880611905,0.0,3.6170210951655312e-06,-1,TRAD_BN,20.0,,,
M_25-34_college-grad student_30's,1,0.0187894911872297,0.0,5.85509393074879e-06,-1,TRAD_BN,20.0,,,
F_18-24_writer_70's,1,0.0202859993348852,0.0,1.3095471396225747e-05,-1,TRAD_BN,20.0,,,
>56_self-employed_50's,1,0.0206185567010309,0.0,1.8351047101281382e-05,-1,TRAD_BN,20.0,,,
